kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,l12ow9px,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,m1v8xjr2,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,n1qdgp94,1,0,0,1,-1,-1,,790,720,E083,540,,,,,,,,,,
rest,izodm98,1,0,0,1,-1,-1,,1359,900,E4E4,540,,,,,,,,,,
note,j1mj6nxn,1,0,0,1,0,0,2,2633,1710,E0A4,540,2850,1682,900,,,,,,,
clef,oa3rpzs,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,p1kwvb33,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,q1v86mjw,1,0,0,2,-1,-1,,790,2520,E083,2340,,,,,,,,,,
rest,m5odh2d,1,0,0,2,-1,-1,,1359,2700,E4E4,2340,,,,,,1674,2610,,,
note,zfx25hn,1,0,1,1,1,0,3,3675,1440,E0A3,540,3892,1412,810,,,,,,,
note,b37hn12,1,0,1,1,2,0,5,4949,1260,E0A4,540,5166,1232,630,,,,,,,E240
note,d1eyoooy,1,0,1,1,3,0,5.5,5494,1440,E0A4,540,5711,1412,810,,,,,,,E240
note,gjwwkjn,1,0,1,2,1,1,3,3675,2790,E0A3,2340,3892,2762,2160,,,3991,2790,,,
note,u4oqxce,1,0,2,1,4,0,6,6246,1260,E0A3,540,6463,1232,630,,,,,,,
note,w1m11mph,1,0,2,1,5,0,8,7520,1350,E0A4,540,7737,1322,720,,,,,,,
note,z16wv72r,1,0,2,2,4,1,6,6246,2790,E0A3,2340,6463,2762,2160,,,6562,2790,,,
note,n1p91bt0,1,0,3,1,6,0,9,8562,1440,E0A3,540,8779,1412,810,,,,,,,
note,pmwmthe,1,0,3,1,7,0,11,9836,1620,E0A4,540,10053,1592,900,,,,,,,
note,s1f31sgl,1,0,3,2,6,1,9,8562,3150,E0A3,2340,8779,3122,2520,,,8878,3150,,,
note,goma0gm,1,0,4,1,8,0,12,10878,1710,E0A3,540,11095,1682,900,,,,,,,
note,i4vs11m,1,0,4,1,9,0,14,12152,1710,E0A4,540,12369,1682,900,,,,,,,
note,l1e7ub62,1,0,4,2,8,1,12,10878,2790,E0A3,2340,11095,2762,2160,,,11194,2790,,,
clef,pgyfwja,1,1,5,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,q1v303vs,1,1,5,1,-1,-1,,,,,4500,,,,,,,,,,
note,z1onwf8y,1,1,5,1,10,0,15,888,5400,E0A3,4500,1105,5372,4770,,,,,,,
note,b1bp6nfw,1,1,5,1,11,0,17,1960,5220,E0A4,4500,2177,5192,4590,,,,,,,E240
note,dxlbg6w,1,1,5,1,12,0,17.5,2420,5400,E0A4,4500,2637,5372,4770,,,,,,,E240
clef,rkbd2d2,1,1,5,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,snmxg3g,1,1,5,2,-1,-1,,,,,6300,,,,,,,,,,
note,g1wpyvd,1,1,5,2,10,1,15,888,6750,E0A3,6300,1105,6722,6120,,,1204,6750,,,
note,u19knp2v,1,1,6,1,13,0,18,3122,5220,E0A3,4500,3339,5192,4590,,,,,,,
note,w1905d68,1,1,6,1,14,0,20,4194,5310,E0A4,4500,4411,5282,4680,,,,,,,
note,z11huxwv,1,1,6,2,13,1,18,3122,7020,E0A3,6300,3339,6992,6390,,,3438,6930,,,
note,n41nhpl,1,1,7,1,15,0,21,5091,5040,E0A3,4500,5308,5012,4410,,,,,,,
note,p1pgsif9,1,1,7,1,16,0,23,6163,5040,E0A4,4500,6380,5012,4410,,,,,,,
note,s82tfll,1,1,7,2,15,1,21,5091,6750,E0A3,6300,5308,6722,6120,,,5407,6750,,,
note,g1gv1amb,1,1,8,1,17,0,24,7060,4770,E0A3,4500,7069,4795,5400,,,,,,,
note,i1yz9fdu,1,1,8,1,18,0,26,8132,4590,E0A4,4500,8141,4618,5220,,,,,,,E241
note,k16e8mly,1,1,8,1,19,0,26.5,8592,4770,E0A4,4500,8601,4798,5400,,,,,,,E241
note,n1rpc8a2,1,1,8,2,17,1,24,7060,6750,E0A3,6300,7277,6722,6120,,,7376,6750,,,
note,b18kllgp,1,1,9,1,20,0,27,9244,4590,E0A3,4500,9253,4615,5220,,,,,,,
note,d442sxk,1,1,9,1,21,0,29,10316,4680,E0A4,4500,10325,4708,5310,,,,,,,
note,g1a9x3r7,1,1,9,2,20,1,27,9244,6750,E0A3,6300,9461,6722,6120,,,9560,6750,,,
note,uh31vrx,1,1,10,1,22,0,30,11213,4770,E0A3,4500,11222,4795,5400,,,,,,,
note,w5xpaue,1,1,10,1,23,0,32,12285,4950,E0A4,4500,12502,4922,4320,,,,,,,
note,zymttu,1,1,10,2,22,1,30,11213,7110,E0A3,6300,11430,7082,6480,,,11529,7110,,,
clef,r1gr8iyy,1,2,11,1,-1,-1,,117,9000,E050,8460,,,,,,,,,,
keysig,sapz2qd,1,2,11,1,-1,-1,,,,,8460,,,,,,,,,,
note,n114aunr,1,2,11,1,24,0,33,888,9000,E0A3,8460,1105,8972,8370,,,,,,,
note,p1lbogsu,1,2,11,1,25,0,35,1962,9000,E0A4,8460,2179,8972,8370,,,,,,,
clef,t1wmzdj2,1,2,11,2,-1,-1,,117,10440,E062,10260,,,,,,,,,,
keysig,u1s0efxn,1,2,11,2,-1,-1,,,,,10260,,,,,,,,,,
note,s12rtncy,1,2,11,2,24,1,33,888,10710,E0A3,10260,1105,10682,10080,,,1204,10710,,,
note,gg37udu,1,2,12,1,26,0,36,2860,8730,E0A3,8460,2869,8755,9360,,,,,,,
note,i1nb62c3,1,2,12,1,27,0,38,3934,8910,E0A4,8460,4151,8882,8280,,,,,,,
note,l1sve6dq,1,2,12,2,26,1,36,2860,11070,E0A3,10260,3077,11042,10440,,,3176,11070,,,
note,znyoh2x,1,2,13,1,28,0,39,4832,9000,E0A3,8460,5049,8972,8370,,,,,,,
note,b179xb8m,1,2,13,1,29,0,41,5906,9180,E0A4,8460,6123,9152,8550,,,,,,,
note,e1ksyeqi,1,2,13,2,28,1,39,4832,10980,E0A3,10260,5049,10952,10350,,,5148,10890,,,
note,snj1xva,1,2,14,1,30,0,42,6804,9360,E0A3,8460,7021,9332,8730,,,7120,9270,,,
note,vh4hyvb,1,2,14,2,30,1,42,6804,10710,E0A3,10260,7021,10682,10080,,,7120,10710,,,
