kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,c6a4qky,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,dfwvuct,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,e1nhbuzb,1,0,0,1,-1,-1,,727,720,E083,540,,,,,,,,,,
rest,w1cybpcc,1,0,0,1,-1,-1,,1296,900,E4E4,540,,,,,,,,,,
note,x15wwqth,1,0,0,1,0,0,2,2577,1710,E0A4,540,2794,1682,900,,,,,,,
note,k1d0qcvg,1,0,1,1,1,0,3,3625,1440,E0A3,540,3842,1412,810,,,,,,,
note,m5odh2d,1,0,1,1,2,0,5,4906,1260,E0A4,540,5123,1232,630,,,,,,,E240
note,o1w2vfrn,1,0,1,1,3,0,5.5,5455,1440,E0A4,540,5672,1412,810,,,,,,,E240
note,b37hn12,1,0,2,1,4,0,6,6210,1260,E0A3,540,6427,1232,630,,,,,,,
note,d1eyoooy,1,0,2,1,5,0,8,7491,1350,E0A4,540,7708,1322,720,,,,,,,
note,qjepdrb,1,0,3,1,6,0,9,8539,1440,E0A3,540,8756,1412,810,,,,,,,
note,sqqgytg,1,0,3,1,7,0,11,9820,1620,E0A4,540,10037,1592,900,,,,,,,
note,fwigvp2,1,0,4,1,8,0,12,10868,1710,E0A3,540,11085,1682,900,,,,,,,
note,h1wvbc8t,1,0,4,1,9,0,14,12149,1710,E0A4,540,12366,1682,900,,,,,,,
clef,f1pnb1rb,1,1,5,1,-1,-1,,90,3245,E050,2705,,,,,,,,,,
keysig,gohiuge,1,1,5,1,-1,-1,,,,,2705,,,,,,,,,,
note,u6oscn4,1,1,5,1,10,0,15,826,3605,E0A3,2705,1043,3577,2975,,,,,,,
note,w19obtds,1,1,5,1,11,0,17,1904,3425,E0A4,2705,2121,3397,2795,,,,,,,E240
note,yvzjjlx,1,1,5,1,12,0,17.5,2366,3605,E0A4,2705,2583,3577,2975,,,,,,,E240
note,l1e7ub62,1,1,6,1,13,0,18,3071,3425,E0A3,2705,3288,3397,2795,,,,,,,
note,nt9ronl,1,1,6,1,14,0,20,4149,3515,E0A4,2705,4366,3487,2885,,,,,,,
note,au36i87,1,1,7,1,15,0,21,5050,3245,E0A3,2705,5267,3217,2615,,,,,,,
note,cg7y08o,1,1,7,1,16,0,23,6128,3245,E0A4,2705,6345,3217,2615,,,,,,,
note,p1vt5nji,1,1,8,1,17,0,24,7029,2975,E0A3,2705,7038,3000,3605,,,,,,,
note,r3ruo0a,1,1,8,1,18,0,26,8107,2795,E0A4,2705,8116,2823,3425,,,,,,,E241
note,t12l1c7g,1,1,8,1,19,0,26.5,8569,2975,E0A4,2705,8578,3003,3605,,,,,,,E241
note,gxzwqqc,1,1,9,1,20,0,27,9224,2795,E0A3,2705,9233,2820,3425,,,,,,,
note,i12zs17z,1,1,9,1,21,0,29,10302,2885,E0A4,2705,10311,2913,3515,,,,,,,
note,v12wj9cg,1,1,10,1,22,0,30,11203,2975,E0A3,2705,11212,3000,3605,,,,,,,
note,x1053kmm,1,1,10,1,23,0,32,12281,3155,E0A4,2705,12498,3127,2525,,,,,,,
clef,h1qvx3vi,1,2,11,1,-1,-1,,90,5405,E050,4865,,,,,,,,,,
keysig,iaez2bp,1,2,11,1,-1,-1,,,,,4865,,,,,,,,,,
note,k16e8mly,1,2,11,1,24,0,33,825,5405,E0A3,4865,1042,5377,4775,,,,,,,
note,m13k1pa7,1,2,11,1,25,0,35,1899,5405,E0A4,4865,2116,5377,4775,,,,,,,
note,z1f9wq1,1,2,12,1,26,0,36,2797,5135,E0A3,4865,2806,5160,5765,,,,,,,
note,b18kllgp,1,2,12,1,27,0,38,3871,5315,E0A4,4865,4088,5287,4685,,,,,,,
note,o9btm6t,1,2,13,1,28,0,39,4769,5405,E0A3,4865,4986,5377,4775,,,,,,,
note,q2mj26n,1,2,13,1,29,0,41,5843,5585,E0A4,4865,6060,5557,4955,,,,,,,
note,d1mc3yi9,1,2,14,1,30,0,42,6741,5765,E0A3,4865,6958,5737,5135,,,7057,5675,,,
