kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,n10u2yhg,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,o1vthvz1,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,pqfrujo,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1358,1440,E0A4,540,1575,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2183,1440,E0A4,540,2400,1412,810,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,3008,1440,E0A4,540,3225,1412,810,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3833,1350,E0A4,540,4050,1322,720,,,,,,,
clef,qokjtrk,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,r1spzm45,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,sfs2zwu,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1358,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4863,1260,E0A3,540,5080,1232,630,,,,,,,
note,hzub3xf,1,0,1,1,5,0,6,6119,1350,E0A3,540,6336,1322,720,,,,,,,
note,k1dict13,1,0,1,2,4,1,4,4863,3060,E0A2,2340,,,,,,,,,,
note,y23h8om,1,0,2,1,6,0,8,7580,1440,E0A4,540,7797,1412,810,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,9,8405,1260,E0A4,540,8622,1232,630,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,10,9230,1350,E0A4,540,9447,1322,720,,,,,,,
note,e11rutd2,1,0,2,1,9,0,11,10055,1350,E0A4,540,10272,1322,720,,,,,,,
note,h1wvbc8t,1,0,2,2,6,1,8,7580,2790,E0A2,2340,,,,,,,,,,
note,vyt4ad,1,0,3,1,10,0,12,11085,1440,E0A2,540,,,,,,,,,,
