kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,f197xyvw,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,g1rvnzw0,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,h19drgrc,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1295,1440,E0A4,540,1512,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2125,1440,E0A4,540,2342,1412,810,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2955,1440,E0A4,540,3172,1412,810,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3784,1350,E0A4,540,4001,1322,720,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4819,1260,E0A3,540,5036,1232,630,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,6,6082,1350,E0A3,540,6299,1322,720,,,,,,,
note,ewtw03u,1,0,2,1,6,0,8,7551,1440,E0A4,540,7768,1412,810,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,9,8381,1260,E0A4,540,8598,1232,630,,,,,,,
note,izv1mc9,1,0,2,1,8,0,10,9211,1350,E0A4,540,9428,1322,720,,,,,,,
note,k1dict13,1,0,2,1,9,0,11,10040,1350,E0A4,540,10257,1322,720,,,,,,,
note,x1oxd4nf,1,0,3,1,10,0,12,11075,1440,E0A2,540,,,,,,,,,,
clef,iqs1h9k,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,jruesr7,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,kgtp1zt,1,1,4,1,11,0,16,825,3600,E0A4,2700,1042,3572,2970,,,,,,,
note,m1c77hfv,1,1,4,1,12,0,17,1482,3600,E0A4,2700,1699,3572,2970,,,,,,,
note,o1hn97h8,1,1,4,1,13,0,18,2138,3600,E0A4,2700,2355,3572,2970,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,19,2795,3510,E0A4,2700,3012,3482,2880,,,,,,,
note,d16zdwlv,1,1,5,1,15,0,20,3644,3420,E0A3,2700,3861,3392,2790,,,,,,,
note,fqn9gl2,1,1,5,1,16,0,22,4644,3510,E0A3,2700,4861,3482,2880,,,,,,,
note,s1xjwapg,1,1,6,1,17,0,24,5837,3600,E0A4,2700,6054,3572,2970,,,,,,,
note,ulubfbi,1,1,6,1,18,0,25,6494,3420,E0A4,2700,6711,3392,2790,,,,,,,
note,w1qijfro,1,1,6,1,19,0,26,7150,3510,E0A4,2700,7367,3482,2880,,,,,,,
note,y1ccvmbx,1,1,6,1,20,0,27,7807,3510,E0A4,2700,8024,3482,2880,,,,,,,
note,l1lqnom3,1,1,7,1,21,0,28,8656,3600,E0A2,2700,,,,,,,,,,
note,y17jmr1w,1,1,8,1,22,0,32,10364,3510,E0A4,2700,10581,3482,2880,,,,,,,
note,anr4k48,1,1,8,1,23,0,33,11021,3510,E0A4,2700,11238,3482,2880,,,,,,,
note,csdt8x1,1,1,8,1,24,0,34,11677,3510,E0A4,2700,11894,3482,2880,,,,,,,
note,ea7j3uy,1,1,8,1,25,0,35,12334,3510,E0A4,2700,12551,3482,2880,,,,,,,
clef,k119sr3q,1,2,9,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,l853oj6,1,2,9,1,-1,-1,,,,,4860,,,,,,,,,,
note,r1jp5f3v,1,2,9,1,26,0,36,826,5940,E0A3,4860,1043,5912,5220,,,,,,,
note,t14q1aig,1,2,9,1,27,0,38,1883,5940,E0A3,4860,2100,5912,5220,,,,,,,
note,g1gv1amb,1,2,10,1,28,0,40,3134,5670,E0A4,4860,3351,5642,5040,,,,,,,
note,i1yz9fdu,1,2,10,1,29,0,41,3828,5760,E0A4,4860,4045,5732,5130,,,,,,,
note,k16e8mly,1,2,10,1,30,0,42,4523,5850,E0A4,4860,4740,5822,5220,,,,,,,
note,m13k1pa7,1,2,10,1,31,0,43,5218,5940,E0A4,4860,5435,5912,5220,,,,,,,
note,z1f9wq1,1,2,11,1,32,0,44,6107,6030,E0A2,4860,,,,,,,,,,
note,m17jlnp0,1,2,12,1,33,0,48,7903,5760,E0A4,4860,8120,5732,5130,,,,,,,
note,o9btm6t,1,2,12,1,34,0,49,8597,5760,E0A4,4860,8814,5732,5130,,,,,,,
note,q2mj26n,1,2,12,1,35,0,50,9292,5760,E0A4,4860,9509,5732,5130,,,,,,,
note,s1tkjxkp,1,2,12,1,36,0,51,9987,5670,E0A4,4860,10204,5642,5040,,,,,,,
note,f4ez1j9,1,2,13,1,37,0,52,10876,5580,E0A3,4860,11093,5552,4950,,,,,,,
note,h18et2sh,1,2,13,1,38,0,54,11933,5670,E0A3,4860,12150,5642,5040,,,,,,,
clef,m1qse7af,1,3,14,1,-1,-1,,90,7565,E050,7025,,,,,,,,,,
keysig,ntv2kzo,1,3,14,1,-1,-1,,,,,7025,,,,,,,,,,
note,u11u8k3z,1,3,14,1,39,0,56,825,7925,E0A4,7025,1042,7897,7295,,,,,,,
note,whrd5pz,1,3,14,1,40,0,57,1519,7745,E0A4,7025,1736,7717,7115,,,,,,,
note,ywmfg7o,1,3,14,1,41,0,58,2213,7835,E0A4,7025,2430,7807,7205,,,,,,,
note,a1vn47bf,1,3,14,1,42,0,59,2907,7835,E0A4,7025,3124,7807,7205,,,,,,,
note,n10ahdpa,1,3,15,1,43,0,60,3794,7925,E0A2,7025,,,,,,,,,,
