kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,c8ivgsj,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,dryd0l,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,egspoib,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
rest,izodm98,1,0,0,1,-1,-1,,1355,900,E4E5,540,,,,,,,,,,
rest,j1mj6nxn,1,0,0,1,-1,-1,,2045,900,E4E5,540,,,,,,,,,,
rest,k1d0qcvg,1,0,0,1,-1,-1,,2735,900,E4E5,540,,,,,,,,,,
note,leeh8fz,1,0,0,1,0,0,3,3424,1710,E0A4,540,3641,1682,900,,,,,,,
clef,f1d6z52,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,gni0czj,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,hxsn652,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
rest,o1w2vfrn,1,0,0,2,-1,-1,,1355,2520,E4E3,2340,,,,,,,,,,
note,b37hn12,1,0,1,1,1,0,4,4316,1440,E0A4,540,4533,1412,810,,,4632,1350,,,
note,d1eyoooy,1,0,1,1,2,0,5.5,5196,1440,E0A4,540,5413,1412,810,,,,,,,E240
note,f12ecyql,1,0,1,1,3,0,6,5646,1440,E0A4,540,5863,1412,810,,,,,,,
note,hzub3xf,1,0,1,1,4,0,7,6336,1260,E0A4,540,6553,1232,630,,,,,,,
note,k1dict13,1,0,1,2,1,1,4,4316,2790,E0A2,2340,,,,,,,,,,
note,y23h8om,1,0,2,1,5,0,8,7228,1350,E0A4,540,7445,1322,720,,,7544,1350,,,
note,a1n0fw13,1,0,2,1,6,0,9.5,8108,1440,E0A4,540,8325,1412,810,,,,,,,E240
note,c1yevvwh,1,0,2,1,7,0,10,8628,1350,E0A4,540,8845,1322,720,,,,,,,
note,e11rutd2,1,0,2,1,8,0,11,9317,1260,E0A4,540,9534,1232,630,,,,,,,
note,h1wvbc8t,1,0,2,2,5,1,8,7228,3060,E0A2,2340,,,,,,,,,,
note,vyt4ad,1,0,3,1,9,0,12,10209,1440,E0A4,540,10426,1412,810,,,10525,1350,,,
note,xm40ctx,1,0,3,1,10,0,13.5,11089,1440,E0A4,540,11306,1412,810,,,,,,,E240
note,z4bj489,1,0,3,1,11,0,14,11609,1260,E0A4,540,11826,1232,630,,,,,,,
note,bb8g0u0,1,0,3,1,12,0,15,12298,1080,E0A4,540,12515,1052,450,,,,,,,
note,e11izfdo,1,0,3,2,9,1,12,10209,2790,E0A2,2340,,,,,,,,,,
clef,g14hivda,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,h797vuy,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,s1xjwapg,1,1,4,1,13,0,16,890,4950,E0A3,4500,1107,4922,4320,,,1206,4950,,,
note,ulubfbi,1,1,4,1,14,0,19,2409,4950,E0A4,4500,2626,4922,4320,,,,,,,
clef,i87vuut,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,jhmtek9,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,xpk0tft,1,1,4,2,13,1,16,890,7110,E0A2,6300,,,,,,,,,,
note,l1lqnom3,1,1,5,1,15,0,20,3386,5040,E0A4,4500,3603,5012,4410,,,3702,4950,,,
note,n1t7t9o8,1,1,5,1,16,0,21.5,4383,5220,E0A4,4500,4600,5192,4590,,,,,,,E240
note,p1vt5nji,1,1,5,1,17,0,22,4893,5220,E0A4,4500,5110,5192,4590,,,,,,,
note,r3ruo0a,1,1,5,1,18,0,23,5675,5400,E0A4,4500,5892,5372,4770,,,,,,,
note,u19knp2v,1,1,5,2,15,1,20,3386,6750,E0A2,6300,,,,,,,,,,
note,i12zs17z,1,1,6,1,19,0,24,6652,5310,E0A4,4500,6869,5282,4680,,,6968,5310,,,
note,kjeoxmv,1,1,6,1,20,0,25.5,7649,5400,E0A4,4500,7866,5372,4770,,,,,,,E240
note,m1sctd0l,1,1,6,1,21,0,26,8159,5310,E0A4,4500,8376,5282,4680,,,,,,,
note,owlajgs,1,1,6,1,22,0,27,8941,5220,E0A4,4500,9158,5192,4590,,,,,,,
note,r1jp5f3v,1,1,6,2,19,1,24,6652,7020,E0A2,6300,,,,,,,,,,
note,frvbxh6,1,1,7,1,23,0,28,9918,5400,E0A4,4500,10135,5372,4770,,,10234,5310,,,
note,hpvbxwl,1,1,7,1,24,0,29.5,10915,5580,E0A4,4500,11132,5552,4860,,,,,,,E240
note,j16qode7,1,1,7,1,25,0,30,11425,5580,E0A4,4500,11642,5552,4860,,,,,,,
note,l1b9tw60,1,1,7,1,26,0,31,12207,5670,E0A4,4500,12424,5642,4860,,,,,,,
note,ota496l,1,1,7,2,23,1,28,9918,7110,E0A2,6300,,,,,,,,,,
clef,ix9p620,1,2,8,1,-1,-1,,117,9000,E050,8460,,,,,,,,,,
keysig,jikbrpu,1,2,8,1,-1,-1,,,,,8460,,,,,,,,,,
note,c1vlx8nz,1,2,8,1,27,0,32,891,9360,E0A3,8460,1108,9332,8730,,,1207,9270,,,
note,edjxg5p,1,2,8,1,28,0,35,2518,8910,E0A4,8460,2735,8882,8280,,,,,,,
clef,k1h6gfwk,1,2,8,2,-1,-1,,117,10440,E062,10260,,,,,,,,,,
keysig,l16sgjiz,1,2,8,2,-1,-1,,,,,10260,,,,,,,,,,
note,h14onpgt,1,2,8,2,27,1,32,891,10710,E0A2,10260,,,,,,,,,,
note,v1aak2lp,1,2,9,1,29,0,36,3552,9000,E0A4,8460,3769,8972,8370,,,3868,8910,,,
note,x1azmn68,1,2,9,1,30,0,37.5,4620,9180,E0A4,8460,4837,9152,8550,,,,,,,E240
