kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,be3mvsy,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,c10yzw6g,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,d3ugc4u,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
rest,w1cybpcc,1,0,0,1,-1,-1,,1292,900,E4E5,540,,,,,,,,,,
rest,x15wwqth,1,0,0,1,-1,-1,,1986,900,E4E5,540,,,,,,,,,,
rest,yv3lqdm,1,0,0,1,-1,-1,,2680,900,E4E5,540,,,,,,,,,,
note,z2gqwr3,1,0,0,1,0,0,3,3375,1710,E0A4,540,3592,1682,900,,,,,,,
note,m5odh2d,1,0,1,1,1,0,4,4271,1440,E0A4,540,4488,1412,810,,,4587,1350,,,
note,o1w2vfrn,1,0,1,1,2,0,5.5,5157,1440,E0A4,540,5374,1412,810,,,,,,,E240
note,qhghzyb,1,0,1,1,3,0,6,5609,1440,E0A4,540,5826,1412,810,,,,,,,
note,s82fpt,1,0,1,1,4,0,7,6303,1260,E0A4,540,6520,1232,630,,,,,,,
note,f12ecyql,1,0,2,1,5,0,8,7200,1350,E0A4,540,7417,1322,720,,,7516,1350,,,
note,hzub3xf,1,0,2,1,6,0,9.5,8086,1440,E0A4,540,8303,1412,810,,,,,,,E240
note,j14qhuvu,1,0,2,1,7,0,10,8605,1350,E0A4,540,8822,1322,720,,,,,,,
note,lcz237t,1,0,2,1,8,0,11,9299,1260,E0A4,540,9516,1232,630,,,,,,,
note,y23h8om,1,0,3,1,9,0,12,10196,1440,E0A4,540,10413,1412,810,,,10512,1350,,,
note,a1n0fw13,1,0,3,1,10,0,13.5,11082,1440,E0A4,540,11299,1412,810,,,,,,,E240
note,c1yevvwh,1,0,3,1,11,0,14,11601,1260,E0A4,540,11818,1232,630,,,,,,,
note,e11rutd2,1,0,3,1,12,0,15,12295,1080,E0A4,540,12512,1052,450,,,,,,,
clef,e1ar93zi,1,1,4,1,-1,-1,,90,3245,E050,2705,,,,,,,,,,
keysig,frs1ots,1,1,4,1,-1,-1,,,,,2705,,,,,,,,,,
note,rivwb27,1,1,4,1,13,0,16,828,3155,E0A3,2705,1045,3127,2525,,,1144,3155,,,
note,t1ajik95,1,1,4,1,14,0,19,2355,3155,E0A4,2705,2572,3127,2525,,,,,,,
note,goma0gm,1,1,5,1,15,0,20,3337,3245,E0A4,2705,3554,3217,2615,,,3653,3155,,,
note,i4vs11m,1,1,5,1,16,0,21.5,4339,3425,E0A4,2705,4556,3397,2795,,,,,,,E240
note,k19a056m,1,1,5,1,17,0,22,4852,3425,E0A4,2705,5069,3397,2795,,,,,,,
note,mlwp7zq,1,1,5,1,18,0,23,5638,3605,E0A4,2705,5855,3577,2975,,,,,,,
