kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,knmrkxz,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,lgr7s4w,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,mhzeg5g,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1440,E0A4,540,1573,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2060,1440,E0A4,540,2277,1412,810,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2764,1080,E0A4,540,2981,1052,450,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3469,1080,E0A4,540,3686,1052,450,,,,,,,
clef,n62wdna,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,otow48h,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,p8duzek,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4376,990,E0A4,540,4593,962,360,,,,,,,E240
note,hzub3xf,1,0,1,1,5,0,4.5,4835,990,E0A4,540,5052,962,360,,,,,,,E240
note,j14qhuvu,1,0,1,1,6,0,5,5294,990,E0A4,540,5511,962,360,,,,,,,E240
note,lcz237t,1,0,1,1,7,0,5.5,5754,990,E0A4,540,5971,962,360,,,,,,,E240
note,ndvl5ld,1,0,1,1,8,0,6,6213,1080,E0A3,540,6430,1052,450,,,,,,,
note,qjepdrb,1,0,1,2,4,1,4,4376,3150,E0A2,2340,,,,,,,,,,
note,e11rutd2,1,0,2,1,9,0,8,7488,1170,E0A4,540,7705,1142,540,,,,,,,
note,g1ho95rp,1,0,2,1,10,0,9,8192,1170,E0A4,540,8409,1142,540,,,,,,,
note,i4s4uc4,1,0,2,1,11,0,10,8896,1260,E0A4,540,9113,1232,630,,,,,,,
note,kgtp1zt,1,0,2,1,12,0,11,9601,1260,E0A4,540,9818,1232,630,,,,,,,
note,n1p91bt0,1,0,2,2,9,1,8,7488,3150,E0A2,2340,,,,,,,,,,
note,bb8g0u0,1,0,3,1,13,0,12,10508,1350,E0A4,540,10725,1322,720,,,,,,,
note,d16zdwlv,1,0,3,1,14,0,13,11212,1350,E0A4,540,11429,1322,720,,,,,,,
note,fqn9gl2,1,0,3,1,15,0,14,11916,1440,E0A3,540,12133,1412,810,,,,,,,
note,i4vs11m,1,0,3,2,13,1,12,10508,3060,E0A2,2340,,,,,,,,,,
clef,ouqcmfa,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,pad6qux,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,w1qijfro,1,1,4,1,16,0,16,888,5040,E0A4,4500,1105,5012,4410,,,,,,,
note,y1ccvmbx,1,1,4,1,17,0,17,1557,5040,E0A4,4500,1774,5012,4410,,,,,,,E240
note,au36i87,1,1,4,1,18,0,17.5,1993,5040,E0A4,4500,2210,5012,4410,,,,,,,E240
