kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,yfs0gck,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,z17glthj,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,add650g,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1293,1440,E0A4,540,1510,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2001,1440,E0A4,540,2218,1412,810,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2709,1080,E0A4,540,2926,1052,450,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3418,1080,E0A4,540,3635,1052,450,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4329,990,E0A4,540,4546,962,360,,,,,,,E240
note,rgx8bjh,1,0,1,1,5,0,4.5,4791,990,E0A4,540,5008,962,360,,,,,,,E240
note,t3elz0m,1,0,1,1,6,0,5,5253,990,E0A4,540,5470,962,360,,,,,,,E240
note,v6sh6uc,1,0,1,1,7,0,5.5,5715,990,E0A4,540,5932,962,360,,,,,,,E240
note,xfggj11,1,0,1,1,8,0,6,6177,1080,E0A3,540,6394,1052,450,,,,,,,
note,k1dict13,1,0,2,1,9,0,8,7458,1170,E0A4,540,7675,1142,540,,,,,,,
note,mwxt00x,1,0,2,1,10,0,9,8166,1170,E0A4,540,8383,1142,540,,,,,,,
note,o1nwbnw5,1,0,2,1,11,0,10,8874,1260,E0A4,540,9091,1232,630,,,,,,,
note,qjepdrb,1,0,2,1,12,0,11,9583,1260,E0A4,540,9800,1232,630,,,,,,,
note,d1sqgsul,1,0,3,1,13,0,12,10494,1350,E0A4,540,10711,1322,720,,,,,,,
note,fwigvp2,1,0,3,1,14,0,13,11202,1350,E0A4,540,11419,1322,720,,,,,,,
note,h1wvbc8t,1,0,3,1,15,0,14,11910,1440,E0A3,540,12127,1412,810,,,,,,,
clef,bqh2tga,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,c1k0c89y,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,u6oscn4,1,1,4,1,16,0,16,825,3240,E0A4,2700,1042,3212,2610,,,,,,,
note,w19obtds,1,1,4,1,17,0,17,1498,3240,E0A4,2700,1715,3212,2610,,,,,,,E240
note,yvzjjlx,1,1,4,1,18,0,17.5,1937,3240,E0A4,2700,2154,3212,2610,,,,,,,E240
note,a1tqy1kq,1,1,4,1,19,0,18,2376,3330,E0A4,2700,2593,3302,2700,,,,,,,
note,cfjak8c,1,1,4,1,20,0,19,3049,3330,E0A4,2700,3266,3302,2700,,,,,,,
note,p1ufntge,1,1,5,1,21,0,20,3914,3420,E0A4,2700,4131,3392,2790,,,,,,,
note,rxq6cll,1,1,5,1,22,0,21,4587,3420,E0A4,2700,4804,3392,2790,,,,,,,E240
note,t16fzqxk,1,1,5,1,23,0,21.5,5026,3420,E0A4,2700,5243,3392,2790,,,,,,,E240
note,v1n4j8tk,1,1,5,1,24,0,22,5465,3510,E0A4,2700,5682,3482,2880,,,,,,,
note,xpk0tft,1,1,5,1,25,0,23,6138,3510,E0A4,2700,6355,3482,2880,,,,,,,
note,kc0c02x,1,1,6,1,26,0,24,7003,3240,E0A4,2700,7220,3212,2610,,,,,,,
note,mixe56f,1,1,6,1,27,0,25,7676,3240,E0A4,2700,7893,3212,2610,,,,,,,E240
note,o186unp8,1,1,6,1,28,0,25.5,8115,3240,E0A4,2700,8332,3212,2610,,,,,,,E240
note,qqy4i76,1,1,6,1,29,0,26,8554,3330,E0A4,2700,8771,3302,2700,,,,,,,
note,s2cpl9z,1,1,6,1,30,0,27,9227,3330,E0A4,2700,9444,3302,2700,,,,,,,
note,fuiaea7,1,1,7,1,31,0,28,10092,3420,E0A4,2700,10309,3392,2790,,,,,,,
note,h3i55up,1,1,7,1,32,0,29,10765,3420,E0A4,2700,10982,3392,2790,,,,,,,E240
note,j1rmtrje,1,1,7,1,33,0,29.5,11204,3420,E0A4,2700,11421,3392,2790,,,,,,,E240
note,lke0vy6,1,1,7,1,34,0,30,11643,3510,E0A4,2700,11860,3482,2880,,,,,,,
note,n41nhpl,1,1,7,1,35,0,31,12316,3510,E0A4,2700,12533,3482,2880,,,,,,,
clef,d18gps4z,1,2,8,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,e15nrzf5,1,2,8,1,-1,-1,,,,,4860,,,,,,,,,,
note,a85g2or,1,2,8,1,36,0,32,825,5760,E0A2,4860,,,,,,,,,,
