kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,e1b2zh1q,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,f17pxg6s,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,g1l19r5r,1,0,0,1,-1,-1,,784,720,E082,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1369,1080,E0A4,540,1586,1052,450,,,,,,,E240
note,k1d0qcvg,1,0,0,1,1,0,0.5,1861,1080,E0A4,540,2078,1052,450,,,,,,,E240
note,m5odh2d,1,0,0,1,2,0,1,2352,1260,E0A4,540,2569,1232,630,,,,,,,E240
note,o1w2vfrn,1,0,0,1,3,0,1.5,2879,1080,E0A4,540,3096,1052,450,,,,,,,E240
clef,h2cdlu8,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,i19j9r7g,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,jib9gig,1,0,0,2,-1,-1,,784,2520,E082,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1369,2790,E0A4,2340,1586,2762,2160,,,,,,,
note,t3elz0m,1,0,0,2,2,1,1,2352,2430,E0A4,2340,2361,2458,3060,,,,,,,
note,hzub3xf,1,0,1,1,4,0,2,3626,990,E0A4,540,3843,962,360,,,,,,,E240
note,j14qhuvu,1,0,1,1,5,0,2.5,4118,1080,E0A4,540,4335,1052,450,,,,,,,E240
note,lcz237t,1,0,1,1,6,0,3,4609,1260,E0A4,540,4826,1232,630,,,,,,,
note,o1nwbnw5,1,0,1,2,4,1,2,3626,2790,E0A4,2340,3843,2762,2160,,,,,,,
note,qjepdrb,1,0,1,2,6,1,3,4609,2430,E0A4,2340,4618,2458,3060,,,,,,,
note,e11rutd2,1,0,2,1,7,0,4,5569,1260,E0A4,540,5786,1232,630,,,,,,,
note,g1ho95rp,1,0,2,1,8,0,5,6323,1350,E0A4,540,6540,1322,720,,,,,,,
note,jo3qcsy,1,0,2,2,7,1,4,5569,3060,E0A4,2340,5786,3032,2430,,,,,,,
note,l1wb3e2s,1,0,2,2,8,1,5,6323,2700,E0A4,2340,6332,2728,3300,,,,,,,
note,z4bj489,1,0,3,1,9,0,6,7282,1260,E0A4,540,7499,1232,630,,,,,,,
note,bb8g0u0,1,0,3,1,10,0,7,8036,1350,E0A4,540,8253,1322,720,,,,,,,
note,e11izfdo,1,0,3,2,9,1,6,7282,3060,E0A4,2340,7499,3032,2430,,,,,,,
note,goma0gm,1,0,3,2,10,1,7,8036,2700,E0A4,2340,8045,2728,3300,,,,,,,
note,ulubfbi,1,0,4,1,11,0,8,8995,1080,E0A4,540,9212,1052,450,,,,,,,E240
note,w1qijfro,1,0,4,1,12,0,8.5,9487,1080,E0A4,540,9704,1052,450,,,,,,,E240
note,y1ccvmbx,1,0,4,1,13,0,9,9978,1260,E0A4,540,10195,1232,630,,,,,,,E240
