kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,x1hsj1ve,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,y1yzbo1c,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,z77l06n,1,0,0,1,-1,-1,,721,720,E082,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1306,1080,E0A4,540,1523,1052,450,,,,,,,E240
note,yv3lqdm,1,0,0,1,1,0,0.5,1801,1080,E0A4,540,2018,1052,450,,,,,,,E240
note,a1pfogn4,1,0,0,1,2,0,1,2297,1260,E0A4,540,2514,1232,630,,,,,,,E240
note,c1ahluu1,1,0,0,1,3,0,1.5,2824,1080,E0A4,540,3041,1052,450,,,,,,,E240
note,pk6xyvl,1,0,1,1,4,0,2,3572,990,E0A4,540,3789,962,360,,,,,,,E240
note,rgx8bjh,1,0,1,1,5,0,2.5,4067,1080,E0A4,540,4284,1052,450,,,,,,,E240
note,t3elz0m,1,0,1,1,6,0,3,4563,1260,E0A4,540,4780,1232,630,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,4,5527,1260,E0A4,540,5744,1232,630,,,,,,,
note,izv1mc9,1,0,2,1,8,0,5,6286,1350,E0A4,540,6503,1322,720,,,,,,,
note,v1bpmbr1,1,0,3,1,9,0,6,7250,1260,E0A4,540,7467,1232,630,,,,,,,
note,x1oxd4nf,1,0,3,1,10,0,7,8009,1350,E0A4,540,8226,1322,720,,,,,,,
note,kgtp1zt,1,0,4,1,11,0,8,8973,1080,E0A4,540,9190,1052,450,,,,,,,E240
note,m1c77hfv,1,0,4,1,12,0,8.5,9468,1080,E0A4,540,9685,1052,450,,,,,,,E240
note,o1hn97h8,1,0,4,1,13,0,9,9964,1260,E0A4,540,10181,1232,630,,,,,,,E240
