kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,m1m5xw95,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,nb2q5yd,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,q1sur31n,1,0,0,1,-1,-1,,1283,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1857,540,E0A3,540,1866,565,1170,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,2,3172,630,E0A3,540,3181,655,1260,,,,,,,
clef,r1ybqcgf,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,shcrdrf,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,v5hyoqx,1,0,0,2,-1,-1,,1283,2520,E084,2340,,,,,,,,,,
note,n16gprxv,1,0,0,2,0,1,0,1857,2700,E0A2,2340,,,,,,,,,,
note,b37hn12,1,0,1,1,2,0,4,4691,720,E0A3,540,4700,745,1350,,,,,,,
note,d1eyoooy,1,0,1,1,3,0,6,6006,810,E0A3,540,6015,835,1440,,,,,,,
note,gjwwkjn,1,0,1,2,2,1,4,4691,2970,E0A2,2340,,,,,,,,,,
note,u4oqxce,1,0,2,1,4,0,8,7525,900,E0A3,540,7534,925,1500,,,,,,,
note,w1m11mph,1,0,2,1,5,0,10,8840,990,E0A3,540,9057,962,360,,,,,,,
note,z16wv72r,1,0,2,2,4,1,8,7525,2880,E0A2,2340,,,,,,,,,,
note,n1p91bt0,1,0,3,1,6,0,12,10359,900,E0A3,540,10368,925,1500,,,,,,,
note,pmwmthe,1,0,3,1,7,0,14,11674,810,E0A3,540,11683,835,1440,,,,,,,
note,s1f31sgl,1,0,3,2,6,1,12,10359,3150,E0A2,2340,,,,,,,,,,
clef,kjq09bi,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,l1ensnqm,1,1,4,1,-1,-1,,798,4500,E262,4500,,,,,,,,,,
note,goma0gm,1,1,4,1,8,0,16,1381,4680,E0A3,4500,1390,4705,5310,,,,,,,
note,i4vs11m,1,1,4,1,9,0,18,2522,4770,E0A3,4500,2531,4795,5400,,,,,,,
clef,o1hrir9j,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,p6rkkm3,1,1,4,2,-1,-1,,798,6480,E262,6300,,,,,,,,,,
note,l1e7ub62,1,1,4,2,8,1,16,1381,7020,E0A2,6300,,,,,,,,,,
note,z1onwf8y,1,1,5,1,10,0,20,3851,4860,E0A3,4500,3860,4885,5460,,,,,,,
note,b1bp6nfw,1,1,5,1,11,0,22,4992,4950,E0A3,4500,5209,4922,4320,,,,,,,
note,efwg9mm,1,1,5,2,10,1,20,3851,6660,E0A2,6300,,,,,,,,,,
note,s2cpl9z,1,1,6,1,12,0,24,6321,5040,E0A3,4500,6538,5012,4410,,,,,,,
note,u19knp2v,1,1,6,1,13,0,26,7462,5130,E0A3,4500,7679,5102,4500,,,,,,,
note,xz5i2aa,1,1,6,2,12,1,24,6321,7020,E0A2,6300,,,,,,,,,,
note,lke0vy6,1,1,7,1,14,0,28,8791,5040,E0A3,4500,9008,5012,4410,,,,,,,
note,n41nhpl,1,1,7,1,15,0,30,9932,5220,E0A3,4500,10149,5192,4590,,,,,,,
note,q1m10xie,1,1,7,2,14,1,28,8791,6930,E0A2,6300,,,,,,,,,,
note,er631e3,1,1,8,1,16,0,32,11261,5310,E0A2,4500,,,,,,,,,,
note,hpvbxwl,1,1,8,2,16,1,32,11261,6660,E0A2,6300,,,,,,,,,,
