kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,f1y1mgxh,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,g1vplvve,1,0,0,1,-1,-1,,735,540,E262,540,,,,,,,,,,
metersig,j1wugmch,1,0,0,1,-1,-1,,1220,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1794,540,E0A3,540,1803,565,1170,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,2,3117,630,E0A3,540,3126,655,1260,,,,,,,
note,leeh8fz,1,0,1,1,2,0,4,4644,720,E0A3,540,4653,745,1350,,,,,,,
note,n16gprxv,1,0,1,1,3,0,6,5967,810,E0A3,540,5976,835,1440,,,,,,,
note,a3ie8ud,1,0,2,1,4,0,8,7494,900,E0A3,540,7503,925,1500,,,,,,,
note,c1kyp1ws,1,0,2,1,5,0,10,8817,990,E0A3,540,9034,962,360,,,,,,,
note,p1r78e3w,1,0,3,1,6,0,12,10344,900,E0A3,540,10353,925,1500,,,,,,,
note,r1y47wy7,1,0,3,1,7,0,14,11667,810,E0A3,540,11676,835,1440,,,,,,,
clef,s1w0ysrk,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,t1u30b27,1,1,4,1,-1,-1,,735,2700,E262,2700,,,,,,,,,,
note,e11rutd2,1,1,4,1,8,0,16,1319,2880,E0A3,2700,1328,2905,3510,,,,,,,
note,g1ho95rp,1,1,4,1,9,0,18,2466,2970,E0A3,2700,2475,2995,3600,,,,,,,
note,t1ajik95,1,1,5,1,10,0,20,3802,3060,E0A3,2700,3811,3085,3660,,,,,,,
note,vyt4ad,1,1,5,1,11,0,22,4949,3150,E0A3,2700,5166,3122,2520,,,,,,,
note,i4vs11m,1,1,6,1,12,0,24,6285,3240,E0A3,2700,6502,3212,2610,,,,,,,
note,k19a056m,1,1,6,1,13,0,26,7432,3330,E0A3,2700,7649,3302,2700,,,,,,,
note,xpk0tft,1,1,7,1,14,0,28,8768,3240,E0A3,2700,8985,3212,2610,,,,,,,
note,z1onwf8y,1,1,7,1,15,0,30,9915,3420,E0A3,2700,10132,3392,2790,,,,,,,
note,mixe56f,1,1,8,1,16,0,32,11251,3510,E0A2,2700,,,,,,,,,,
