kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,asg5cvv,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,br6qpch,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,d1a1rsjo,1,0,0,1,-1,-1,,1105,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1682,1080,E0A4,540,1899,1052,450,,,,,,,
rest,k1d0qcvg,1,0,0,1,-1,-1,,2492,900,E4E6,540,,,,,,,,,,
note,leeh8fz,1,0,0,1,1,0,1.5,3020,1350,E0A4,540,3237,1322,720,,,,,,,E240
note,n16gprxv,1,0,0,1,2,0,2,3557,1080,E0A4,540,3774,1052,450,,,,,,,
rest,pk6xyvl,1,0,0,1,-1,-1,,4367,900,E4E6,540,,,,,,,,,,
note,qhghzyb,1,0,0,1,3,0,3.5,4894,1350,E0A4,540,5111,1322,720,,,,,,,E240
clef,e1rxpl5m,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,feweujp,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,h1wk06jc,1,0,0,2,-1,-1,,1105,2520,E084,2340,,,,,,,,,,
note,t3elz0m,1,0,0,2,0,1,0,1682,3060,E0A2,2340,,,,,,,,,,
note,hzub3xf,1,0,1,1,4,0,4,5654,1080,E0A4,540,5871,1052,450,,,,,,,E240
note,j14qhuvu,1,0,1,1,5,0,4.5,6182,1350,E0A4,540,6399,1322,720,,,,,,,E240
note,lcz237t,1,0,1,1,6,0,5,6719,1080,E0A4,540,6936,1052,450,,,,,,,E240
note,ndvl5ld,1,0,1,1,7,0,5.5,7256,900,E0A4,540,7265,928,1500,,,,,,,E241
note,p1r78e3w,1,0,1,1,8,0,6,7783,720,E0A3,540,7792,745,1350,,,,,,,
note,sqqgytg,1,0,1,2,4,1,4,5654,3060,E0A2,2340,,,,,,,,,,
note,g1ho95rp,1,0,2,1,9,0,8,9224,810,E0A4,540,9233,838,1440,,,,,,,
rest,i4s4uc4,1,0,2,1,-1,-1,,10034,900,E4E6,540,,,,,,,,,,
note,jo3qcsy,1,0,2,1,10,0,9.5,10562,990,E0A4,540,10779,962,360,,,,,,,E240
note,l1wb3e2s,1,0,2,1,11,0,10,11099,810,E0A4,540,11108,838,1440,,,,,,,
rest,n1p91bt0,1,0,2,1,-1,-1,,11909,900,E4E6,540,,,,,,,,,,
note,o1hn97h8,1,0,2,1,12,0,11.5,12436,990,E0A4,540,12653,962,360,,,,,,,E240
note,rivwb27,1,0,2,2,9,1,8,9224,2700,E0A2,2340,,,,,,,,,,
clef,o1rv1vjs,1,1,3,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,pgyfwja,1,1,3,1,-1,-1,,798,4500,E262,4500,,,,,,,,,,
note,fqn9gl2,1,1,3,1,13,0,12,1211,4770,E0A4,4500,1220,4798,5400,,,,,,,E241
note,h1a2rmes,1,1,3,1,14,0,12.5,1788,4950,E0A4,4500,2005,4922,4320,,,,,,,E240
note,j1s8kxne,1,1,3,1,15,0,13,2365,5130,E0A4,4500,2582,5102,4500,,,,,,,E240
