kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,n1payjnk,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,okuje0l,1,0,0,1,-1,-1,,735,540,E262,540,,,,,,,,,,
metersig,q1ff9ms0,1,0,0,1,-1,-1,,1042,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1620,1080,E0A4,540,1837,1052,450,,,,,,,
rest,yv3lqdm,1,0,0,1,-1,-1,,2435,900,E4E6,540,,,,,,,,,,
note,z2gqwr3,1,0,0,1,1,0,1.5,2967,1350,E0A4,540,3184,1322,720,,,,,,,E240
note,b8j2ung,1,0,0,1,2,0,2,3505,1080,E0A4,540,3722,1052,450,,,,,,,
rest,d1iiegxs,1,0,0,1,-1,-1,,4321,900,E4E6,540,,,,,,,,,,
note,erbcoh7,1,0,0,1,3,0,3.5,4852,1350,E0A4,540,5069,1322,720,,,,,,,E240
note,rgx8bjh,1,0,1,1,4,0,4,5614,1080,E0A4,540,5831,1052,450,,,,,,,E240
note,t3elz0m,1,0,1,1,5,0,4.5,6145,1350,E0A4,540,6362,1322,720,,,,,,,E240
note,v6sh6uc,1,0,1,1,6,0,5,6683,1080,E0A4,540,6900,1052,450,,,,,,,E240
note,xfggj11,1,0,1,1,7,0,5.5,7221,900,E0A4,540,7230,928,1500,,,,,,,E241
note,zfx25hn,1,0,1,1,8,0,6,7753,720,E0A3,540,7762,745,1350,,,,,,,
note,mwxt00x,1,0,2,1,9,0,8,9203,810,E0A4,540,9212,838,1440,,,,,,,
rest,o1nwbnw5,1,0,2,1,-1,-1,,10018,900,E4E6,540,,,,,,,,,,
note,p1r78e3w,1,0,2,1,10,0,9.5,10550,990,E0A4,540,10767,962,360,,,,,,,E240
note,r1y47wy7,1,0,2,1,11,0,10,11088,810,E0A4,540,11097,838,1440,,,,,,,
rest,tmeaduc,1,0,2,1,-1,-1,,11904,900,E4E6,540,,,,,,,,,,
note,u4oqxce,1,0,2,1,12,0,11.5,12435,990,E0A4,540,12652,962,360,,,,,,,E240
clef,v1fhs4e5,1,1,3,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,w1gsrivy,1,1,3,1,-1,-1,,735,2700,E262,2700,,,,,,,,,,
note,h1wvbc8t,1,1,3,1,13,0,12,1149,2970,E0A4,2700,1158,2998,3600,,,,,,,E241
note,jo3qcsy,1,1,3,1,14,0,12.5,1729,3150,E0A4,2700,1946,3122,2520,,,,,,,E240
note,l1wb3e2s,1,1,3,1,15,0,13,2309,3330,E0A4,2700,2526,3302,2700,,,,,,,E240
note,n1p91bt0,1,1,3,1,16,0,13.5,2889,3150,E0A4,2700,3106,3122,2520,,,,,,,E240
note,pmwmthe,1,1,3,1,17,0,14,3469,3510,E0A3,2700,3686,3482,2880,,,,,,,
note,cfjak8c,1,1,4,1,18,0,16,5019,3240,E0A4,2700,5236,3212,2610,,,,,,,
rest,e11izfdo,1,1,4,1,-1,-1,,5909,3060,E4E6,2700,,,,,,,,,,
note,fqn9gl2,1,1,4,1,19,0,17.5,6489,3510,E0A4,2700,6706,3482,2880,,,,,,,E240
note,h1a2rmes,1,1,4,1,20,0,18,7069,3240,E0A4,2700,7286,3212,2610,,,,,,,
rest,j1s8kxne,1,1,4,1,-1,-1,,7959,3060,E4E6,2700,,,,,,,,,,
note,k19a056m,1,1,4,1,21,0,19.5,8539,3510,E0A4,2700,8756,3482,2880,,,,,,,E240
note,xpk0tft,1,1,5,1,22,0,20,9315,3240,E0A4,2700,9532,3212,2610,,,,,,,E240
note,z1onwf8y,1,1,5,1,23,0,20.5,9895,3510,E0A4,2700,10112,3482,2880,,,,,,,E240
note,b1bp6nfw,1,1,5,1,24,0,21,10475,3240,E0A4,2700,10692,3212,2610,,,,,,,E240
note,dxlbg6w,1,1,5,1,25,0,21.5,11055,3060,E0A4,2700,11064,3088,3660,,,,,,,E241
note,f1pu9rwv,1,1,5,1,26,0,22,11635,2880,E0A3,2700,11644,2905,3510,,,,,,,
clef,c1b1nc7q,1,2,6,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,d16owzst,1,2,6,1,-1,-1,,735,4860,E262,4860,,,,,,,,,,
note,s2cpl9z,1,2,6,1,27,0,24,1146,5130,E0A4,4860,1155,5158,5760,,,,,,,
rest,u19knp2v,1,2,6,1,-1,-1,,2025,5220,E4E6,4860,,,,,,,,,,
note,v1gxitk,1,2,6,1,28,0,25.5,2598,5310,E0A4,4860,2815,5282,4680,,,,,,,E240
note,xz5i2aa,1,2,6,1,29,0,26,3171,5130,E0A4,4860,3180,5158,5760,,,,,,,
rest,z11huxwv,1,2,6,1,-1,-1,,4050,5220,E4E6,4860,,,,,,,,,,
note,anr4k48,1,2,6,1,30,0,27.5,4623,5310,E0A4,4860,4840,5282,4680,,,,,,,E240
note,n41nhpl,1,2,7,1,31,0,28,5389,5130,E0A4,4860,5398,5158,5760,,,,,,,E241
note,p1pgsif9,1,2,7,1,32,0,28.5,5962,5310,E0A4,4860,6179,5282,4680,,,,,,,E240
note,r1jp5f3v,1,2,7,1,33,0,29,6535,5490,E0A4,4860,6752,5462,4860,,,,,,,E240
note,t14q1aig,1,2,7,1,34,0,29.5,7108,5310,E0A4,4860,7325,5282,4680,,,,,,,E240
note,v12wj9cg,1,2,7,1,35,0,30,7681,5400,E0A3,4860,7898,5372,4770,,,,,,,
