kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,i1a1n1z0,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,j1cn2q4z,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,k8jn786,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1440,E0A4,540,1573,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2089,1350,E0A4,540,2306,1322,720,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2822,1260,E0A4,540,3039,1232,630,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3554,1440,E0A4,540,3771,1412,810,,,,,,,
clef,l1nt3w5y,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,m1qse7af,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,ntv2kzo,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4490,1440,E0A4,540,4707,1412,810,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5223,1350,E0A4,540,5440,1322,720,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,5956,1260,E0A4,540,6173,1232,630,,,,,,,
note,lcz237t,1,0,1,1,7,0,7,6688,1440,E0A4,540,6905,1412,810,,,,,,,
note,o1nwbnw5,1,0,1,2,4,1,4,4490,2790,E0A2,2340,,,,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,8,7624,1260,E0A4,540,7841,1232,630,,,,,,,
note,e11rutd2,1,0,2,1,9,0,9,8357,1170,E0A4,540,8574,1142,540,,,,,,,
note,g1ho95rp,1,0,2,1,10,0,10,9090,1080,E0A3,540,9307,1052,450,,,,,,,
note,jo3qcsy,1,0,2,2,8,1,8,7624,2790,E0A2,2340,,,,,,,,,,
note,xm40ctx,1,0,3,1,11,0,12,10408,1260,E0A4,540,10625,1232,630,,,,,,,
note,z4bj489,1,0,3,1,12,0,13,11141,1170,E0A4,540,11358,1142,540,,,,,,,
note,bb8g0u0,1,0,3,1,13,0,14,11874,1080,E0A3,540,12091,1052,450,,,,,,,
note,e11izfdo,1,0,3,2,11,1,12,10408,2790,E0A2,2340,,,,,,,,,,
clef,mtvnr33,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,nwg9kau,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,16,890,5040,E0A4,4500,1107,5012,4410,,,,,,,E240
note,ulubfbi,1,1,4,1,15,0,16.5,1392,4950,E0A4,4500,1609,4922,4320,,,,,,,E240
note,w1qijfro,1,1,4,1,16,0,17,1850,5040,E0A4,4500,2067,5012,4410,,,,,,,E240
note,y1ccvmbx,1,1,4,1,17,0,17.5,2308,5130,E0A4,4500,2525,5102,4500,,,,,,,E240
note,au36i87,1,1,4,1,18,0,18,2766,5220,E0A4,4500,2983,5192,4590,,,,,,,
note,cg7y08o,1,1,4,1,19,0,19,3469,5400,E0A4,4500,3686,5372,4770,,,,,,,
clef,otnfcmb,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,p1vajskt,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,f1pu9rwv,1,1,4,2,14,1,16,890,6750,E0A2,6300,,,,,,,,,,
note,t12l1c7g,1,1,5,1,20,0,20,4366,5040,E0A4,4500,4583,5012,4410,,,,,,,E240
note,v1gxitk,1,1,5,1,21,0,20.5,4868,4950,E0A4,4500,5085,4922,4320,,,,,,,E240
note,xz5i2aa,1,1,5,1,22,0,21,5326,5040,E0A4,4500,5543,5012,4410,,,,,,,E240
note,z11huxwv,1,1,5,1,23,0,21.5,5784,5130,E0A4,4500,6001,5102,4500,,,,,,,E240
note,b1m8zn17,1,1,5,1,24,0,22,6242,5220,E0A4,4500,6459,5192,4590,,,,,,,
note,d10jcx5a,1,1,5,1,25,0,23,6945,5400,E0A4,4500,7162,5372,4770,,,,,,,
note,gxzwqqc,1,1,5,2,20,1,20,4366,6750,E0A2,6300,,,,,,,,,,
note,u1w3vevx,1,1,6,1,26,0,24,7842,5400,E0A4,4500,8059,5372,4770,,,,,,,
note,w164cdfr,1,1,6,1,27,0,25,8545,5670,E0A4,4500,8762,5642,4860,,,,,,,
note,yjaxy2q,1,1,6,1,28,0,26,9248,5400,E0A3,4500,9465,5372,4770,,,,,,,
note,bznfzok,1,1,6,2,26,1,24,7842,7020,E0A3,6300,8059,6992,6390,,,,,,,
note,dxvimeh,1,1,6,2,28,1,26,9248,6750,E0A3,6300,9465,6722,6120,,,,,,,
note,r1ymreae,1,1,7,1,29,0,28,10513,5400,E0A4,4500,10730,5372,4770,,,,,,,
note,tf1nsqr,1,1,7,1,30,0,29,11216,5670,E0A4,4500,11433,5642,4860,,,,,,,
note,v7t36q5,1,1,7,1,31,0,30,11919,5400,E0A3,4500,12136,5372,4770,,,,,,,
note,y1h79vgj,1,1,7,2,29,1,28,10513,7020,E0A3,6300,10730,6992,6390,,,,,,,
note,a1cyeyp3,1,1,7,2,31,1,30,11919,6750,E0A3,6300,12136,6722,6120,,,,,,,
