kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,v1fexet9,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,wfdbjo2,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,xi95yd4,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1293,1440,E0A4,540,1510,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2030,1350,E0A4,540,2247,1322,720,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2767,1260,E0A4,540,2984,1232,630,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3504,1440,E0A4,540,3721,1412,810,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4444,1440,E0A4,540,4661,1412,810,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5181,1350,E0A4,540,5398,1322,720,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,5918,1260,E0A4,540,6135,1232,630,,,,,,,
note,v6sh6uc,1,0,1,1,7,0,7,6655,1440,E0A4,540,6872,1412,810,,,,,,,
note,izv1mc9,1,0,2,1,8,0,8,7595,1260,E0A4,540,7812,1232,630,,,,,,,
note,k1dict13,1,0,2,1,9,0,9,8332,1170,E0A4,540,8549,1142,540,,,,,,,
note,mwxt00x,1,0,2,1,10,0,10,9069,1080,E0A3,540,9286,1052,450,,,,,,,
note,z16wv72r,1,0,3,1,11,0,12,10394,1260,E0A4,540,10611,1232,630,,,,,,,
note,b13viyd2,1,0,3,1,12,0,13,11131,1170,E0A4,540,11348,1142,540,,,,,,,
note,d1sqgsul,1,0,3,1,13,0,14,11868,1080,E0A3,540,12085,1052,450,,,,,,,
clef,yahx6qh,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,zj77q00,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,16,827,3240,E0A4,2700,1044,3212,2610,,,,,,,E240
note,s1f31sgl,1,1,4,1,15,0,16.5,1329,3150,E0A4,2700,1546,3122,2520,,,,,,,E240
note,u6oscn4,1,1,4,1,16,0,17,1790,3240,E0A4,2700,2007,3212,2610,,,,,,,E240
note,w19obtds,1,1,4,1,17,0,17.5,2251,3330,E0A4,2700,2468,3302,2700,,,,,,,E240
note,yvzjjlx,1,1,4,1,18,0,18,2712,3420,E0A4,2700,2929,3392,2790,,,,,,,
note,a1tqy1kq,1,1,4,1,19,0,19,3419,3600,E0A4,2700,3636,3572,2970,,,,,,,
note,nt9ronl,1,1,5,1,20,0,20,4321,3240,E0A4,2700,4538,3212,2610,,,,,,,E240
note,p1ufntge,1,1,5,1,21,0,20.5,4823,3150,E0A4,2700,5040,3122,2520,,,,,,,E240
note,rxq6cll,1,1,5,1,22,0,21,5284,3240,E0A4,2700,5501,3212,2610,,,,,,,E240
note,t16fzqxk,1,1,5,1,23,0,21.5,5745,3330,E0A4,2700,5962,3302,2700,,,,,,,E240
note,v1n4j8tk,1,1,5,1,24,0,22,6206,3420,E0A4,2700,6423,3392,2790,,,,,,,
note,xpk0tft,1,1,5,1,25,0,23,6913,3600,E0A4,2700,7130,3572,2970,,,,,,,
note,kc0c02x,1,1,6,1,26,0,24,7815,3600,E0A4,2700,8032,3572,2970,,,,,,,
note,mixe56f,1,1,6,1,27,0,25,8522,3870,E0A4,2700,8739,3842,3060,,,,,,,
note,o186unp8,1,1,6,1,28,0,26,9229,3600,E0A3,2700,9446,3572,2970,,,,,,,
note,b1m8zn17,1,1,7,1,29,0,28,10500,3600,E0A4,2700,10717,3572,2970,,,,,,,
note,d10jcx5a,1,1,7,1,30,0,29,11207,3870,E0A4,2700,11424,3842,3060,,,,,,,
note,fuiaea7,1,1,7,1,31,0,30,11914,3600,E0A3,2700,12131,3572,2970,,,,,,,
