kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,j1hm6l31,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,kn16av7,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,lfu0wn,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1557,540,E0A4,540,1566,568,1170,E262,1371,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2380,450,E0A4,540,2389,478,1080,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,3203,540,E0A4,540,3212,568,1170,,,3519,450,,,
note,o1w2vfrn,1,0,0,1,4,0,3.5,4562,450,E0A4,540,4571,478,1080,,,,,,,E241
clef,m103tnic,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,nwnzcqw,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,ouqcmfa,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1557,3330,E0A4,2340,1774,3302,2700,,,,,,,
note,t3elz0m,1,0,0,2,1,1,1,2380,2700,E0A4,2340,2389,2728,3300,,,,,,,
note,v6sh6uc,1,0,0,2,2,1,2,3203,3060,E0A4,2340,3420,3032,2430,,,,,,,
note,xfggj11,1,0,0,2,3,0,3,4026,2700,E0A4,2340,4035,2728,3300,,,,,,,
note,lcz237t,1,0,1,1,5,0,4,5502,540,E0A4,540,5511,568,1170,E262,5316,,,,,
note,ndvl5ld,1,0,1,1,6,0,5,6325,450,E0A4,540,6334,478,1080,,,,,,,
note,p1r78e3w,1,0,1,1,7,0,6,7148,540,E0A4,540,7157,568,1170,,,7464,450,,,
note,r1y47wy7,1,0,1,1,9,0,7.5,8507,450,E0A4,540,8516,478,1080,,,,,,,E241
note,u4oqxce,1,0,1,2,5,1,4,5502,3330,E0A4,2340,5719,3302,2700,,,,,,,
note,w1m11mph,1,0,1,2,6,1,5,6325,2700,E0A4,2340,6334,2728,3300,,,,,,,
note,y23h8om,1,0,1,2,7,1,6,7148,3060,E0A4,2340,7365,3032,2430,,,,,,,
note,a1n0fw13,1,0,1,2,8,0,7,7971,2700,E0A4,2340,7980,2728,3300,,,,,,,
note,o1hn97h8,1,0,2,1,10,0,8,9447,540,E0A4,540,9456,568,1170,E262,9261,,,,,
note,q14fmeoc,1,0,2,1,11,0,9,10270,450,E0A4,540,10279,478,1080,,,,,,,
note,s1f31sgl,1,0,2,1,12,0,10,11093,630,E0A4,540,11102,658,1260,,,11409,630,,,
note,u6oscn4,1,0,2,1,14,0,11.5,12452,450,E0A4,540,12461,478,1080,,,,,,,E241
note,xm40ctx,1,0,2,2,10,1,8,9447,3420,E0A4,2340,9664,3392,2700,,,,,,,
note,z4bj489,1,0,2,2,11,1,9,10270,2610,E0A4,2340,10279,2638,3240,,,,,,,
note,bb8g0u0,1,0,2,2,12,1,10,11093,3060,E0A4,2340,11310,3032,2430,,,,,,,
note,d16zdwlv,1,0,2,2,13,0,11,11916,2610,E0A4,2340,11925,2638,3240,,,,,,,
clef,nsvrkik,1,1,3,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,o1hrir9j,1,1,3,1,-1,-1,,,,,4500,,,,,,,,,,
note,rxq6cll,1,1,3,1,15,0,12,1081,4500,E0A4,4500,1090,4528,5130,E262,895,,,,,
note,t16fzqxk,1,1,3,1,16,0,13,1943,4410,E0A4,4500,1952,4438,5040,,,,,,,
note,v1n4j8tk,1,1,3,1,17,0,14,2806,4590,E0A4,4500,2815,4618,5220,,,3122,4590,,,
note,xpk0tft,1,1,3,1,19,0,15.5,4230,4410,E0A4,4500,4239,4438,5040,,,,,,,E241
clef,p6rkkm3,1,1,3,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,qbgmr49,1,1,3,2,-1,-1,,,,,6300,,,,,,,,,,
note,au36i87,1,1,3,2,15,1,12,1081,7380,E0A4,6300,1298,7352,6660,,,,,,,
note,cg7y08o,1,1,3,2,16,1,13,1943,6570,E0A4,6300,1952,6598,7200,,,,,,,
note,efwg9mm,1,1,3,2,17,1,14,2806,7020,E0A4,6300,3023,6992,6390,,,,,,,
note,g1wpyvd,1,1,3,2,18,0,15,3668,6570,E0A4,6300,3677,6598,7200,,,,,,,
note,u19knp2v,1,1,4,1,20,0,16,5179,4500,E0A4,4500,5188,4528,5130,E262,4993,,,,,
note,w1905d68,1,1,4,1,21,0,17,6041,4410,E0A4,4500,6050,4438,5040,,,,,,,
note,y17jmr1w,1,1,4,1,22,0,18,6904,4320,E0A4,4500,6913,4348,4950,,,7220,4230,,,
note,anr4k48,1,1,4,1,24,0,19.5,8328,4410,E0A4,4500,8337,4438,5040,,,,,,,E241
note,d10jcx5a,1,1,4,2,20,1,16,5179,7290,E0A4,6300,5396,7262,6660,,,,,,,
note,fuiaea7,1,1,4,2,21,1,17,6041,6480,E0A4,6300,6050,6508,7110,,,,,,,
note,h3i55up,1,1,4,2,22,1,18,6904,7020,E0A4,6300,7121,6992,6390,,,,,,,
note,j1rmtrje,1,1,4,2,23,0,19,7766,6480,E0A4,6300,7775,6508,7110,,,,,,,
note,x1053kmm,1,1,5,1,25,0,20,9277,4500,E0A4,4500,9286,4528,5130,E262,9091,,,,,
