kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,d1dkf8ui,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,e1t04f3m,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,f1y1mgxh,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1497,540,E0A4,540,1506,568,1170,E262,1311,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2403,450,E0A4,540,2412,478,1080,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,3310,540,E0A4,540,3319,568,1170,,,3626,450,,,
note,c1ahluu1,1,0,0,1,3,0,3.5,4465,450,E0A4,540,4474,478,1080,,,,,,,E241
note,pk6xyvl,1,0,1,1,4,0,4,5463,540,E0A4,540,5472,568,1170,E262,5277,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,6369,450,E0A4,540,6378,478,1080,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,7276,540,E0A4,540,7285,568,1170,,,7592,450,,,
note,v6sh6uc,1,0,1,1,7,0,7.5,8431,450,E0A4,540,8440,478,1080,,,,,,,E241
note,izv1mc9,1,0,2,1,8,0,8,9429,540,E0A4,540,9438,568,1170,E262,9243,,,,,
note,k1dict13,1,0,2,1,9,0,9,10335,450,E0A4,540,10344,478,1080,,,,,,,
note,mwxt00x,1,0,2,1,10,0,10,11242,630,E0A4,540,11251,658,1260,,,11558,630,,,
note,o1nwbnw5,1,0,2,1,11,0,11.5,12397,450,E0A4,540,12406,478,1080,,,,,,,E241
clef,gwp1uti,1,1,3,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,h1nmk4lp,1,1,3,1,-1,-1,,,,,2700,,,,,,,,,,
note,b13viyd2,1,1,3,1,12,0,12,1012,2700,E0A4,2700,1021,2728,3330,E262,826,,,,,
note,d1sqgsul,1,1,3,1,13,0,13,1702,2610,E0A4,2700,1711,2638,3240,,,,,,,
note,fwigvp2,1,1,3,1,14,0,14,2392,2790,E0A4,2700,2401,2818,3420,,,2708,2790,,,
note,h1wvbc8t,1,1,3,1,15,0,15.5,3272,2610,E0A4,2700,3281,2638,3240,,,,,,,E241
note,u6oscn4,1,1,4,1,16,0,16,4101,2700,E0A4,2700,4110,2728,3330,E262,3915,,,,,
note,w19obtds,1,1,4,1,17,0,17,4791,2610,E0A4,2700,4800,2638,3240,,,,,,,
note,yvzjjlx,1,1,4,1,18,0,18,5481,2520,E0A4,2700,5490,2548,3150,,,5797,2430,,,
note,a1tqy1kq,1,1,4,1,19,0,19.5,6361,2610,E0A4,2700,6370,2638,3240,,,,,,,E241
note,nt9ronl,1,1,5,1,20,0,20,7190,2700,E0A4,2700,7199,2728,3330,E262,7004,,,,,
note,p1ufntge,1,1,5,1,21,0,21,7880,2610,E0A4,2700,7889,2638,3240,,,,,,,
note,rxq6cll,1,1,5,1,22,0,22,8570,2520,E0A4,2700,8579,2548,3150,,,8886,2430,,,
note,t16fzqxk,1,1,5,1,23,0,23.5,9450,2610,E0A4,2700,9459,2638,3240,,,,,,,E241
note,g1wpyvd,1,1,6,1,24,0,24,10279,2700,E0A4,2700,10288,2728,3330,E262,10093,,,,,
note,ipk7z6m,1,1,6,1,25,0,25,10969,2610,E0A4,2700,10978,2638,3240,,,,,,,
note,kc0c02x,1,1,6,1,26,0,26,11659,2340,E0A4,2700,11668,2368,3060,,,11975,2250,,,
note,mixe56f,1,1,6,1,27,0,27.5,12539,2610,E0A4,2700,12548,2638,3240,,,,,,,E241
clef,iljpcte,1,2,7,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,jrwsesl,1,2,7,1,-1,-1,,,,,4860,,,,,,,,,,
note,z11huxwv,1,2,7,1,28,0,28,1011,4860,E0A4,4860,1020,4888,5490,E262,825,,,,,
note,b1m8zn17,1,2,7,1,29,0,29,1700,4770,E0A4,4860,1709,4798,5400,,,,,,,
note,d10jcx5a,1,2,7,1,30,0,30,2389,4500,E0A3,4860,2398,4525,5220,,,,,,,
