kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,gv3p55l,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,h1x2xvmt,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,i1pecaom,1,0,0,1,-1,-1,,790,720,E083,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,630,E0A4,540,1365,658,1260,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2101,720,E0A4,540,2110,748,1350,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2846,630,E0A4,540,2855,658,1260,,,,,,,
clef,j1hm6l31,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,kn16av7,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,lfu0wn,1,0,0,2,-1,-1,,790,2520,E083,2340,,,,,,,,,,
note,pk6xyvl,1,0,0,2,0,1,0,1356,3240,E0A3,2340,1573,3212,2610,,,1672,3150,,,
note,d1eyoooy,1,0,1,1,3,0,3,3794,720,E0A4,540,3803,748,1350,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4539,630,E0A4,540,4548,658,1260,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5284,900,E0A4,540,5293,928,1500,,,,,,,
note,k1dict13,1,0,1,2,3,1,3,3794,3240,E0A3,2340,4011,3212,2610,,,4110,3150,,,
note,y23h8om,1,0,2,1,6,0,6,6232,720,E0A4,540,6241,748,1350,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,7,6977,810,E0A4,540,6986,838,1440,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,8,7722,990,E0A4,540,7939,962,360,,,,,,,
note,fwigvp2,1,0,2,2,6,1,6,6232,2970,E0A3,2340,6449,2942,2340,,,6548,2970,,,
note,t1ajik95,1,0,3,1,9,0,9,8670,990,E0A3,540,8887,962,360,,,,,,,
note,vyt4ad,1,0,3,1,10,0,11,9805,1440,E0A4,540,10022,1412,810,,,,,,,
note,yvzjjlx,1,0,3,2,9,1,9,8670,2970,E0A3,2340,8887,2942,2340,,,8986,2970,,,
note,mlwp7zq,1,0,4,1,11,0,12,10753,1260,E0A4,540,10970,1232,630,,,,,,,
note,o1awc8ol,1,0,4,1,12,0,13,11498,990,E0A4,540,11715,962,360,,,,,,,
note,qg6e4o,1,0,4,1,13,0,14,12243,900,E0A4,540,12252,928,1500,,,,,,,
note,ulubfbi,1,0,4,2,11,1,12,10753,2970,E0A3,2340,10970,2942,2340,,,11069,2970,,,
tie,s1xjwapg,1,0,4,,-1,-1,,12514,855,,,,,,,,,,12930,855,
clef,kjq09bi,1,1,5,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,l1ensnqm,1,1,5,1,-1,-1,,,,,4500,,,,,,,,,,
note,ipk7z6m,1,1,5,1,14,0,15,887,4860,E0A3,4500,896,4885,5460,,,,,,,
note,kc0c02x,1,1,5,1,15,0,17,1882,5220,E0A4,4500,2099,5192,4590,,,,,,,
clef,m110knfo,1,1,5,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,nsvrkik,1,1,5,2,-1,-1,,,,,6300,,,,,,,,,,
note,n1t7t9o8,1,1,5,2,14,1,15,887,7200,E0A3,6300,1104,7172,6570,,,1203,7110,,,
note,b1m8zn17,1,1,6,1,16,0,18,2728,5040,E0A4,4500,2945,5012,4410,,,,,,,
note,d10jcx5a,1,1,6,1,17,0,19,3382,4860,E0A4,4500,3391,4888,5460,,,,,,,
note,fuiaea7,1,1,6,1,18,0,20,4036,4770,E0A4,4500,4045,4798,5400,,,,,,,
note,j1rmtrje,1,1,6,2,16,1,18,2728,7200,E0A3,6300,2945,7172,6570,,,3044,7110,,,
tie,h3i55up,1,1,6,,-1,-1,,4307,4725,,,,,,,,,,4836,4725,
note,x1053kmm,1,1,7,1,19,0,21,4881,4770,E0A3,4500,4890,4795,5400,,,,,,,
note,z18z7271,1,1,7,1,20,0,23,5876,5220,E0A4,4500,6093,5192,4590,,,,,,,
note,cc8wdp9,1,1,7,2,19,1,21,4881,6930,E0A3,6300,5098,6902,6300,,,5197,6930,,,
note,qh54nwx,1,1,8,1,21,0,24,6722,4590,E0A4,4500,6731,4618,5220,,,,,,,
note,sbicarv,1,1,8,1,22,0,25,7376,4680,E0A4,4500,7385,4708,5310,,,,,,,
note,u1ilo7gs,1,1,8,1,23,0,26,8030,4590,E0A4,4500,8039,4618,5220,,,,,,,
note,xl2xv5c,1,1,8,2,21,1,24,6722,7200,E0A3,6300,6939,7172,6570,,,7038,7110,,,
note,lklwdg,1,1,9,1,24,0,27,8875,4680,E0A4,4500,8884,4708,5310,,,,,,,
note,n1tqn102,1,1,9,1,25,0,28,9529,4590,E0A4,4500,9538,4618,5220,,,,,,,
note,p13wmgga,1,1,9,1,26,0,29,10183,4860,E0A4,4500,10192,4888,5460,,,,,,,
note,s1tkjxkp,1,1,9,2,24,1,27,8875,7200,E0A3,6300,9092,7172,6570,,,9191,7110,,,
note,gfmd4j,1,1,10,1,27,0,30,11028,4680,E0A4,4500,11037,4708,5310,,,,,,,
note,i1lorvfs,1,1,10,1,28,0,31,11682,4770,E0A4,4500,11691,4798,5400,,,,,,,
note,k1u86xew,1,1,10,1,29,0,32,12336,4950,E0A4,4500,12553,4922,4320,,,,,,,
note,n114aunr,1,1,10,2,27,1,30,11028,6930,E0A3,6300,11245,6902,6300,,,11344,6930,,,
tie-span,s1xjwapg,1,1,-1,,-1,-1,,708,4725,,,,,,,,,,1000,4725,
