kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,q12egnpa,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,r11pynnw,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,s5uf2yz,1,0,0,1,-1,-1,,727,720,E083,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1293,630,E0A4,540,1302,658,1260,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2043,720,E0A4,540,2052,748,1350,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2792,630,E0A4,540,2801,658,1260,,,,,,,
note,n16gprxv,1,0,1,1,3,0,3,3745,720,E0A4,540,3754,748,1350,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4495,630,E0A4,540,4504,658,1260,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5244,900,E0A4,540,5253,928,1500,,,,,,,
note,ewtw03u,1,0,2,1,6,0,6,6197,720,E0A4,540,6206,748,1350,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,7,6947,810,E0A4,540,6956,838,1440,,,,,,,
note,izv1mc9,1,0,2,1,8,0,8,7696,990,E0A4,540,7913,962,360,,,,,,,
note,v1bpmbr1,1,0,3,1,9,0,9,8649,990,E0A3,540,8866,962,360,,,,,,,
note,x1oxd4nf,1,0,3,1,10,0,11,9789,1440,E0A4,540,10006,1412,810,,,,,,,
note,kgtp1zt,1,0,4,1,11,0,12,10742,1260,E0A4,540,10959,1232,630,,,,,,,
note,m1c77hfv,1,0,4,1,12,0,13,11492,990,E0A4,540,11709,962,360,,,,,,,
note,o1hn97h8,1,0,4,1,13,0,14,12241,900,E0A4,540,12250,928,1500,,,,,,,
tie,q14fmeoc,1,0,4,,-1,-1,,12512,855,,,,,,,,,,12933,855,
clef,tqy1153,1,1,5,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,u18ubvay,1,1,5,1,-1,-1,,,,,2700,,,,,,,,,,
note,cfjak8c,1,1,5,1,14,0,15,825,3060,E0A3,2700,834,3085,3660,,,,,,,
note,e11izfdo,1,1,5,1,15,0,17,1825,3420,E0A4,2700,2042,3392,2790,,,,,,,
note,rxq6cll,1,1,6,1,16,0,18,2675,3240,E0A4,2700,2892,3212,2610,,,,,,,
note,t16fzqxk,1,1,6,1,17,0,19,3332,3060,E0A4,2700,3341,3088,3660,,,,,,,
note,v1n4j8tk,1,1,6,1,18,0,20,3989,2970,E0A4,2700,3998,2998,3600,,,,,,,
tie,xpk0tft,1,1,6,,-1,-1,,4260,2925,,,,,,,,,,4794,2925,
note,j1vmyhcz,1,1,7,1,19,0,21,4839,2970,E0A3,2700,4848,2995,3600,,,,,,,
note,l1lqnom3,1,1,7,1,20,0,23,5839,3420,E0A4,2700,6056,3392,2790,,,,,,,
note,y17jmr1w,1,1,8,1,21,0,24,6689,2790,E0A4,2700,6698,2818,3420,,,,,,,
note,anr4k48,1,1,8,1,22,0,25,7346,2880,E0A4,2700,7355,2908,3510,,,,,,,
note,csdt8x1,1,1,8,1,23,0,26,8003,2790,E0A4,2700,8012,2818,3420,,,,,,,
note,p1pgsif9,1,1,9,1,24,0,27,8853,2880,E0A4,2700,8862,2908,3510,,,,,,,
note,r1jp5f3v,1,1,9,1,25,0,28,9510,2790,E0A4,2700,9519,2818,3420,,,,,,,
note,t14q1aig,1,1,9,1,26,0,29,10167,3060,E0A4,2700,10176,3088,3660,,,,,,,
note,g1gv1amb,1,1,10,1,27,0,30,11017,2880,E0A4,2700,11026,2908,3510,,,,,,,
note,i1yz9fdu,1,1,10,1,28,0,31,11674,2970,E0A4,2700,11683,2998,3600,,,,,,,
note,k16e8mly,1,1,10,1,29,0,32,12331,3150,E0A4,2700,12548,3122,2520,,,,,,,
tie-span,q14fmeoc,1,1,-1,,-1,-1,,645,2925,,,,,,,,,,938,2925,
clef,v1kcs7nl,1,2,11,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,w18hkzd,1,2,11,1,-1,-1,,,,,4860,,,,,,,,,,
note,xl2xv5c,1,2,11,1,30,0,33,825,5310,E0A3,4860,1042,5282,4680,,,1141,5310,,,
