kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,j7y1msa,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,k1kiwv55,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,nb2q5yd,1,0,0,1,-1,-1,,1283,720,E084,540,,,,,,,,,,
note,j1mj6nxn,1,0,0,1,0,0,0,1860,1350,E0A2,540,,,,,,,,,,
clef,o1dqgm9z,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,pb8i62n,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,shcrdrf,1,0,0,2,-1,-1,,1283,2520,E084,2340,,,,,,,,,,
note,m5odh2d,1,0,0,2,0,1,0,1860,2520,E0A4,2340,1869,2548,3150,,,,,,,
note,o1w2vfrn,1,0,0,2,1,0,1,2905,2520,E0A4,2340,2914,2548,3150,,,,,,,
note,qhghzyb,1,0,0,2,2,0,2,3949,2430,E0A3,2340,3958,2455,3060,,,,,,,
note,ewtw03u,1,0,1,1,3,0,4,5748,1350,E0A2,540,,,,,,,,,,
note,hzub3xf,1,0,1,2,3,1,4,5748,2520,E0A3,2340,5757,2545,3150,,,,,,,
note,j14qhuvu,1,0,1,2,4,0,6,7339,2430,E0A3,2340,7348,2455,3060,,,,,,,
note,y23h8om,1,0,2,1,5,0,8,9309,1170,E0A3,540,9526,1142,540,E261,9151,,,,,
rest,a1n0fw13,1,0,2,1,-1,-1,,10900,900,E4E5,540,,,,,,,,,,
note,b13viyd2,1,0,2,1,6,0,11,11944,1260,E0A4,540,12161,1232,630,,,,,,,
note,e11rutd2,1,0,2,2,5,1,8,9309,2790,E0A2,2340,,,,E261,9151,,,,,
clef,h2w1nt6,1,1,3,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,i1fd7hm6,1,1,3,1,-1,-1,,798,4500,E262,4500,,,,,,,,,,
note,s1f31sgl,1,1,3,1,7,0,12,1531,5310,E0A4,4500,1748,5282,4680,,,,,,,E240
note,u6oscn4,1,1,3,1,8,0,12.5,2181,5400,E0A4,4500,2398,5372,4770,E261,1997,,,,,E240
note,w19obtds,1,1,3,1,9,0,13,2655,5220,E0A4,4500,2872,5192,4590,,,,,,,E240
note,yvzjjlx,1,1,3,1,10,0,13.5,3086,5310,E0A4,4500,3303,5282,4680,,,,,,,E240
note,a1tqy1kq,1,1,3,1,11,0,14,3736,5400,E0A3,4500,3953,5372,4770,E261,3552,,,,,
clef,l1ensnqm,1,1,3,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,m110knfo,1,1,3,2,-1,-1,,798,6480,E262,6300,,,,,,,,,,
note,d16zdwlv,1,1,3,2,7,1,12,1531,6750,E0A2,6300,,,,E261,1373,,,,,
note,s1xjwapg,1,1,4,1,12,0,16,4929,5490,E0A3,4500,5146,5462,4860,,,5245,5490,,,
note,ulubfbi,1,1,4,1,13,0,19,6214,5580,E0A4,4500,6431,5552,4860,,,,,,,
note,xpk0tft,1,1,4,2,12,1,16,4929,6390,E0A2,6300,,,,,,,,,,
note,l1lqnom3,1,1,5,1,14,0,20,7237,5400,E0A2,4500,,,,E261,7053,,,,,
note,o186unp8,1,1,5,2,14,1,20,7237,6390,E0A2,6300,,,,,,,,,,
note,d10jcx5a,1,1,6,1,15,0,24,8949,4950,E0A3,4500,9166,4922,4320,,,,,,,
note,fuiaea7,1,1,6,1,16,0,26,9956,5040,E0A4,4500,10173,5012,4410,,,,,,,
note,h3i55up,1,1,6,1,17,0,27,10617,4770,E0A4,4500,10626,4798,5400,,,,,,,
note,kjeoxmv,1,1,6,2,15,1,24,8949,6660,E0A2,6300,,,,,,,,,,
note,yjaxy2q,1,1,7,1,18,0,28,11465,5040,E0A2,4500,,,,,,,,,,
note,bznfzok,1,1,7,2,18,1,28,11465,6660,E0A2,6300,,,,,,,,,,
