kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,l1lz6ltb,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,mgzg16q,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,ptxenxm,1,0,0,1,-1,-1,,1283,720,E084,540,,,,,,,,,,
note,j1mj6nxn,1,0,0,1,0,0,0,1698,1350,E0A2,540,,,,,,,,,,
clef,q12egnpa,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,r11pynnw,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,u1weiass,1,0,0,2,-1,-1,,1283,2520,E084,2340,,,,,,,,,,
note,m5odh2d,1,0,0,2,0,1,0,1698,2520,E0A4,2340,1707,2548,3150,,,,,,,
note,o1w2vfrn,1,0,0,2,1,0,1,3104,2520,E0A4,2340,3113,2548,3150,,,,,,,
note,qhghzyb,1,0,0,2,2,0,2,4509,2430,E0A3,2340,4518,2455,3060,,,,,,,
note,ewtw03u,1,0,1,1,3,0,4,7366,1350,E0A2,540,,,,,,,,,,
note,hzub3xf,1,0,1,2,3,1,4,7366,2520,E0A3,2340,7375,2545,3150,,,,,,,
note,j14qhuvu,1,0,1,2,4,0,6,10177,2430,E0A3,2340,10186,2455,3060,,,,,,,
clef,j144asoj,1,1,2,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,k7gvx74,1,1,2,1,-1,-1,,798,4500,E262,4500,,,,,,,,,,
note,y23h8om,1,1,2,1,5,0,8,1272,5130,E0A3,4500,1489,5102,4500,E261,1114,,,,,
rest,a1n0fw13,1,1,2,1,-1,-1,,4181,4860,E4E5,4500,,,,,,,,,,
note,b13viyd2,1,1,2,1,6,0,11,5636,5220,E0A4,4500,5853,5192,4590,,,,,,,
clef,n1hk6tqr,1,1,2,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,o1v9xy6y,1,1,2,2,-1,-1,,798,6480,E262,6300,,,,,,,,,,
note,e11rutd2,1,1,2,2,5,1,8,1272,6750,E0A2,6300,,,,E261,1114,,,,,
note,s1f31sgl,1,1,3,1,7,0,12,7169,5310,E0A4,4500,7386,5282,4680,,,,,,,E240
note,u6oscn4,1,1,3,1,8,0,12.5,7896,5400,E0A4,4500,8113,5372,4770,E261,7712,,,,,E240
note,w19obtds,1,1,3,1,9,0,13,8623,5220,E0A4,4500,8840,5192,4590,,,,,,,E240
note,yvzjjlx,1,1,3,1,10,0,13.5,9351,5310,E0A4,4500,9568,5282,4680,,,,,,,E240
note,a1tqy1kq,1,1,3,1,11,0,14,10078,5400,E0A3,4500,10295,5372,4770,E261,9894,,,,,
note,d16zdwlv,1,1,3,2,7,1,12,7169,6750,E0A2,6300,,,,E261,7011,,,,,
clef,f968hw5,1,2,4,1,-1,-1,,117,9000,E050,8460,,,,,,,,,,
keysig,gg9hfn5,1,2,4,1,-1,-1,,798,8460,E262,8460,,,,,,,,,,
note,s1xjwapg,1,2,4,1,12,0,16,1242,9450,E0A3,8460,1459,9422,8820,,,1558,9450,,,
note,ulubfbi,1,2,4,1,13,0,19,5616,9540,E0A4,8460,5833,9512,8820,,,,,,,
clef,jo9ijh3,1,2,4,2,-1,-1,,117,10440,E062,10260,,,,,,,,,,
keysig,k1ihtek4,1,2,4,2,-1,-1,,798,10440,E262,10260,,,,,,,,,,
note,xpk0tft,1,2,4,2,12,1,16,1242,10350,E0A2,10260,,,,,,,,,,
note,l1lqnom3,1,2,5,1,14,0,20,7157,9360,E0A2,8460,,,,E261,6973,,,,,
note,o186unp8,1,2,5,2,14,1,20,7157,10350,E0A2,10260,,,,,,,,,,
clef,b6mq2b5,1,3,6,1,-1,-1,,117,12960,E050,12420,,,,,,,,,,
keysig,c1jofubk,1,3,6,1,-1,-1,,798,12420,E262,12420,,,,,,,,,,
note,d10jcx5a,1,3,6,1,15,0,24,1242,12870,E0A3,12420,1459,12842,12240,,,,,,,
note,fuiaea7,1,3,6,1,16,0,26,4166,12960,E0A4,12420,4383,12932,12330,,,,,,,
note,h3i55up,1,3,6,1,17,0,27,5629,12690,E0A4,12420,5638,12718,13320,,,,,,,
clef,f1xo19nt,1,3,6,2,-1,-1,,117,14400,E062,14220,,,,,,,,,,
keysig,g1p91opc,1,3,6,2,-1,-1,,798,14400,E262,14220,,,,,,,,,,
note,kjeoxmv,1,3,6,2,15,1,24,1242,14580,E0A2,14220,,,,,,,,,,
note,yjaxy2q,1,3,7,1,18,0,28,7139,12960,E0A2,12420,,,,,,,,,,
note,bznfzok,1,3,7,2,18,1,28,7139,14580,E0A2,14220,,,,,,,,,,
