kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,bsc3s1f,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,cz07zri,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,f968hw5,1,0,0,1,-1,-1,,1283,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1880,990,E0A3,540,2097,962,360,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,2,3134,1080,E0A3,540,3351,1052,450,,,,,,,
clef,gg9hfn5,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,hjnm3ux,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,k1ihtek4,1,0,0,2,-1,-1,,1283,2520,E084,2340,,,,,,,,,,
note,n16gprxv,1,0,0,2,0,1,0,1880,2700,E0A2,2340,,,,,,,,,,
note,b37hn12,1,0,1,1,2,0,4,4616,1170,E0A3,540,4833,1142,540,,,,,,,
note,d1eyoooy,1,0,1,1,3,0,6,5870,1080,E0A3,540,6087,1052,450,,,,,,,
note,gjwwkjn,1,0,1,2,2,1,4,4616,2970,E0A2,2340,,,,,,,,,,
note,u4oqxce,1,0,2,1,4,0,8,7352,1170,E0A4,540,7569,1142,540,,,,,,,
note,w1m11mph,1,0,2,1,5,0,9,8176,1170,E0A4,540,8393,1142,540,,,,,,,
note,y23h8om,1,0,2,1,6,0,10,9000,1080,E0A3,540,9217,1052,450,,,,,,,
note,b13viyd2,1,0,2,2,4,1,8,7352,2700,E0A2,2340,,,,,,,,,,
note,pmwmthe,1,0,3,1,7,0,12,10482,1080,E0A3,540,10699,1052,450,,,,,,,
note,rivwb27,1,0,3,1,8,0,14,11736,1080,E0A3,540,11953,1052,450,,,,,,,
note,u6oscn4,1,0,3,2,7,1,12,10482,2700,E0A2,2340,,,,,,,,,,
