kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,yl0j1wk,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,zxa0yl0,1,0,0,1,-1,-1,,735,540,E262,540,,,,,,,,,,
metersig,b1i2cs03,1,0,0,1,-1,-1,,1042,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1604,1710,E0A3,540,1821,1682,900,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,2,2654,1620,E0A4,540,2871,1592,900,,,,,,,E240
note,a1pfogn4,1,0,0,1,2,0,2.5,3104,1530,E0A4,540,3321,1502,900,,,,,,,E240
note,c1ahluu1,1,0,0,1,3,0,3,3554,1710,E0A4,540,3771,1682,900,,,,,,,E240
note,erbcoh7,1,0,0,1,4,0,3.5,4004,1620,E0A4,540,4221,1592,900,,,,,,,E240
note,rgx8bjh,1,0,1,1,5,0,4,4707,1710,E0A3,540,4924,1682,900,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,5757,1710,E0A3,540,5974,1682,900,,,,,,,
