kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,w1pod1si,1,0,0,1,-1,-1,,88,720,E062,540,,,,,,,,,,
keysig,x8dckv,1,0,0,1,-1,-1,,769,720,E262,540,,,,,,,,,,
metersig,zxa0yl0,1,0,0,1,-1,-1,,1076,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1638,720,E0A4,540,1647,748,1350,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2328,810,E0A4,540,2337,838,1440,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,3018,720,E0A4,540,3027,748,1350,,,,,,,E241
note,c1ahluu1,1,0,0,1,3,0,2.5,3468,630,E0A4,540,3477,658,1260,,,,,,,E241
note,erbcoh7,1,0,0,1,4,0,3,3918,810,E0A4,540,3927,838,1440,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,4,4801,900,E0A3,540,4810,925,1500,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,5851,990,E0A3,540,6068,962,360,,,,,,,
