kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,sxj2c36,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,t15utuwc,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,uwj9bhi,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1440,E0A4,540,1573,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2113,1440,E0A4,540,2330,1412,810,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2870,1440,E0A4,540,3087,1412,810,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3627,1350,E0A4,540,3844,1322,720,,,,,,,
clef,vslc02z,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,w1b0hanf,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,x12icxr0,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4587,1440,E0A4,540,4804,1412,810,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5344,1440,E0A4,540,5561,1412,810,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,6101,1710,E0A3,540,6318,1682,900,,,,,,,
note,mwxt00x,1,0,1,2,4,1,4,4587,3060,E0A2,2340,,,,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,8,7455,1620,E0A4,540,7672,1592,900,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,9,8212,1710,E0A4,540,8429,1682,900,,,,,,,
note,e11rutd2,1,0,2,1,9,0,10,8969,1620,E0A4,540,9186,1592,900,,,,,,,
note,g1ho95rp,1,0,2,1,10,0,11,9726,1530,E0A4,540,9943,1502,900,,,,,,,
note,jo3qcsy,1,0,2,2,7,1,8,7455,3150,E0A2,2340,,,,,,,,,,
note,xm40ctx,1,0,3,1,11,0,12,10686,1440,E0A3,540,10903,1412,810,,,,,,,
note,z4bj489,1,0,3,1,12,0,14,11838,1440,E0A3,540,12055,1412,810,,,,,,,
note,cfjak8c,1,0,3,2,11,1,12,10686,2790,E0A2,2340,,,,,,,,,,
clef,w1scataq,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,xeim7b3,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,qg6e4o,1,1,4,1,13,0,16,906,5400,E0A4,4500,1123,5372,4770,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,17,1692,5400,E0A4,4500,1909,5372,4770,,,,,,,
note,ulubfbi,1,1,4,1,15,0,18,2478,5400,E0A4,4500,2695,5372,4770,,,,,,,
note,w1qijfro,1,1,4,1,16,0,19,3264,5310,E0A4,4500,3481,5282,4680,,,,,,,
clef,y1a7c4v3,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,z106m8uy,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,z1onwf8y,1,1,4,2,13,1,16,906,6750,E0A2,6300,,,,,,,,,,
note,n1t7t9o8,1,1,5,1,17,0,20,4262,5400,E0A4,4500,4479,5372,4770,,,,,,,
note,p1vt5nji,1,1,5,1,18,0,21,5048,5400,E0A4,4500,5265,5372,4770,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,22,5834,5670,E0A3,4500,6051,5642,4860,,,,,,,
note,u19knp2v,1,1,5,2,17,1,20,4262,7020,E0A2,6300,,,,,,,,,,
note,i12zs17z,1,1,6,1,20,0,24,7241,5580,E0A4,4500,7458,5552,4860,,,,,,,
note,kjeoxmv,1,1,6,1,21,0,25,8027,5670,E0A4,4500,8244,5642,4860,,,,,,,
note,m1sctd0l,1,1,6,1,22,0,26,8813,5580,E0A4,4500,9030,5552,4860,,,,,,,
note,owlajgs,1,1,6,1,23,0,27,9599,5490,E0A4,4500,9816,5462,4860,,,,,,,
note,r1jp5f3v,1,1,6,2,20,1,24,7241,7110,E0A2,6300,,,,,,,,,,
note,frvbxh6,1,1,7,1,24,0,28,10597,5400,E0A3,4500,10814,5372,4770,,,,,,,
note,hpvbxwl,1,1,7,1,25,0,30,11793,5400,E0A3,4500,12010,5372,4770,,,,,,,
note,k16e8mly,1,1,7,2,24,1,28,10597,7020,E0A3,6300,10814,6992,6390,,,,,,,
note,m13k1pa7,1,1,7,2,25,1,30,11793,6750,E0A3,6300,12010,6722,6120,,,,,,,
