kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,jud9ngu,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,knw3qi6,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,l13er4uq,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1294,1440,E0A4,540,1511,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2054,1440,E0A4,540,2271,1412,810,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2815,1440,E0A4,540,3032,1412,810,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3576,1350,E0A4,540,3793,1322,720,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4541,1440,E0A4,540,4758,1412,810,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5301,1440,E0A4,540,5518,1412,810,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,6062,1710,E0A3,540,6279,1682,900,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,8,7425,1620,E0A4,540,7642,1592,900,,,,,,,
note,izv1mc9,1,0,2,1,8,0,9,8185,1710,E0A4,540,8402,1682,900,,,,,,,
note,k1dict13,1,0,2,1,9,0,10,8946,1620,E0A4,540,9163,1592,900,,,,,,,
note,mwxt00x,1,0,2,1,10,0,11,9707,1530,E0A4,540,9924,1502,900,,,,,,,
note,z16wv72r,1,0,3,1,11,0,12,10672,1440,E0A3,540,10889,1412,810,,,,,,,
note,b13viyd2,1,0,3,1,12,0,14,11831,1440,E0A3,540,12048,1412,810,,,,,,,
clef,m1miza2,1,1,4,1,-1,-1,,90,3245,E050,2705,,,,,,,,,,
keysig,nvr005u,1,1,4,1,-1,-1,,,,,2705,,,,,,,,,,
note,o1hn97h8,1,1,4,1,13,0,16,843,3605,E0A4,2705,1060,3577,2975,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,17,1633,3605,E0A4,2705,1850,3577,2975,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,18,2423,3605,E0A4,2705,2640,3577,2975,,,,,,,
note,u6oscn4,1,1,4,1,16,0,19,3213,3515,E0A4,2705,3430,3487,2885,,,,,,,
note,h1a2rmes,1,1,5,1,17,0,20,4215,3605,E0A4,2705,4432,3577,2975,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,21,5005,3605,E0A4,2705,5222,3577,2975,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,22,5795,3875,E0A3,2705,6012,3847,3065,,,,,,,
note,y1ccvmbx,1,1,6,1,20,0,24,7210,3785,E0A4,2705,7427,3757,3065,,,,,,,
note,au36i87,1,1,6,1,21,0,25,8000,3875,E0A4,2705,8217,3847,3065,,,,,,,
note,cg7y08o,1,1,6,1,22,0,26,8790,3785,E0A4,2705,9007,3757,3065,,,,,,,
note,efwg9mm,1,1,6,1,23,0,27,9580,3695,E0A4,2705,9797,3667,3065,,,,,,,
note,r3ruo0a,1,1,7,1,24,0,28,10582,3605,E0A3,2705,10799,3577,2975,,,,,,,
note,t12l1c7g,1,1,7,1,25,0,30,11786,3605,E0A3,2705,12003,3577,2975,,,,,,,
