kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,d97cg6v,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,ek6vjvm,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,h18e4bqf,1,0,0,1,-1,-1,,1289,720,E083,540,,,,,,,,,,
rest,izodm98,1,0,0,1,-1,-1,,1856,900,E4E4,540,,,,,,2171,810,,,
clef,i1j6tdc1,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,j18b57q7,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,m8csefu,1,0,0,2,-1,-1,,1289,2520,E083,2340,,,,,,,,,,
note,k1d0qcvg,1,0,0,2,0,0,0,1856,3060,E0A4,2340,2073,3032,2430,,,,,,,
note,m5odh2d,1,0,0,2,1,0,1,2644,1890,E0A3,2340,2653,1915,2880,,,,,,,
note,pk6xyvl,1,0,0,2,1,1,1,2644,2070,E0A3,2340,2653,1915,2880,,,,,,,
note,rgx8bjh,1,0,0,2,1,2,1,2644,2250,E0A3,2340,2653,1915,2880,,,,,,,
rest,f12ecyql,1,0,1,1,-1,-1,,4048,900,E4E4,540,,,,,,4363,810,,,
note,hzub3xf,1,0,1,2,2,0,3,4048,3330,E0A4,2340,4265,3302,2700,,,,,,,
note,j14qhuvu,1,0,1,2,3,0,4,4836,1890,E0A3,2340,4845,1915,2970,,,,,,,
note,mwxt00x,1,0,1,2,3,1,4,4836,2160,E0A3,2340,4845,1915,2970,,,,,,,
note,o1nwbnw5,1,0,1,2,3,2,4,4836,2340,E0A3,2340,4845,1915,2970,,,,,,,
rest,c1yevvwh,1,0,2,1,-1,-1,,6240,900,E4E4,540,,,,,,6555,810,,,
note,e11rutd2,1,0,2,2,4,0,6,6240,3060,E0A4,2340,6457,3032,2430,,,,,,,
note,g1ho95rp,1,0,2,2,5,0,7,7028,1890,E0A3,2340,7037,1915,2880,,,,,,,
note,jo3qcsy,1,0,2,2,5,1,7,7028,2070,E0A3,2340,7037,1915,2880,,,,,,,
note,l1wb3e2s,1,0,2,2,5,2,7,7028,2250,E0A3,2340,7037,1915,2880,,,,,,,
rest,z4bj489,1,0,3,1,-1,-1,,8432,900,E4E4,540,,,,,,8747,810,,,
note,bb8g0u0,1,0,3,2,6,0,9,8432,3330,E0A4,2340,8649,3302,2700,,,,,,,
note,d16zdwlv,1,0,3,2,7,0,10,9220,1890,E0A3,2340,9229,1915,2970,,,,,,,
note,goma0gm,1,0,3,2,7,1,10,9220,2160,E0A3,2340,9229,1915,2970,,,,,,,
note,i4vs11m,1,0,3,2,7,2,10,9220,2340,E0A3,2340,9229,1915,2970,,,,,,,
rest,w1qijfro,1,0,4,1,-1,-1,,10624,900,E4E5,540,,,,,,,,,,
note,xpk0tft,1,0,4,1,9,0,13,11412,540,E0A4,540,11421,568,1170,,,,,,,
note,z1onwf8y,1,0,4,1,10,0,14,12200,360,E0A4,540,12209,388,990,,,,,,,
note,cg7y08o,1,0,4,2,8,0,12,10624,3060,E0A4,2340,10841,3032,2430,,,,,,,
note,efwg9mm,1,0,4,2,9,1,13,11412,1890,E0A3,2340,11421,1915,2880,,,,,,,
note,h1hwlyfa,1,0,4,2,9,2,13,11412,2070,E0A3,2340,11421,1915,2880,,,,,,,
note,j1vmyhcz,1,0,4,2,9,3,13,11412,2250,E0A3,2340,11421,1915,2880,,,,,,,
clef,b4msw9s,1,1,5,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,c8hmirx,1,1,5,1,-1,-1,,798,4500,E262,4500,,,,,,,,,,
note,xz5i2aa,1,1,5,1,11,0,15,1379,4410,E0A4,4500,1388,4438,5040,,,,,,,
note,z11huxwv,1,1,5,1,12,0,16,2043,4500,E0A4,4500,2052,4528,5130,,,,,,,
