kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,be3mvsy,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,c10yzw6g,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,d3ugc4u,1,0,0,1,-1,-1,,790,720,E083,540,,,,,,,,,,
rest,izodm98,1,0,0,1,-1,-1,,1357,900,E4E4,540,,,,,,,,,,
note,j1mj6nxn,1,0,0,1,0,0,2,2476,1080,E0A4,540,2693,1052,450,,,,,,,E240
note,leeh8fz,1,0,0,1,1,0,2.5,2955,1080,E0A4,540,3172,1052,450,,,,,,,E240
clef,ej0djdy,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,f74smvy,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,g1ovwln8,1,0,0,2,-1,-1,,790,2520,E083,2340,,,,,,,,,,
rest,o1w2vfrn,1,0,0,2,-1,-1,,1357,2700,E4E4,2340,,,,,,1672,2610,,,
note,b37hn12,1,0,1,1,2,0,3,3697,990,E0A4,540,3914,962,360,,,,,,,
note,d1eyoooy,1,0,1,1,3,0,4,4431,1080,E0A4,540,4648,1052,450,,,,,,,
note,f12ecyql,1,0,1,1,4,0,5,5166,810,E0A4,540,5175,838,1440,,,,,,,
note,izv1mc9,1,0,1,2,2,1,3,3697,2790,E0A3,2340,3914,2762,2160,,,4013,2790,,,
note,w1m11mph,1,0,2,1,5,0,6,6105,900,E0A3,540,6114,925,1500,,,,,,,
note,y23h8om,1,0,2,1,6,0,8,7224,1080,E0A4,540,7441,1052,450,,,,,,,E240
note,a1n0fw13,1,0,2,1,7,0,8.5,7703,1080,E0A4,540,7920,1052,450,,,,,,,E240
note,d1sqgsul,1,0,2,2,5,1,6,6105,3060,E0A3,2340,6322,3032,2430,,,6421,2970,,,
note,rivwb27,1,0,3,1,8,0,9,8445,990,E0A4,540,8662,962,360,,,,,,,
note,t1ajik95,1,0,3,1,9,0,10,9179,1080,E0A4,540,9396,1052,450,,,,,,,
note,vyt4ad,1,0,3,1,10,0,11,9914,720,E0A4,540,9923,748,1350,,,,,,,
note,yvzjjlx,1,0,3,2,8,1,9,8445,3060,E0A3,2340,8662,3032,2430,,,8761,2970,,,
note,mlwp7zq,1,0,4,1,11,0,12,10853,810,E0A3,540,10862,835,1440,,,,,,,
note,o1awc8ol,1,0,4,1,12,0,14,11972,1080,E0A4,540,12189,1052,450,,,,,,,E240
note,qg6e4o,1,0,4,1,13,0,14.5,12451,1080,E0A4,540,12668,1052,450,,,,,,,E240
note,t16fzqxk,1,0,4,2,11,1,12,10853,2790,E0A3,2340,11070,2762,2160,,,11169,2790,,,
clef,f1dxmf41,1,1,5,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,gh6l6a5,1,1,5,1,-1,-1,,,,,4500,,,,,,,,,,
note,h1hwlyfa,1,1,5,1,14,0,15,888,4410,E0A4,4500,897,4438,5040,,,,,,,
note,j1vmyhcz,1,1,5,1,15,0,16,1584,4590,E0A4,4500,1593,4618,5220,,,,,,,
note,l1lqnom3,1,1,5,1,16,0,17,2280,4770,E0A4,4500,2289,4798,5400,,,,,,,
clef,h19k1vdt,1,1,5,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,ida5m2o,1,1,5,2,-1,-1,,,,,6300,,,,,,,,,,
note,o186unp8,1,1,5,2,14,1,15,888,6750,E0A3,6300,1105,6722,6120,,,1204,6750,,,
note,csdt8x1,1,1,6,1,17,0,18,3169,4860,E0A4,4500,3178,4888,5460,,,,,,,
note,ea7j3uy,1,1,6,1,18,0,19,3865,4950,E0A4,4500,4082,4922,4320,,,,,,,
note,gxzwqqc,1,1,6,1,19,0,20,4561,4500,E0A4,4500,4570,4528,5130,,,,,,,E241
note,i12zs17z,1,1,6,1,20,0,20.5,5015,4500,E0A4,4500,5024,4528,5130,,,,,,,E241
note,lke0vy6,1,1,6,2,17,1,18,3169,6480,E0A3,6300,3178,6505,7110,,,3485,6390,,,
note,z18z7271,1,1,7,1,21,0,21,5662,4590,E0A4,4500,5671,4618,5220,,,,,,,
note,bznfzok,1,1,7,1,22,0,22,6358,4770,E0A4,4500,6367,4798,5400,,,,,,,
note,dxvimeh,1,1,7,1,23,0,23,7054,4680,E0A4,4500,7063,4708,5310,,,,,,,
note,g1gv1amb,1,1,7,2,21,1,21,5662,7020,E0A3,6300,5879,6992,6390,,,5978,6930,,,
note,u1ilo7gs,1,1,8,1,24,0,24,7943,4770,E0A3,4500,7952,4795,5400,,,8259,4770,,,
note,xl2xv5c,1,1,8,2,24,1,24,7943,6750,E0A3,6300,8160,6722,6120,,,8259,6750,,,
