kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,j5nk4wk,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,k1o7y0zb,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,l18vr0ov,1,0,0,1,-1,-1,,727,720,E083,540,,,,,,,,,,
rest,w1cybpcc,1,0,0,1,-1,-1,,1294,900,E4E4,540,,,,,,,,,,
note,x15wwqth,1,0,0,1,0,0,2,2420,1080,E0A4,540,2637,1052,450,,,,,,,E240
note,z2gqwr3,1,0,0,1,1,0,2.5,2902,1080,E0A4,540,3119,1052,450,,,,,,,E240
note,m5odh2d,1,0,1,1,2,0,3,3645,990,E0A4,540,3862,962,360,,,,,,,
note,o1w2vfrn,1,0,1,1,3,0,4,4384,1080,E0A4,540,4601,1052,450,,,,,,,
note,qhghzyb,1,0,1,1,4,0,5,5124,810,E0A4,540,5133,838,1440,,,,,,,
note,d1eyoooy,1,0,2,1,5,0,6,6068,900,E0A3,540,6077,925,1500,,,,,,,
note,f12ecyql,1,0,2,1,6,0,8,7194,1080,E0A4,540,7411,1052,450,,,,,,,E240
note,hzub3xf,1,0,2,1,7,0,8.5,7676,1080,E0A4,540,7893,1052,450,,,,,,,E240
note,u4oqxce,1,0,3,1,8,0,9,8419,990,E0A4,540,8636,962,360,,,,,,,
note,w1m11mph,1,0,3,1,9,0,10,9158,1080,E0A4,540,9375,1052,450,,,,,,,
note,y23h8om,1,0,3,1,10,0,11,9898,720,E0A4,540,9907,748,1350,,,,,,,
note,l1wb3e2s,1,0,4,1,11,0,12,10842,810,E0A3,540,10851,835,1440,,,,,,,
note,n1p91bt0,1,0,4,1,12,0,14,11968,1080,E0A4,540,12185,1052,450,,,,,,,E240
note,pmwmthe,1,0,4,1,13,0,14.5,12450,1080,E0A4,540,12667,1052,450,,,,,,,E240
clef,m1kmd7lc,1,1,5,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,n16f88mx,1,1,5,1,-1,-1,,,,,2700,,,,,,,,,,
note,cfjak8c,1,1,5,1,14,0,15,825,2610,E0A4,2700,834,2638,3240,,,,,,,
note,e11izfdo,1,1,5,1,15,0,16,1525,2790,E0A4,2700,1534,2818,3420,,,,,,,
note,goma0gm,1,1,5,1,16,0,17,2225,2970,E0A4,2700,2234,2998,3600,,,,,,,
note,t16fzqxk,1,1,6,1,17,0,18,3118,3060,E0A4,2700,3127,3088,3660,,,,,,,
note,v1n4j8tk,1,1,6,1,18,0,19,3818,3150,E0A4,2700,4035,3122,2520,,,,,,,
note,xpk0tft,1,1,6,1,19,0,20,4518,2700,E0A4,2700,4527,2728,3330,,,,,,,E241
note,z1onwf8y,1,1,6,1,20,0,20.5,4974,2700,E0A4,2700,4983,2728,3330,,,,,,,E241
note,mixe56f,1,1,7,1,21,0,21,5623,2790,E0A4,2700,5632,2818,3420,,,,,,,
note,o186unp8,1,1,7,1,22,0,22,6323,2970,E0A4,2700,6332,2998,3600,,,,,,,
note,qqy4i76,1,1,7,1,23,0,23,7023,2880,E0A4,2700,7032,2908,3510,,,,,,,
note,d10jcx5a,1,1,8,1,24,0,24,7916,2970,E0A3,2700,7925,2995,3600,,,8232,2970,,,
