kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,d3f2pq8,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,e1ay72b4,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,f18zylx9,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1355,1260,E0A4,540,1572,1232,630,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2044,1350,E0A4,540,2261,1322,720,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2734,1440,E0A3,540,2951,1412,810,,,,,,,
clef,g1funsbb,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,hhv0vz9,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,i125x34,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,pk6xyvl,1,0,0,2,0,1,0,1355,2790,E0A2,2340,,,,,,,,,,
note,d1eyoooy,1,0,1,1,3,0,4,3985,1260,E0A4,540,4202,1232,630,,,,,,,
note,f12ecyql,1,0,1,1,4,0,5,4674,1350,E0A4,540,4891,1322,720,,,,,,,
note,hzub3xf,1,0,1,1,5,0,6,5364,1440,E0A3,540,5581,1412,810,,,,,,,
note,k1dict13,1,0,1,2,3,1,4,3985,2790,E0A2,2340,,,,,,,,,,
note,y23h8om,1,0,2,1,6,0,8,6615,1440,E0A4,540,6832,1412,810,,,,,,,E240
note,a1n0fw13,1,0,2,1,7,0,8.5,7064,1440,E0A4,540,7281,1412,810,,,,,,,E240
note,c1yevvwh,1,0,2,1,8,0,9,7512,1440,E0A4,540,7729,1412,810,,,,,,,E240
note,e11rutd2,1,0,2,1,9,0,9.5,7961,1440,E0A4,540,8178,1412,810,,,,,,,E240
note,g1ho95rp,1,0,2,1,10,0,10,8480,1350,E0A4,540,8697,1322,720,,,,,,,E240
note,i4s4uc4,1,0,2,1,11,0,10.5,8929,1350,E0A4,540,9146,1322,720,,,,,,,E240
note,kgtp1zt,1,0,2,1,12,0,11,9377,1350,E0A4,540,9594,1322,720,,,,,,,E240
note,m1c77hfv,1,0,2,1,13,0,11.5,9826,1350,E0A4,540,10043,1322,720,,,,,,,E240
note,pmwmthe,1,0,2,2,6,1,8,6615,3060,E0A2,2340,,,,,,,,,,
note,d16zdwlv,1,0,3,1,14,0,12,10562,1260,E0A4,540,10779,1232,630,,,,,,,
note,fqn9gl2,1,0,3,1,15,0,13,11251,1350,E0A4,540,11468,1322,720,,,,,,,
note,h1a2rmes,1,0,3,1,16,0,14,11941,1440,E0A3,540,12158,1412,810,,,,,,,
note,k19a056m,1,0,3,2,14,1,12,10562,3060,E0A3,2340,10779,3032,2430,,,,,,,
note,mlwp7zq,1,0,3,2,16,1,14,11941,2790,E0A3,2340,12158,2762,2160,,,,,,,
