kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,treqnvm,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,u62e529,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,v6j8d3t,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1292,1260,E0A4,540,1509,1232,630,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,1985,1350,E0A4,540,2202,1322,720,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2678,1440,E0A3,540,2895,1412,810,,,,,,,
note,n16gprxv,1,0,1,1,3,0,4,3935,1260,E0A4,540,4152,1232,630,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,5,4628,1350,E0A4,540,4845,1322,720,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,6,5321,1440,E0A3,540,5538,1412,810,,,,,,,
note,ewtw03u,1,0,2,1,6,0,8,6578,1440,E0A4,540,6795,1412,810,,,,,,,E240
note,gjwwkjn,1,0,2,1,7,0,8.5,7030,1440,E0A4,540,7247,1412,810,,,,,,,E240
note,izv1mc9,1,0,2,1,8,0,9,7482,1440,E0A4,540,7699,1412,810,,,,,,,E240
note,k1dict13,1,0,2,1,9,0,9.5,7935,1440,E0A4,540,8152,1412,810,,,,,,,E240
note,mwxt00x,1,0,2,1,10,0,10,8454,1350,E0A4,540,8671,1322,720,,,,,,,E240
note,o1nwbnw5,1,0,2,1,11,0,10.5,8906,1350,E0A4,540,9123,1322,720,,,,,,,E240
note,qjepdrb,1,0,2,1,12,0,11,9359,1350,E0A4,540,9576,1322,720,,,,,,,E240
note,sqqgytg,1,0,2,1,13,0,11.5,9811,1350,E0A4,540,10028,1322,720,,,,,,,E240
note,fwigvp2,1,0,3,1,14,0,12,10547,1260,E0A4,540,10764,1232,630,,,,,,,
note,h1wvbc8t,1,0,3,1,15,0,13,11240,1350,E0A4,540,11457,1322,720,,,,,,,
note,jo3qcsy,1,0,3,1,16,0,14,11933,1440,E0A3,540,12150,1412,810,,,,,,,
