kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,n4gh7nz,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,o5pnm2,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,posyp98,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1358,1260,E0A4,540,1575,1232,630,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2142,1260,E0A4,540,2359,1232,630,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2926,1260,E0A3,540,3143,1232,630,,,,,,,
clef,q1qr0xim,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,rqa2308,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,s1n7fet7,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,pk6xyvl,1,0,0,2,0,1,0,1358,2790,E0A3,2340,1575,2762,2160,,,,,,,
note,rgx8bjh,1,0,0,2,2,1,2,2926,2430,E0A3,2340,2935,2455,3060,,,,,,,
note,f12ecyql,1,0,1,1,3,0,4,4324,1260,E0A4,540,4541,1232,630,,,,,,,
note,hzub3xf,1,0,1,1,4,0,5,5108,1260,E0A4,540,5325,1232,630,,,,,,,
note,j14qhuvu,1,0,1,1,5,0,6,5892,1260,E0A3,540,6109,1232,630,,,,,,,
note,mwxt00x,1,0,1,2,3,1,4,4324,2790,E0A3,2340,4541,2762,2160,,,,,,,
note,o1nwbnw5,1,0,1,2,5,1,6,5892,2430,E0A3,2340,5901,2455,3060,,,,,,,
note,c1yevvwh,1,0,2,1,6,0,8,7290,1260,E0A4,540,7507,1232,630,,,,,,,
note,e11rutd2,1,0,2,1,7,0,9,8074,1080,E0A4,540,8291,1052,450,,,,,,,
note,g1ho95rp,1,0,2,1,8,0,10,8858,1440,E0A4,540,9075,1412,810,,,9174,1350,,,
note,i4s4uc4,1,0,2,1,9,0,11.5,9858,1350,E0A4,540,10075,1322,720,,,,,,,E240
note,l1wb3e2s,1,0,2,2,6,1,8,7290,2790,E0A3,2340,7507,2762,2160,,,,,,,
note,n1p91bt0,1,0,2,2,8,1,10,8858,2430,E0A3,2340,8867,2455,3060,,,,,,,
note,bb8g0u0,1,0,3,1,10,0,12,10604,1260,E0A2,540,,,,,,,,,,
note,e11izfdo,1,0,3,2,10,1,12,10604,2790,E0A3,2340,10821,2762,2160,,,,,,,
note,goma0gm,1,0,3,2,11,0,14,11796,2430,E0A3,2340,11805,2455,3060,,,,,,,
clef,r1rwacv0,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,s1tsud1n,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,ulubfbi,1,1,4,1,12,0,16,890,5130,E0A4,4500,1107,5102,4500,,,,,,,
note,w1qijfro,1,1,4,1,13,0,17,1640,5130,E0A4,4500,1857,5102,4500,,,,,,,
note,y1ccvmbx,1,1,4,1,14,0,18,2391,5130,E0A4,4500,2608,5102,4500,,,2707,5130,,,
note,au36i87,1,1,4,1,15,0,19.5,3349,5130,E0A4,4500,3566,5102,4500,,,,,,,E240
clef,t106ks9b,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,ukrjkzt,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,dxlbg6w,1,1,4,2,12,1,16,890,6480,E0A3,6300,899,6505,7110,,,,,,,
note,f1pu9rwv,1,1,4,2,14,1,18,2391,6120,E0A3,6300,2400,6145,6750,,,,,,,
note,t12l1c7g,1,1,5,1,16,0,20,4058,5130,E0A4,4500,4275,5102,4500,,,,,,,
note,v1gxitk,1,1,5,1,17,0,21,4808,5220,E0A4,4500,5025,5192,4590,,,,,,,
note,xz5i2aa,1,1,5,1,18,0,22,5559,5220,E0A4,4500,5776,5192,4590,,,,,,,
note,z11huxwv,1,1,5,1,19,0,23,6309,5220,E0A4,4500,6526,5192,4590,,,,,,,E240
note,b1m8zn17,1,1,5,1,20,0,23.5,6799,5220,E0A4,4500,7016,5192,4590,,,,,,,E240
note,ea7j3uy,1,1,5,2,16,1,20,4058,6750,E0A3,6300,4275,6722,6120,,,,,,,
note,gxzwqqc,1,1,5,2,18,1,22,5559,6390,E0A3,6300,5568,6415,7020,,,,,,,
note,u1w3vevx,1,1,6,1,21,0,24,7508,5220,E0A4,4500,7725,5192,4590,,,,,,,
note,w164cdfr,1,1,6,1,22,0,25,8258,5310,E0A4,4500,8475,5282,4680,,,,,,,
note,yjaxy2q,1,1,6,1,23,0,26,9009,5310,E0A4,4500,9226,5282,4680,,,,,,,
note,a85g2or,1,1,6,1,24,0,27,9759,5220,E0A4,4500,9976,5192,4590,,,,,,,
note,dxvimeh,1,1,6,2,21,1,24,7508,7020,E0A3,6300,7725,6992,6390,,,,,,,
note,frvbxh6,1,1,6,2,23,1,26,9009,6660,E0A3,6300,9018,6685,7260,,,,,,,
note,tf1nsqr,1,1,7,1,25,0,28,10705,5310,E0A3,4500,10922,5282,4680,,,,,,,
note,v7t36q5,1,1,7,1,26,0,30,11847,5040,E0A3,4500,12064,5012,4410,,,,,,,
note,y1h79vgj,1,1,7,2,25,1,28,10705,7020,E0A3,6300,10922,6992,6390,,,,,,,
note,a1cyeyp3,1,1,7,2,26,1,30,11847,6660,E0A3,6300,11856,6685,7260,,,,,,,
clef,t1s4lybs,1,2,8,1,-1,-1,,117,9000,E050,8460,,,,,,,,,,
keysig,u1ay6wo,1,2,8,1,-1,-1,,,,,8460,,,,,,,,,,
note,o9btm6t,1,2,8,1,27,0,32,891,9180,E0A4,8460,1108,9152,8550,,,,,,,
note,q2mj26n,1,2,8,1,28,0,33,1712,9180,E0A4,8460,1929,9152,8550,,,,,,,
note,s1tkjxkp,1,2,8,1,29,0,34,2534,9180,E0A3,8460,2751,9152,8550,,,,,,,
clef,v1k2z7tk,1,2,8,2,-1,-1,,117,10440,E062,10260,,,,,,,,,,
keysig,w153o7sc,1,2,8,2,-1,-1,,,,,10260,,,,,,,,,,
