kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,aq7cdkg,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,b6mq2b5,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,c1jofubk,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1296,1260,E0A4,540,1513,1232,630,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2130,1260,E0A4,540,2347,1232,630,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2965,1260,E0A3,540,3182,1232,630,,,,,,,
note,n16gprxv,1,0,1,1,3,0,4,4440,1260,E0A4,540,4657,1232,630,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,5,5274,1260,E0A4,540,5491,1232,630,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,6,6109,1260,E0A3,540,6326,1232,630,,,,,,,
note,ewtw03u,1,0,2,1,6,0,8,7584,1260,E0A4,540,7801,1232,630,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,9,8418,1080,E0A4,540,8635,1052,450,,,,,,,
note,izv1mc9,1,0,2,1,8,0,10,9253,1440,E0A4,540,9470,1412,810,,,9569,1350,,,
note,k1dict13,1,0,2,1,9,0,11.5,10317,1350,E0A4,540,10534,1322,720,,,,,,,E240
note,x1oxd4nf,1,0,3,1,10,0,12,11068,1260,E0A2,540,,,,,,,,,,
clef,d3ugc4u,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,ej0djdy,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,kgtp1zt,1,1,4,1,11,0,16,828,3330,E0A4,2700,1045,3302,2700,,,,,,,
note,m1c77hfv,1,1,4,1,12,0,17,1582,3330,E0A4,2700,1799,3302,2700,,,,,,,
note,o1hn97h8,1,1,4,1,13,0,18,2337,3330,E0A4,2700,2554,3302,2700,,,2653,3330,,,
note,q14fmeoc,1,1,4,1,14,0,19.5,3300,3330,E0A4,2700,3517,3302,2700,,,,,,,E240
note,d16zdwlv,1,1,5,1,15,0,20,4012,3330,E0A4,2700,4229,3302,2700,,,,,,,
note,fqn9gl2,1,1,5,1,16,0,21,4766,3420,E0A4,2700,4983,3392,2790,,,,,,,
note,h1a2rmes,1,1,5,1,17,0,22,5521,3420,E0A4,2700,5738,3392,2790,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,23,6275,3420,E0A4,2700,6492,3392,2790,,,,,,,E240
note,l1e7ub62,1,1,5,1,19,0,23.5,6767,3420,E0A4,2700,6984,3392,2790,,,,,,,E240
note,y1ccvmbx,1,1,6,1,20,0,24,7479,3420,E0A4,2700,7696,3392,2790,,,,,,,
note,au36i87,1,1,6,1,21,0,25,8233,3510,E0A4,2700,8450,3482,2880,,,,,,,
note,cg7y08o,1,1,6,1,22,0,26,8988,3510,E0A4,2700,9205,3482,2880,,,,,,,
note,efwg9mm,1,1,6,1,23,0,27,9742,3420,E0A4,2700,9959,3392,2790,,,,,,,
note,r3ruo0a,1,1,7,1,24,0,28,10692,3510,E0A3,2700,10909,3482,2880,,,,,,,
note,t12l1c7g,1,1,7,1,25,0,30,11840,3240,E0A3,2700,12057,3212,2610,,,,,,,
clef,frs1ots,1,2,8,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,g1dgssja,1,2,8,1,-1,-1,,,,,4860,,,,,,,,,,
note,gxzwqqc,1,2,8,1,26,0,32,824,5580,E0A4,4860,1041,5552,4950,,,,,,,
note,i12zs17z,1,2,8,1,27,0,33,1477,5580,E0A4,4860,1694,5552,4950,,,,,,,
note,kjeoxmv,1,2,8,1,28,0,34,2130,5580,E0A3,4860,2347,5552,4950,,,,,,,
note,x1053kmm,1,2,9,1,29,0,36,3316,5580,E0A4,4860,3533,5552,4950,,,,,,,
note,z18z7271,1,2,9,1,30,0,37,3969,5580,E0A4,4860,4186,5552,4950,,,,,,,
note,bznfzok,1,2,9,1,31,0,38,4622,5580,E0A3,4860,4839,5552,4950,,,,,,,
note,ota496l,1,2,10,1,32,0,40,5808,5580,E0A4,4860,6025,5552,4950,,,,,,,
note,qh54nwx,1,2,10,1,33,0,41,6461,5400,E0A4,4860,6678,5372,4770,,,,,,,
note,sbicarv,1,2,10,1,34,0,42,7114,5760,E0A4,4860,7331,5732,5130,,,7430,5670,,,
note,u1ilo7gs,1,2,10,1,35,0,43.5,7947,5670,E0A4,4860,8164,5642,5040,,,,,,,E240
note,h14onpgt,1,2,11,1,36,0,44,8646,5580,E0A2,4860,,,,,,,,,,
note,uh31vrx,1,2,12,1,37,0,48,10344,5490,E0A4,4860,10561,5462,4860,,,,,,,
note,w5xpaue,1,2,12,1,38,0,49,10997,5490,E0A4,4860,11214,5462,4860,,,,,,,
note,yj3q1z9,1,2,12,1,39,0,50,11650,5490,E0A4,4860,11867,5462,4860,,,11966,5490,,,
note,a1jj7l9j,1,2,12,1,40,0,51.5,12483,5490,E0A4,4860,12700,5462,4860,,,,,,,E240
clef,h19k1vdt,1,3,13,1,-1,-1,,90,7560,E050,7020,,,,,,,,,,
keysig,ida5m2o,1,3,13,1,-1,-1,,,,,7020,,,,,,,,,,
note,n114aunr,1,3,13,1,41,0,52,825,7650,E0A4,7020,1042,7622,7020,,,,,,,
note,p1lbogsu,1,3,13,1,42,0,53,1482,7740,E0A4,7020,1699,7712,7110,,,,,,,
note,r11fu5of,1,3,13,1,43,0,54,2139,7740,E0A4,7020,2356,7712,7110,,,,,,,
note,t14b93oq,1,3,13,1,44,0,55,2796,7740,E0A4,7020,3013,7712,7110,,,,,,,E240
note,v1vwdyp,1,3,13,1,45,0,55.5,3224,7740,E0A4,7020,3441,7712,7110,,,,,,,E240
note,i1nb62c3,1,3,14,1,46,0,56,3927,7560,E0A4,7020,4144,7532,6930,,,,,,,
note,kccwrwf,1,3,14,1,47,0,57,4584,7560,E0A4,7020,4801,7532,6930,,,,,,,
note,mb06m4d,1,3,14,1,48,0,58,5241,7650,E0A4,7020,5458,7622,7020,,,,,,,
note,o16z2swc,1,3,14,1,49,0,59,5898,7830,E0A4,7020,6115,7802,7200,,,,,,,
note,b179xb8m,1,3,15,1,50,0,60,6748,7920,E0A2,7020,,,,,,,,,,
