kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,t3x9m62,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,uhv9odq,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,vfk86fm,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1364,1260,E0A4,540,1581,1232,630,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2216,1530,E0A4,540,2433,1502,900,,,,,,,E240
note,m5odh2d,1,0,0,1,2,0,1.5,2771,1440,E0A4,540,2988,1412,810,,,,,,,E240
note,o1w2vfrn,1,0,0,1,3,0,2,3326,1350,E0A4,540,3543,1322,720,,,,,,,
note,qhghzyb,1,0,0,1,4,0,3,4178,1440,E0A4,540,4395,1412,810,,,,,,,E240
note,s82fpt,1,0,0,1,5,0,3.5,4733,1530,E0A4,540,4950,1502,900,,,,,,,E240
clef,wv5tjyx,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,xy9hgqq,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,y1dw7vlm,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,v6sh6uc,1,0,0,2,0,1,0,1364,2970,E0A2,2340,,,,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,4,5504,1620,E0A4,540,5721,1592,900,,,,,,,
note,lcz237t,1,0,1,1,7,0,5,6356,1620,E0A4,540,6573,1592,900,,,,,,,E240
note,ndvl5ld,1,0,1,1,8,0,5.5,6911,1440,E0A4,540,7128,1412,810,,,,,,,E240
note,p1r78e3w,1,0,1,1,9,0,6,7466,1260,E0A4,540,7683,1232,630,,,,,,,
note,r1y47wy7,1,0,1,1,10,0,7,8318,1350,E0A4,540,8535,1322,720,,,,,,,E240
note,tmeaduc,1,0,1,1,11,0,7.5,8873,1440,E0A4,540,9090,1412,810,,,,,,,E240
note,w1m11mph,1,0,1,2,6,1,4,5504,2970,E0A2,2340,,,,,,,,,,
note,kgtp1zt,1,0,2,1,12,0,8,9644,1530,E0A4,540,9861,1502,900,,,9960,1530,,,
note,m1c77hfv,1,0,2,1,13,0,9.5,10730,1440,E0A4,540,10947,1412,810,,,,,,,E240
note,o1hn97h8,1,0,2,1,14,0,10,11286,1350,E0A4,540,11503,1322,720,,,,,,,
note,q14fmeoc,1,0,2,1,15,0,11,12137,1260,E0A4,540,12354,1232,630,,,,,,,
note,t1ajik95,1,0,2,2,12,1,8,9644,3240,E0A2,2340,,,,,,,,,,
clef,x92ki5,1,1,3,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,yovh4x0,1,1,3,1,-1,-1,,,,,4500,,,,,,,,,,
note,h1a2rmes,1,1,3,1,16,0,12,888,5400,E0A4,4500,1105,5372,4770,,,,,,,
note,j1s8kxne,1,1,3,1,17,0,13,1577,5580,E0A4,4500,1794,5552,4860,,,,,,,
note,l1e7ub62,1,1,3,1,18,0,14,2267,5580,E0A3,4500,2484,5552,4860,,,,,,,
clef,z16qel68,1,1,3,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,a1kbpm1b,1,1,3,2,-1,-1,,,,,6300,,,,,,,,,,
note,o1awc8ol,1,1,3,2,16,1,12,888,6930,E0A2,6300,,,,,,,,,,
note,cg7y08o,1,1,4,1,19,0,16,3508,5310,E0A4,4500,3725,5282,4680,,,3824,5310,,,
note,efwg9mm,1,1,4,1,20,0,17.5,4386,5130,E0A4,4500,4603,5102,4500,,,,,,,E240
note,g1wpyvd,1,1,4,1,21,0,18,4881,4950,E0A4,4500,5098,4922,4320,,,,,,,
note,ipk7z6m,1,1,4,1,22,0,19,5570,5040,E0A4,4500,5787,5012,4410,,,,,,,E240
note,kc0c02x,1,1,4,1,23,0,19.5,6019,5130,E0A4,4500,6236,5102,4500,,,,,,,E240
note,n1t7t9o8,1,1,4,2,19,1,16,3508,6660,E0A2,6300,,,,,,,,,,
note,b1m8zn17,1,1,5,1,24,0,20,6720,5220,E0A4,4500,6937,5192,4590,,,7036,5130,,,
note,d10jcx5a,1,1,5,1,25,0,21.5,7598,5400,E0A4,4500,7815,5372,4770,,,,,,,E240
note,fuiaea7,1,1,5,1,26,0,22,8093,5220,E0A4,4500,8310,5192,4590,,,,,,,
note,h3i55up,1,1,5,1,27,0,23,8782,5310,E0A4,4500,8999,5282,4680,,,,,,,E240
note,j1rmtrje,1,1,5,1,28,0,23.5,9231,5400,E0A4,4500,9448,5372,4770,,,,,,,E240
note,m1sctd0l,1,1,5,2,24,1,20,6720,6750,E0A2,6300,,,,,,,,,,
note,a85g2or,1,1,6,1,29,0,24,9932,5490,E0A4,4500,10149,5462,4860,,,,,,,
note,cc8wdp9,1,1,6,1,30,0,25,10621,5490,E0A4,4500,10838,5462,4860,,,,,,,E240
note,er631e3,1,1,6,1,31,0,25.5,11115,5400,E0A4,4500,11332,5372,4770,,,,,,,E240
note,g1gv1amb,1,1,6,1,32,0,26,11609,5310,E0A4,4500,11826,5282,4680,,,,,,,
note,i1yz9fdu,1,1,6,1,33,0,27,12299,5220,E0A4,4500,12516,5192,4590,,,,,,,
note,l1b9tw60,1,1,6,2,29,1,24,9932,7200,E0A2,6300,,,,,,,,,,
clef,z1xnru6g,1,2,7,1,-1,-1,,117,9000,E050,8460,,,,,,,,,,
keysig,a397pa4,1,2,7,1,-1,-1,,,,,8460,,,,,,,,,,
note,z1f9wq1,1,2,7,1,34,0,28,888,9360,E0A4,8460,1105,9332,8730,,,,,,,
note,b18kllgp,1,2,7,1,35,0,29,1580,9540,E0A4,8460,1797,9512,8820,,,,,,,
note,d442sxk,1,2,7,1,36,0,30,2272,9540,E0A3,8460,2489,9512,8820,,,,,,,
clef,b11f58t1,1,2,7,2,-1,-1,,117,10440,E062,10260,,,,,,,,,,
keysig,c8p7s9g,1,2,7,2,-1,-1,,,,,10260,,,,,,,,,,
note,g1a9x3r7,1,2,7,2,34,1,28,888,10890,E0A2,10260,,,,,,,,,,
