kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,n1ldwx9,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,o1rd45cp,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,p108u2as,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1301,1260,E0A4,540,1518,1232,630,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2158,1530,E0A4,540,2375,1502,900,,,,,,,E240
note,a1pfogn4,1,0,0,1,2,0,1.5,2717,1440,E0A4,540,2934,1412,810,,,,,,,E240
note,c1ahluu1,1,0,0,1,3,0,2,3275,1350,E0A4,540,3492,1322,720,,,,,,,
note,erbcoh7,1,0,0,1,4,0,3,4132,1440,E0A4,540,4349,1412,810,,,,,,,E240
note,g14xmp24,1,0,0,1,5,0,3.5,4690,1530,E0A4,540,4907,1502,900,,,,,,,E240
note,t3elz0m,1,0,1,1,6,0,4,5462,1620,E0A4,540,5679,1592,900,,,,,,,
note,v6sh6uc,1,0,1,1,7,0,5,6319,1620,E0A4,540,6536,1592,900,,,,,,,E240
note,xfggj11,1,0,1,1,8,0,5.5,6878,1440,E0A4,540,7095,1412,810,,,,,,,E240
note,zfx25hn,1,0,1,1,9,0,6,7436,1260,E0A4,540,7653,1232,630,,,,,,,
note,b37hn12,1,0,1,1,10,0,7,8293,1350,E0A4,540,8510,1322,720,,,,,,,E240
note,d1eyoooy,1,0,1,1,11,0,7.5,8851,1440,E0A4,540,9068,1412,810,,,,,,,E240
note,qjepdrb,1,0,2,1,12,0,8,9623,1530,E0A4,540,9840,1502,900,,,9939,1530,,,
note,sqqgytg,1,0,2,1,13,0,9.5,10717,1440,E0A4,540,10934,1412,810,,,,,,,E240
note,u4oqxce,1,0,2,1,14,0,10,11275,1350,E0A4,540,11492,1322,720,,,,,,,
note,w1m11mph,1,0,2,1,15,0,11,12132,1260,E0A4,540,12349,1232,630,,,,,,,
clef,q12egnpa,1,1,3,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,r11pynnw,1,1,3,1,-1,-1,,,,,2700,,,,,,,,,,
note,jo3qcsy,1,1,3,1,16,0,12,826,3600,E0A4,2700,1043,3572,2970,,,,,,,
note,l1wb3e2s,1,1,3,1,17,0,13,1519,3780,E0A4,2700,1736,3752,3060,,,,,,,
note,n1p91bt0,1,1,3,1,18,0,14,2212,3780,E0A3,2700,2429,3752,3060,,,,,,,
note,a1tqy1kq,1,1,4,1,19,0,16,3460,3510,E0A4,2700,3677,3482,2880,,,3776,3510,,,
note,cfjak8c,1,1,4,1,20,0,17.5,4343,3330,E0A4,2700,4560,3302,2700,,,,,,,E240
note,e11izfdo,1,1,4,1,21,0,18,4840,3150,E0A4,2700,5057,3122,2520,,,,,,,
note,goma0gm,1,1,4,1,22,0,19,5532,3240,E0A4,2700,5749,3212,2610,,,,,,,E240
note,i4vs11m,1,1,4,1,23,0,19.5,5984,3330,E0A4,2700,6201,3302,2700,,,,,,,E240
note,v1n4j8tk,1,1,5,1,24,0,20,6689,3420,E0A4,2700,6906,3392,2790,,,7005,3330,,,
note,xpk0tft,1,1,5,1,25,0,21.5,7572,3600,E0A4,2700,7789,3572,2970,,,,,,,E240
note,z1onwf8y,1,1,5,1,26,0,22,8069,3420,E0A4,2700,8286,3392,2790,,,,,,,
note,b1bp6nfw,1,1,5,1,27,0,23,8761,3510,E0A4,2700,8978,3482,2880,,,,,,,E240
note,dxlbg6w,1,1,5,1,28,0,23.5,9213,3600,E0A4,2700,9430,3572,2970,,,,,,,E240
note,qqy4i76,1,1,6,1,29,0,24,9918,3690,E0A4,2700,10135,3662,3060,,,,,,,
note,s2cpl9z,1,1,6,1,30,0,25,10611,3690,E0A4,2700,10828,3662,3060,,,,,,,E240
note,u19knp2v,1,1,6,1,31,0,25.5,11107,3600,E0A4,2700,11324,3572,2970,,,,,,,E240
note,w1905d68,1,1,6,1,32,0,26,11604,3510,E0A4,2700,11821,3482,2880,,,,,,,
note,y17jmr1w,1,1,6,1,33,0,27,12297,3420,E0A4,2700,12514,3392,2790,,,,,,,
clef,sm8tzac,1,2,7,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,tqy1153,1,2,7,1,-1,-1,,,,,4860,,,,,,,,,,
note,lke0vy6,1,2,7,1,34,0,28,825,5760,E0A4,4860,1042,5732,5130,,,,,,,
note,n41nhpl,1,2,7,1,35,0,29,1517,5940,E0A4,4860,1734,5912,5220,,,,,,,
note,p1pgsif9,1,2,7,1,36,0,30,2209,5940,E0A3,4860,2426,5912,5220,,,,,,,
