kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,uu8kaot,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,v1bjsup8,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,w1ad52vh,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1357,1440,E0A4,540,1574,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2139,1260,E0A4,540,2356,1232,630,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2921,1080,E0A3,540,3138,1052,450,,,,,,,
clef,x1hsj1ve,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,y1yzbo1c,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,z77l06n,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,pk6xyvl,1,0,0,2,0,1,0,1357,2790,E0A2,2340,,,,,,,,,,
note,d1eyoooy,1,0,1,1,3,0,4,4316,990,E0A4,540,4533,962,360,,,,,,,
note,f12ecyql,1,0,1,1,4,0,5,5098,990,E0A4,540,5315,962,360,,,,,,,
note,hzub3xf,1,0,1,1,5,0,6,5880,1080,E0A3,540,6097,1052,450,,,,,,,
note,k1dict13,1,0,1,2,3,1,4,4316,3150,E0A2,2340,,,,,,,,,,
note,y23h8om,1,0,2,1,6,0,8,7275,1440,E0A4,540,7492,1412,810,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,9,8057,1260,E0A4,540,8274,1232,630,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,10,8839,1080,E0A3,540,9056,1052,450,,,,,,,
note,fwigvp2,1,0,2,2,6,1,8,7275,2790,E0A2,2340,,,,,,,,,,
note,t1ajik95,1,0,3,1,9,0,12,10234,1260,E0A4,540,10451,1232,630,,,,,,,
note,vyt4ad,1,0,3,1,10,0,13,11016,1260,E0A4,540,11233,1232,630,,,,,,,
note,xm40ctx,1,0,3,1,11,0,14,11798,1350,E0A3,540,12015,1322,720,,,,,,,
note,a1tqy1kq,1,0,3,2,9,1,12,10234,3060,E0A2,2340,,,,,,,,,,
clef,ywojwdc,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,zt0h9qi,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,o1awc8ol,1,1,4,1,12,0,16,924,5400,E0A4,4500,1141,5372,4770,,,,,,,
note,qg6e4o,1,1,4,1,13,0,17,1808,5220,E0A4,4500,2025,5192,4590,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,18,2692,5040,E0A3,4500,2909,5012,4410,,,,,,,
clef,ah375ku,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,be3mvsy,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,v1n4j8tk,1,1,4,2,12,1,16,924,6750,E0A2,6300,,,,,,,,,,
note,j1vmyhcz,1,1,5,1,15,0,20,4266,4950,E0A4,4500,4483,4922,4320,,,,,,,
note,l1lqnom3,1,1,5,1,16,0,21,5150,4950,E0A4,4500,5367,4922,4320,,,,,,,
note,n1t7t9o8,1,1,5,1,17,0,22,6034,5040,E0A3,4500,6251,5012,4410,,,,,,,
note,qqy4i76,1,1,5,2,15,1,20,4266,7110,E0A2,6300,,,,,,,,,,
note,ea7j3uy,1,1,6,1,18,0,24,7608,5040,E0A3,4500,7825,5012,4410,,,,,,,
note,gxzwqqc,1,1,6,1,19,0,26,8953,5220,E0A4,4500,9170,5192,4590,,,,,,,
note,i12zs17z,1,1,6,1,20,0,27,9837,5310,E0A4,4500,10054,5282,4680,,,,,,,
note,lke0vy6,1,1,6,2,18,1,24,7608,7020,E0A2,6300,,,,,,,,,,
note,z18z7271,1,1,7,1,21,0,28,10950,5400,E0A2,4500,,,,,,,,,,
note,cc8wdp9,1,1,7,2,21,1,28,10950,6750,E0A2,6300,,,,,,,,,,
