kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,p19xvmrf,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,q1l162l7,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,r5sixcl,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1294,1440,E0A4,540,1511,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2081,1260,E0A4,540,2298,1232,630,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2867,1080,E0A3,540,3084,1052,450,,,,,,,
note,n16gprxv,1,0,1,1,3,0,4,4269,990,E0A4,540,4486,962,360,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,5,5056,990,E0A4,540,5273,962,360,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,6,5842,1080,E0A3,540,6059,1052,450,,,,,,,
note,ewtw03u,1,0,2,1,6,0,8,7244,1440,E0A4,540,7461,1412,810,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,9,8031,1260,E0A4,540,8248,1232,630,,,,,,,
note,izv1mc9,1,0,2,1,8,0,10,8817,1080,E0A3,540,9034,1052,450,,,,,,,
note,v1bpmbr1,1,0,3,1,9,0,12,10219,1260,E0A4,540,10436,1232,630,,,,,,,
note,x1oxd4nf,1,0,3,1,10,0,13,11006,1260,E0A4,540,11223,1232,630,,,,,,,
note,z16wv72r,1,0,3,1,11,0,14,11792,1350,E0A3,540,12009,1322,720,,,,,,,
clef,s1j3i627,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,t1myktyj,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,m1c77hfv,1,1,4,1,12,0,16,861,3600,E0A4,2700,1078,3572,2970,,,,,,,
note,o1hn97h8,1,1,4,1,13,0,17,1750,3420,E0A4,2700,1967,3392,2790,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,18,2639,3240,E0A3,2700,2856,3212,2610,,,,,,,
note,d16zdwlv,1,1,5,1,15,0,20,4221,3150,E0A4,2700,4438,3122,2520,,,,,,,
note,fqn9gl2,1,1,5,1,16,0,21,5110,3150,E0A4,2700,5327,3122,2520,,,,,,,
note,h1a2rmes,1,1,5,1,17,0,22,5999,3240,E0A3,2700,6216,3212,2610,,,,,,,
note,ulubfbi,1,1,6,1,18,0,24,7581,3240,E0A3,2700,7798,3212,2610,,,,,,,
note,w1qijfro,1,1,6,1,19,0,26,8934,3420,E0A4,2700,9151,3392,2790,,,,,,,
note,y1ccvmbx,1,1,6,1,20,0,27,9823,3510,E0A4,2700,10040,3482,2880,,,,,,,
note,l1lqnom3,1,1,7,1,21,0,28,10941,3600,E0A2,2700,,,,,,,,,,
