kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,f1mwhssm,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,g12mg86g,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,h1cbkzxq,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1080,E0A4,540,1573,1052,450,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2113,1260,E0A4,540,2330,1232,630,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2870,1260,E0A3,540,3087,1232,630,,,,,,,
clef,i8t4a2p,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,jvj88eb,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,k1tfsk8a,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,pk6xyvl,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,d1eyoooy,1,0,1,1,3,0,4,4224,1170,E0A4,540,4441,1142,540,,,,,,,
note,f12ecyql,1,0,1,1,4,0,5,4981,1350,E0A4,540,5198,1322,720,,,,,,,
note,hzub3xf,1,0,1,1,5,0,6,5738,1350,E0A3,540,5955,1322,720,,,,,,,
note,k1dict13,1,0,1,2,3,1,4,4224,3060,E0A2,2340,,,,,,,,,,
note,y23h8om,1,0,2,1,6,0,8,7092,1440,E0A4,540,7309,1412,810,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,9,7849,1350,E0A4,540,8066,1322,720,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,10,8606,1260,E0A4,540,8823,1232,630,,,,,,,
note,e11rutd2,1,0,2,1,9,0,11,9363,1170,E0A4,540,9580,1142,540,,,,,,,
note,h1wvbc8t,1,0,2,2,6,1,8,7092,2790,E0A2,2340,,,,,,,,,,
note,vyt4ad,1,0,3,1,10,0,12,10323,1080,E0A4,540,10540,1052,450,,,,,,,
note,xm40ctx,1,0,3,1,11,0,13,11080,1080,E0A4,540,11297,1052,450,,,,,,,
note,z4bj489,1,0,3,1,12,0,14,11837,1080,E0A3,540,12054,1052,450,,,,,,,
note,cfjak8c,1,0,3,2,10,1,12,10323,3060,E0A2,2340,,,,,,,,,,
clef,j1jmle9u,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,k1p9jnk9,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,qg6e4o,1,1,4,1,13,0,16,889,5310,E0A4,4500,1106,5282,4680,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,17,1655,5310,E0A4,4500,1872,5282,4680,,,,,,,
note,ulubfbi,1,1,4,1,15,0,18,2420,5310,E0A4,4500,2637,5282,4680,,,,,,,
note,w1qijfro,1,1,4,1,16,0,19,3186,5310,E0A4,4500,3403,5282,4680,,,,,,,
clef,l12ow9px,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,m1v8xjr2,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,z1onwf8y,1,1,4,2,13,1,16,889,7020,E0A2,6300,,,,,,,,,,
note,n1t7t9o8,1,1,5,1,17,0,20,4145,5310,E0A4,4500,4362,5282,4680,,,,,,,
note,p1vt5nji,1,1,5,1,18,0,21,4911,5220,E0A4,4500,5128,5192,4590,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,22,5676,5130,E0A3,4500,5893,5102,4500,,,,,,,
note,u19knp2v,1,1,5,2,17,1,20,4145,7020,E0A2,6300,,,,,,,,,,
note,i12zs17z,1,1,6,1,20,0,24,7036,5220,E0A4,4500,7253,5192,4590,,,,,,,
note,kjeoxmv,1,1,6,1,21,0,25,7802,5220,E0A4,4500,8019,5192,4590,,,,,,,
note,m1sctd0l,1,1,6,1,22,0,26,8567,5220,E0A4,4500,8784,5192,4590,,,,,,,
note,owlajgs,1,1,6,1,23,0,27,9333,5220,E0A4,4500,9550,5192,4590,,,,,,,
note,r1jp5f3v,1,1,6,2,20,1,24,7036,6750,E0A2,6300,,,,,,,,,,
note,frvbxh6,1,1,7,1,24,0,28,10292,5220,E0A4,4500,10509,5192,4590,,,,,,,
note,hpvbxwl,1,1,7,1,25,0,29,11058,5130,E0A4,4500,11275,5102,4500,,,,,,,
note,j16qode7,1,1,7,1,26,0,30,11823,5040,E0A3,4500,12040,5012,4410,,,,,,,
note,m13k1pa7,1,1,7,2,24,1,28,10292,6750,E0A2,6300,,,,,,,,,,
clef,l1dx19xn,1,2,8,1,-1,-1,,117,9000,E050,8460,,,,,,,,,,
keysig,m1q7wq2y,1,2,8,1,-1,-1,,,,,8460,,,,,,,,,,
note,a1cyeyp3,1,2,8,1,27,0,32,900,9000,E0A4,8460,1117,8972,8370,,,,,,,
note,c1vlx8nz,1,2,8,1,28,0,33,1715,9180,E0A4,8460,1932,9152,8550,,,,,,,
note,edjxg5p,1,2,8,1,29,0,34,2529,9180,E0A3,8460,2746,9152,8550,,,,,,,
clef,n1djk2hn,1,2,8,2,-1,-1,,117,10440,E062,10260,,,,,,,,,,
keysig,o1rv1vjs,1,2,8,2,-1,-1,,,,,10260,,,,,,,,,,
note,h14onpgt,1,2,8,2,27,1,32,900,10710,E0A2,10260,,,,,,,,,,
note,v1aak2lp,1,2,9,1,30,0,36,3973,9090,E0A4,8460,4190,9062,8460,,,,,,,
note,x1azmn68,1,2,9,1,31,0,37,4788,9270,E0A4,8460,5005,9242,8640,,,,,,,
note,zymttu,1,2,9,1,32,0,38,5602,9270,E0A3,8460,5819,9242,8640,,,,,,,
note,c194ijhb,1,2,9,2,30,1,36,3973,10980,E0A2,10260,,,,,,,,,,
note,q9kef4i,1,2,10,1,33,0,40,7046,9360,E0A4,8460,7263,9332,8730,,,,,,,
note,s12rtncy,1,2,10,1,34,0,41,7861,9180,E0A4,8460,8078,9152,8550,,,,,,,
note,u11u8k3z,1,2,10,1,35,0,42,8675,9000,E0A4,8460,8892,8972,8370,,,,,,,
note,whrd5pz,1,2,10,1,36,0,43,9489,9000,E0A4,8460,9706,8972,8370,,,,,,,
note,zdhioz2,1,2,10,2,33,1,40,7046,10710,E0A2,10260,,,,,,,,,,
note,n10ahdpa,1,2,11,1,37,0,44,10509,9360,E0A2,8460,,,,,,,,,,
note,qop993u,1,2,11,2,37,1,44,10509,10980,E0A3,10260,10726,10952,10350,,,,,,,
note,s13mhw1v,1,2,11,2,38,0,46,11749,10710,E0A3,10260,11966,10682,10080,,,,,,,
