kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,w181yo77,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,x1z12zd0,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,ypovhyr,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1294,1080,E0A4,540,1511,1052,450,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2054,1260,E0A4,540,2271,1232,630,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2815,1260,E0A3,540,3032,1232,630,,,,,,,
note,n16gprxv,1,0,1,1,3,0,4,4178,1170,E0A4,540,4395,1142,540,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,5,4938,1350,E0A4,540,5155,1322,720,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,6,5699,1350,E0A3,540,5916,1322,720,,,,,,,
note,ewtw03u,1,0,2,1,6,0,8,7062,1440,E0A4,540,7279,1412,810,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,9,7822,1350,E0A4,540,8039,1322,720,,,,,,,
note,izv1mc9,1,0,2,1,8,0,10,8583,1260,E0A4,540,8800,1232,630,,,,,,,
note,k1dict13,1,0,2,1,9,0,11,9344,1170,E0A4,540,9561,1142,540,,,,,,,
note,x1oxd4nf,1,0,3,1,10,0,12,10309,1080,E0A4,540,10526,1052,450,,,,,,,
note,z16wv72r,1,0,3,1,11,0,13,11069,1080,E0A4,540,11286,1052,450,,,,,,,
note,b13viyd2,1,0,3,1,12,0,14,11830,1080,E0A3,540,12047,1052,450,,,,,,,
clef,z1niucqq,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,astmtea,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,o1hn97h8,1,1,4,1,13,0,16,827,3510,E0A4,2700,1044,3482,2880,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,17,1596,3510,E0A4,2700,1813,3482,2880,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,18,2366,3510,E0A4,2700,2583,3482,2880,,,,,,,
note,u6oscn4,1,1,4,1,16,0,19,3136,3510,E0A4,2700,3353,3482,2880,,,,,,,
note,h1a2rmes,1,1,5,1,17,0,20,4100,3510,E0A4,2700,4317,3482,2880,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,21,4869,3420,E0A4,2700,5086,3392,2790,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,22,5639,3330,E0A3,2700,5856,3302,2700,,,,,,,
note,y1ccvmbx,1,1,6,1,20,0,24,7005,3420,E0A4,2700,7222,3392,2790,,,,,,,
note,au36i87,1,1,6,1,21,0,25,7774,3420,E0A4,2700,7991,3392,2790,,,,,,,
note,cg7y08o,1,1,6,1,22,0,26,8544,3420,E0A4,2700,8761,3392,2790,,,,,,,
note,efwg9mm,1,1,6,1,23,0,27,9314,3420,E0A4,2700,9531,3392,2790,,,,,,,
note,r3ruo0a,1,1,7,1,24,0,28,10278,3420,E0A4,2700,10495,3392,2790,,,,,,,
note,t12l1c7g,1,1,7,1,25,0,29,11047,3330,E0A4,2700,11264,3302,2700,,,,,,,
note,v1gxitk,1,1,7,1,26,0,30,11817,3240,E0A3,2700,12034,3212,2610,,,,,,,
clef,b1vuap0e,1,2,8,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,cqjkq0x,1,2,8,1,-1,-1,,,,,4860,,,,,,,,,,
note,i12zs17z,1,2,8,1,27,0,32,848,5400,E0A4,4860,1065,5372,4770,,,,,,,
note,kjeoxmv,1,2,8,1,28,0,33,1709,5580,E0A4,4860,1926,5552,4950,,,,,,,
note,m1sctd0l,1,2,8,1,29,0,34,2570,5580,E0A3,4860,2787,5552,4950,,,,,,,
note,z18z7271,1,2,9,1,30,0,36,4096,5490,E0A4,4860,4313,5462,4860,,,,,,,
note,bznfzok,1,2,9,1,31,0,37,4957,5670,E0A4,4860,5174,5642,5040,,,,,,,
note,dxvimeh,1,2,9,1,32,0,38,5818,5670,E0A3,4860,6035,5642,5040,,,,,,,
note,qh54nwx,1,2,10,1,33,0,40,7344,5760,E0A4,4860,7561,5732,5130,,,,,,,
note,sbicarv,1,2,10,1,34,0,41,8205,5580,E0A4,4860,8422,5552,4950,,,,,,,
note,u1ilo7gs,1,2,10,1,35,0,42,9066,5400,E0A4,4860,9283,5372,4770,,,,,,,
note,wa4bnz4,1,2,10,1,36,0,43,9927,5400,E0A4,4860,10144,5372,4770,,,,,,,
note,j1y2tg4n,1,2,11,1,37,0,44,11004,5760,E0A2,4860,,,,,,,,,,
