kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,o38l1zr,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,p8jmme9,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,q10j4qlv,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1357,1080,E0A4,540,1574,1052,450,,,1673,990,,,
note,k1d0qcvg,1,0,0,1,1,0,1.5,2326,990,E0A4,540,2543,962,360,,,,,,,E240
note,m5odh2d,1,0,0,1,2,0,2,2822,1080,E0A4,540,3039,1052,450,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3582,1170,E0A4,540,3799,1142,540,,,,,,,
clef,r1dad66p,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,sxj2c36,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,t15utuwc,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1357,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4547,1260,E0A4,540,4764,1232,630,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5307,1170,E0A4,540,5524,1142,540,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,6068,1080,E0A3,540,6285,1052,450,,,,,,,
note,mwxt00x,1,0,1,2,4,1,4,4547,2790,E0A2,2340,,,,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,8,7429,1350,E0A4,540,7646,1322,720,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,9,8189,1260,E0A4,540,8406,1232,630,,,,,,,
note,e11rutd2,1,0,2,1,9,0,10,8950,1170,E0A3,540,9167,1142,540,,,,,,,
note,h1wvbc8t,1,0,2,2,7,1,8,7429,3060,E0A2,2340,,,,,,,,,,
note,vyt4ad,1,0,3,1,10,0,12,10311,1260,E0A4,540,10528,1232,630,,,,,,,
note,xm40ctx,1,0,3,1,11,0,13,11071,1170,E0A4,540,11288,1142,540,,,,,,,
note,z4bj489,1,0,3,1,12,0,14,11832,1080,E0A3,540,12049,1052,450,,,,,,,
note,cfjak8c,1,0,3,2,10,1,12,10311,2790,E0A2,2340,,,,,,,,,,
clef,s1crjcqx,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,t14zqza,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,qg6e4o,1,1,4,1,13,0,16,912,5040,E0A4,4500,1129,5012,4410,,,1228,4950,,,
note,s1xjwapg,1,1,4,1,14,0,17.5,1952,4950,E0A4,4500,2169,4922,4320,,,,,,,E240
note,ulubfbi,1,1,4,1,15,0,18,2483,5040,E0A4,4500,2700,5012,4410,,,,,,,
note,w1qijfro,1,1,4,1,16,0,19,3298,5130,E0A4,4500,3515,5102,4500,,,,,,,
clef,u21jq6n,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,v110as4w,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,z1onwf8y,1,1,4,2,13,1,16,912,6750,E0A2,6300,,,,,,,,,,
note,n1t7t9o8,1,1,5,1,17,0,20,4330,5220,E0A4,4500,4547,5192,4590,,,,,,,
note,p1vt5nji,1,1,5,1,18,0,21,5145,5130,E0A4,4500,5362,5102,4500,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,22,5961,5040,E0A3,4500,6178,5012,4410,,,,,,,
note,u19knp2v,1,1,5,2,17,1,20,4330,6750,E0A2,6300,,,,,,,,,,
note,i12zs17z,1,1,6,1,20,0,24,7419,5310,E0A3,4500,7636,5282,4680,,,,,,,
note,kjeoxmv,1,1,6,1,21,0,26,8660,5040,E0A3,4500,8877,5012,4410,,,,,,,
note,n41nhpl,1,1,6,2,20,1,24,7419,7020,E0A2,6300,,,,,,,,,,
note,bznfzok,1,1,7,1,22,0,28,10118,5220,E0A4,4500,10335,5192,4590,,,,,,,
note,dxvimeh,1,1,7,1,23,0,29,10933,5400,E0A3,4500,11150,5372,4770,,,11249,5310,,,
note,g1gv1amb,1,1,7,2,22,1,28,10118,7020,E0A3,6300,10335,6992,6390,,,,,,,
note,i1yz9fdu,1,1,7,2,24,0,30,11749,6750,E0A3,6300,11966,6722,6120,,,,,,,
