kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,e1ds7aj9,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,f1yurfzr,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,g1518mtl,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1294,1080,E0A4,540,1511,1052,450,,,1610,990,,,
note,yv3lqdm,1,0,0,1,1,0,1.5,2269,990,E0A4,540,2486,962,360,,,,,,,E240
note,a1pfogn4,1,0,0,1,2,0,2,2767,1080,E0A4,540,2984,1052,450,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3532,1170,E0A4,540,3749,1142,540,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4501,1260,E0A4,540,4718,1232,630,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5265,1170,E0A4,540,5482,1142,540,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,6030,1080,E0A3,540,6247,1052,450,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,8,7398,1350,E0A4,540,7615,1322,720,,,,,,,
note,izv1mc9,1,0,2,1,8,0,9,8162,1260,E0A4,540,8379,1232,630,,,,,,,
note,k1dict13,1,0,2,1,9,0,10,8927,1170,E0A3,540,9144,1142,540,,,,,,,
note,x1oxd4nf,1,0,3,1,10,0,12,10295,1260,E0A4,540,10512,1232,630,,,,,,,
note,z16wv72r,1,0,3,1,11,0,13,11059,1170,E0A4,540,11276,1142,540,,,,,,,
note,b13viyd2,1,0,3,1,12,0,14,11824,1080,E0A3,540,12041,1052,450,,,,,,,
clef,h17q0103,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,i10wuc0a,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,o1hn97h8,1,1,4,1,13,0,16,857,3240,E0A4,2700,1074,3212,2610,,,1173,3150,,,
note,q14fmeoc,1,1,4,1,14,0,17.5,1944,3150,E0A4,2700,2161,3122,2520,,,,,,,E240
note,s1f31sgl,1,1,4,1,15,0,18,2500,3240,E0A4,2700,2717,3212,2610,,,,,,,
note,u6oscn4,1,1,4,1,16,0,19,3353,3330,E0A4,2700,3570,3302,2700,,,,,,,
note,h1a2rmes,1,1,5,1,17,0,20,4431,3420,E0A4,2700,4648,3392,2790,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,21,5284,3330,E0A4,2700,5501,3302,2700,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,22,6137,3240,E0A3,2700,6354,3212,2610,,,,,,,
note,y1ccvmbx,1,1,6,1,20,0,24,7660,3510,E0A3,2700,7877,3482,2880,,,,,,,
note,au36i87,1,1,6,1,21,0,26,8958,3240,E0A3,2700,9175,3212,2610,,,,,,,
note,n1t7t9o8,1,1,7,1,22,0,28,10481,3420,E0A4,2700,10698,3392,2790,,,,,,,
note,p1vt5nji,1,1,7,1,23,0,29,11334,3600,E0A3,2700,11551,3572,2970,,,11650,3510,,,
