kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,t15utuwc,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,uwj9bhi,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,vslc02z,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1260,E0A4,540,1573,1232,630,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2113,1350,E0A4,540,2330,1322,720,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2870,1440,E0A4,540,3087,1412,810,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3627,1350,E0A4,540,3844,1322,720,,,,,,,
clef,w1b0hanf,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,x12icxr0,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,y19vbo0o,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4587,1260,E0A4,540,4804,1232,630,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5344,1260,E0A4,540,5561,1232,630,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,6101,1260,E0A3,540,6318,1232,630,,,,,,,
note,mwxt00x,1,0,1,2,4,1,4,4587,2790,E0A2,2340,,,,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,8,7455,1350,E0A4,540,7672,1322,720,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,9,8212,1350,E0A4,540,8429,1322,720,,,,,,,
note,e11rutd2,1,0,2,1,9,0,10,8969,1350,E0A3,540,9186,1322,720,,,,,,,
note,h1wvbc8t,1,0,2,2,7,1,8,7455,3060,E0A2,2340,,,,,,,,,,
note,vyt4ad,1,0,3,1,10,0,12,10323,1260,E0A4,540,10540,1232,630,,,,,,,
note,xm40ctx,1,0,3,1,11,0,13,11080,1080,E0A4,540,11297,1052,450,,,,,,,
note,z4bj489,1,0,3,1,12,0,14,11837,1080,E0A3,540,12054,1052,450,,,,,,,
note,cfjak8c,1,0,3,2,10,1,12,10323,2790,E0A2,2340,,,,,,,,,,
clef,xeim7b3,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,y1a7c4v3,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,qg6e4o,1,1,4,1,13,0,16,900,5220,E0A4,4500,1117,5192,4590,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,17,1663,5310,E0A4,4500,1880,5282,4680,,,,,,,
note,ulubfbi,1,1,4,1,15,0,18,2425,5400,E0A4,4500,2642,5372,4770,,,,,,,
note,w1qijfro,1,1,4,1,16,0,19,3188,5310,E0A4,4500,3405,5282,4680,,,,,,,
clef,z106m8uy,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,a1pswdmx,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,z1onwf8y,1,1,4,2,13,1,16,900,6750,E0A2,6300,,,,,,,,,,
note,n1t7t9o8,1,1,5,1,17,0,20,4156,5220,E0A4,4500,4373,5192,4590,,,,,,,
note,p1vt5nji,1,1,5,1,18,0,21,4919,5220,E0A4,4500,5136,5192,4590,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,22,5681,5220,E0A4,4500,5898,5192,4590,,,,,,,
note,t12l1c7g,1,1,5,1,20,0,23,6444,5220,E0A4,4500,6661,5192,4590,,,,,,,
note,w1905d68,1,1,5,2,17,1,20,4156,6750,E0A2,6300,,,,,,,,,,
note,kjeoxmv,1,1,6,1,21,0,24,7412,5310,E0A4,4500,7629,5282,4680,,,,,,,
note,m1sctd0l,1,1,6,1,22,0,25,8175,5310,E0A4,4500,8392,5282,4680,,,,,,,
note,owlajgs,1,1,6,1,23,0,26,8937,5220,E0A4,4500,9154,5192,4590,,,,,,,
note,q1m10xie,1,1,6,1,24,0,27,9700,5310,E0A4,4500,9917,5282,4680,,,,,,,
note,t14q1aig,1,1,6,2,21,1,24,7412,7020,E0A2,6300,,,,,,,,,,
note,hpvbxwl,1,1,7,1,25,0,28,10668,5400,E0A2,4500,,,,,,,,,,
note,k16e8mly,1,1,7,2,25,1,28,10668,7020,E0A3,6300,10885,6992,6390,,,,,,,
note,m13k1pa7,1,1,7,2,26,0,30,11829,6750,E0A3,6300,12046,6722,6120,,,,,,,
