kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,jud9ngu,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,knw3qi6,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,l13er4uq,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1294,1260,E0A4,540,1511,1232,630,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2054,1350,E0A4,540,2271,1322,720,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2815,1440,E0A4,540,3032,1412,810,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3576,1350,E0A4,540,3793,1322,720,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4541,1260,E0A4,540,4758,1232,630,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5301,1260,E0A4,540,5518,1232,630,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,6062,1260,E0A3,540,6279,1232,630,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,8,7425,1350,E0A4,540,7642,1322,720,,,,,,,
note,izv1mc9,1,0,2,1,8,0,9,8185,1350,E0A4,540,8402,1322,720,,,,,,,
note,k1dict13,1,0,2,1,9,0,10,8946,1350,E0A3,540,9163,1322,720,,,,,,,
note,x1oxd4nf,1,0,3,1,10,0,12,10309,1260,E0A4,540,10526,1232,630,,,,,,,
note,z16wv72r,1,0,3,1,11,0,13,11069,1080,E0A4,540,11286,1052,450,,,,,,,
note,b13viyd2,1,0,3,1,12,0,14,11830,1080,E0A3,540,12047,1052,450,,,,,,,
clef,m1miza2,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,nvr005u,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,o1hn97h8,1,1,4,1,13,0,16,846,3420,E0A4,2700,1063,3392,2790,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,17,1650,3510,E0A4,2700,1867,3482,2880,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,18,2454,3600,E0A4,2700,2671,3572,2970,,,,,,,
note,u6oscn4,1,1,4,1,16,0,19,3258,3510,E0A4,2700,3475,3482,2880,,,,,,,
note,h1a2rmes,1,1,5,1,17,0,20,4275,3420,E0A4,2700,4492,3392,2790,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,21,5079,3420,E0A4,2700,5296,3392,2790,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,22,5883,3420,E0A4,2700,6100,3392,2790,,,,,,,
note,nt9ronl,1,1,5,1,20,0,23,6687,3420,E0A4,2700,6904,3392,2790,,,,,,,
note,au36i87,1,1,6,1,21,0,24,7704,3510,E0A4,2700,7921,3482,2880,,,,,,,
note,cg7y08o,1,1,6,1,22,0,25,8508,3510,E0A4,2700,8725,3482,2880,,,,,,,
note,efwg9mm,1,1,6,1,23,0,26,9312,3420,E0A4,2700,9529,3392,2790,,,,,,,
note,g1wpyvd,1,1,6,1,24,0,27,10116,3510,E0A4,2700,10333,3482,2880,,,,,,,
note,t12l1c7g,1,1,7,1,25,0,28,11133,3600,E0A2,2700,,,,,,,,,,
