kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,a52jxcf,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,b18pjpjq,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,dbq7u4t,1,0,0,1,-1,-1,,1111,720,E083,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1680,720,E0A4,540,1689,748,1350,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2488,1080,E0A4,540,2705,1052,450,,,,,,,E240
note,m5odh2d,1,0,0,1,2,0,1.5,3019,990,E0A4,540,3236,962,360,,,,,,,E240
note,o1w2vfrn,1,0,0,1,3,0,2,3549,900,E0A4,540,3558,928,1500,,,,,,,E241
note,qhghzyb,1,0,0,1,4,0,2.5,4076,810,E0A4,540,4085,838,1440,,,,,,,E241
clef,e1enkosp,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,f1y86v4v,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,h1ees80l,1,0,0,2,-1,-1,,1111,2520,E083,2340,,,,,,,,,,
note,t3elz0m,1,0,0,2,0,1,0,1680,3060,E0A3,2340,1897,3032,2430,,,1996,2970,,,
note,hzub3xf,1,0,1,1,5,0,3,4810,720,E0A4,540,4819,748,1350,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,4,5618,1080,E0A4,540,5835,1052,450,,,,,,,
note,lcz237t,1,0,1,1,7,0,5,6427,1080,E0A4,540,6644,1052,450,,,,,,,
note,o1nwbnw5,1,0,1,2,5,1,3,4810,3060,E0A3,2340,5027,3032,2430,,,5126,2970,,,
note,c1yevvwh,1,0,2,1,8,0,6,7441,630,E0A4,540,7450,658,1260,,,,,,,
note,e11rutd2,1,0,2,1,9,0,7,8249,810,E0A4,540,8258,838,1440,,,,,,,E241
note,g1ho95rp,1,0,2,1,10,0,7.5,8777,720,E0A4,540,8786,748,1350,,,,,,,E241
note,i4s4uc4,1,0,2,1,11,0,8,9304,630,E0A4,540,9313,658,1260,,,,,,,E241
note,kgtp1zt,1,0,2,1,12,0,8.5,9831,540,E0A4,540,9840,568,1170,,,,,,,E241
note,n1p91bt0,1,0,2,2,8,1,6,7441,2790,E0A3,2340,7658,2762,2160,,,7757,2790,,,
note,bb8g0u0,1,0,3,1,13,0,9,10564,450,E0A4,540,10573,478,1080,,,,,,,
note,d16zdwlv,1,0,3,1,14,0,10,11372,1080,E0A4,540,11589,1052,450,,,,,,,
note,fqn9gl2,1,0,3,1,15,0,11,12181,1080,E0A4,540,12398,1052,450,,,,,,,
note,i4vs11m,1,0,3,2,13,1,9,10564,3060,E0A3,2340,10781,3032,2430,,,10880,2970,,,
clef,o112h1oq,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,p1bymaxm,1,1,4,1,-1,-1,,798,4500,E262,4500,,,,,,,,,,
note,w1qijfro,1,1,4,1,16,0,12,1203,4770,E0A4,4500,1212,4798,5400,,,,,,,
note,y1ccvmbx,1,1,4,1,17,0,13,1851,4680,E0A4,4500,1860,4708,5310,,,,,,,E241
note,au36i87,1,1,4,1,18,0,13.5,2274,4770,E0A4,4500,2283,4798,5400,,,,,,,E241
