kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,gwp1uti,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,h1nmk4lp,1,0,0,1,-1,-1,,735,540,E262,540,,,,,,,,,,
metersig,j11py65k,1,0,0,1,-1,-1,,1048,720,E083,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1617,720,E0A4,540,1626,748,1350,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2430,1080,E0A4,540,2647,1052,450,,,,,,,E240
note,a1pfogn4,1,0,0,1,2,0,1.5,2961,990,E0A4,540,3178,962,360,,,,,,,E240
note,c1ahluu1,1,0,0,1,3,0,2,3492,900,E0A4,540,3501,928,1500,,,,,,,E241
note,erbcoh7,1,0,0,1,4,0,2.5,4023,810,E0A4,540,4032,838,1440,,,,,,,E241
note,rgx8bjh,1,0,1,1,5,0,3,4760,720,E0A4,540,4769,748,1350,,,,,,,
note,t3elz0m,1,0,1,1,6,0,4,5573,1080,E0A4,540,5790,1052,450,,,,,,,
note,v6sh6uc,1,0,1,1,7,0,5,6387,1080,E0A4,540,6604,1052,450,,,,,,,
note,izv1mc9,1,0,2,1,8,0,6,7406,630,E0A4,540,7415,658,1260,,,,,,,
note,k1dict13,1,0,2,1,9,0,7,8219,810,E0A4,540,8228,838,1440,,,,,,,E241
note,mwxt00x,1,0,2,1,10,0,7.5,8750,720,E0A4,540,8759,748,1350,,,,,,,E241
note,o1nwbnw5,1,0,2,1,11,0,8,9281,630,E0A4,540,9290,658,1260,,,,,,,E241
note,qjepdrb,1,0,2,1,12,0,8.5,9812,540,E0A4,540,9821,568,1170,,,,,,,E241
note,d1sqgsul,1,0,3,1,13,0,9,10549,450,E0A4,540,10558,478,1080,,,,,,,
note,fwigvp2,1,0,3,1,14,0,10,11362,1080,E0A4,540,11579,1052,450,,,,,,,
note,h1wvbc8t,1,0,3,1,15,0,11,12176,1080,E0A4,540,12393,1052,450,,,,,,,
clef,o1f0x1st,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,ptxenxm,1,1,4,1,-1,-1,,735,2700,E262,2700,,,,,,,,,,
note,u6oscn4,1,1,4,1,16,0,12,1172,2970,E0A4,2700,1181,2998,3600,,,,,,,
note,w19obtds,1,1,4,1,17,0,13,2042,2880,E0A4,2700,2051,2908,3510,,,,,,,E241
note,yvzjjlx,1,1,4,1,18,0,13.5,2610,2970,E0A4,2700,2619,2998,3600,,,,,,,E241
note,a1tqy1kq,1,1,4,1,19,0,14,3177,3060,E0A4,2700,3186,3088,3660,,,,,,,E241
note,cfjak8c,1,1,4,1,20,0,14.5,3745,3150,E0A4,2700,3962,3122,2520,,,,,,,E240
note,p1ufntge,1,1,5,1,21,0,15,4547,3060,E0A4,2700,4556,3088,3660,,,,,,,
note,rxq6cll,1,1,5,1,22,0,16,5417,2970,E0A4,2700,5426,2998,3600,,,,,,,E241
note,t16fzqxk,1,1,5,1,23,0,16.5,5985,3060,E0A4,2700,5994,3088,3660,,,,,,,E241
note,v1n4j8tk,1,1,5,1,24,0,17,6552,3150,E0A4,2700,6769,3122,2520,,,,,,,E240
note,xpk0tft,1,1,5,1,25,0,17.5,7120,3240,E0A4,2700,7337,3212,2610,,,,,,,E240
note,kc0c02x,1,1,6,1,26,0,18,7922,3330,E0A4,2700,8139,3302,2700,,,,,,,
note,mixe56f,1,1,6,1,27,0,19,8792,3240,E0A4,2700,9009,3212,2610,,,,,,,E240
note,o186unp8,1,1,6,1,28,0,19.5,9360,3150,E0A4,2700,9577,3122,2520,,,,,,,E240
note,qqy4i76,1,1,6,1,29,0,20,9927,3060,E0A4,2700,9936,3088,3660,,,,,,,E241
note,s2cpl9z,1,1,6,1,30,0,20.5,10495,3240,E0A4,2700,10712,3212,2610,,,,,,,E240
note,fuiaea7,1,1,7,1,31,0,21,11297,3150,E0A3,2700,11514,3122,2520,,,11613,3150,,,
