kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,b2ezvgs,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,cld1cr7,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,fhrsm4n,1,0,0,1,-1,-1,,1289,720,E083,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1867,1800,E0A4,540,2084,1772,900,,,,,,,E240
note,k1d0qcvg,1,0,0,1,1,0,0.5,2461,1530,E0A4,540,2678,1502,900,,,,,,,E240
note,m5odh2d,1,0,0,1,2,0,1,3055,1350,E0A4,540,3272,1322,720,,,,,,,E240
note,o1w2vfrn,1,0,0,1,3,0,1.5,3649,1800,E0A4,540,3866,1772,900,,,,,,,E240
note,qhghzyb,1,0,0,1,4,0,2,4243,1530,E0A4,540,4460,1502,900,,,,,,,E240
note,s82fpt,1,0,0,1,5,0,2.5,4837,1350,E0A4,540,5054,1322,720,,,,,,,E240
clef,gu2t5ff,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,ht1v7x5,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,k1um06iv,1,0,0,2,-1,-1,,1289,2520,E083,2340,,,,,,,,,,
note,v6sh6uc,1,0,0,2,0,1,0,1867,3510,E0A3,2340,2084,3482,2250,,,,,,,
note,zfx25hn,1,0,0,2,0,2,0,1867,2880,E0A3,2340,2084,3482,2250,,,,,,,
tie,y1waypqj,1,0,0,,-1,-1,,2138,3622,,,,,,,,,,5601,3622,
tie,b37hn12,1,0,0,,-1,-1,,2138,2678,,,,,,,,,,5601,2678,
note,o1nwbnw5,1,0,1,1,6,0,3,5646,1800,E0A4,540,5863,1772,900,,,,,,,E240
note,qjepdrb,1,0,1,1,7,0,3.5,6240,1530,E0A4,540,6457,1502,900,,,,,,,E240
note,sqqgytg,1,0,1,1,8,0,4,6834,1350,E0A4,540,7051,1322,720,,,,,,,E240
note,u4oqxce,1,0,1,1,9,0,4.5,7428,1800,E0A4,540,7645,1772,900,,,,,,,E240
note,w1m11mph,1,0,1,1,10,0,5,8022,1530,E0A4,540,8239,1502,900,,,,,,,E240
note,y23h8om,1,0,1,1,11,0,5.5,8616,1350,E0A4,540,8833,1322,720,,,,,,,E240
note,b13viyd2,1,0,1,2,6,1,3,5646,3510,E0A3,2340,5863,3482,2250,,,,,,,
note,e11rutd2,1,0,1,2,6,2,3,5646,2880,E0A3,2340,5863,3482,2250,,,,,,,
note,s1f31sgl,1,0,2,1,12,0,6,9425,1800,E0A4,540,9642,1772,900,,,,,,,E240
note,u6oscn4,1,0,2,1,13,0,6.5,10019,1530,E0A4,540,10236,1502,900,,,,,,,E240
note,w19obtds,1,0,2,1,14,0,7,10613,1350,E0A4,540,10830,1322,720,,,,,,,E240
note,yvzjjlx,1,0,2,1,15,0,7.5,11207,1800,E0A4,540,11424,1772,900,,,,,,,E240
note,a1tqy1kq,1,0,2,1,16,0,8,11801,1530,E0A4,540,12018,1502,900,,,,,,,E240
note,cfjak8c,1,0,2,1,17,0,8.5,12395,1350,E0A4,540,12612,1322,720,,,,,,,E240
note,fqn9gl2,1,0,2,2,12,1,6,9425,3600,E0A3,2340,9642,3572,2340,,,,,,,
note,j1s8kxne,1,0,2,2,12,2,6,9425,2970,E0A3,2340,9642,3572,2340,,,,,,,
tie,i4vs11m,1,0,2,,-1,-1,,9876,3645,,,,,,,,,,12931,3645,
tie,l1e7ub62,1,0,2,,-1,-1,,9876,2858,,,,,,,,,,12931,2858,
clef,zd0ffbf,1,1,3,1,-1,-1,,117,5199,E050,4659,,,,,,,,,,
keysig,a52jxcf,1,1,3,1,-1,-1,,798,4659,E262,4659,,,,,,,,,,
note,y1ccvmbx,1,1,3,1,18,0,9,1378,5919,E0A4,4659,1595,5891,5019,,,,,,,E240
note,au36i87,1,1,3,1,19,0,9.5,1799,5649,E0A4,4659,2016,5621,5019,,,,,,,E240
note,cg7y08o,1,1,3,1,20,0,10,2268,5469,E0A4,4659,2485,5441,4839,,,,,,,E240
note,efwg9mm,1,1,3,1,21,0,10.5,2689,5919,E0A4,4659,2906,5891,5019,,,,,,,E240
note,g1wpyvd,1,1,3,1,22,0,11,3109,5649,E0A4,4659,3326,5621,5019,,,,,,,E240
note,ipk7z6m,1,1,3,1,23,0,11.5,3579,5469,E0A4,4659,3796,5441,4839,,,,,,,E240
clef,dbq7u4t,1,1,3,2,-1,-1,,117,6639,E062,6459,,,,,,,,,,
keysig,e1enkosp,1,1,3,2,-1,-1,,798,6639,E262,6459,,,,,,,,,,
note,l1lqnom3,1,1,3,2,18,1,9,1378,7719,E0A3,6459,1595,7691,6459,,,,,,,
note,o186unp8,1,1,3,2,18,2,9,1378,7089,E0A3,6459,1595,7691,6459,,,,,,,
note,csdt8x1,1,1,4,1,24,0,12,4246,5829,E0A4,4659,4463,5801,5019,,,,,,,E240
note,ea7j3uy,1,1,4,1,25,0,12.5,4667,5649,E0A4,4659,4884,5621,5019,,,,,,,E240
note,gxzwqqc,1,1,4,1,26,0,13,5136,5469,E0A4,4659,5353,5441,4839,,,,,,,E240
note,i12zs17z,1,1,4,1,27,0,13.5,5557,5829,E0A4,4659,5774,5801,5019,,,,,,,E240
note,kjeoxmv,1,1,4,1,28,0,14,5977,5649,E0A4,4659,6194,5621,5019,,,,,,,E240
note,m1sctd0l,1,1,4,1,29,0,14.5,6447,5469,E0A4,4659,6664,5441,4839,,,,,,,E240
note,p1pgsif9,1,1,4,2,24,1,12,4246,7809,E0A3,6459,4463,7781,6549,,,,,,,
note,s82tfll,1,1,4,2,24,2,12,4246,7179,E0A3,6459,4463,7781,6549,,,,,,,
note,g1gv1amb,1,1,5,1,30,0,15,7114,5829,E0A4,4659,7331,5801,5019,,,,,,,E240
note,i1yz9fdu,1,1,5,1,31,0,15.5,7584,5559,E0A4,4659,7801,5531,4929,,,,,,,E240
note,k16e8mly,1,1,5,1,32,0,16,8054,5379,E0A4,4659,8271,5351,4749,,,,,,,E240
note,m13k1pa7,1,1,5,1,33,0,16.5,8474,5829,E0A4,4659,8691,5801,5019,,,,,,,E240
note,ota496l,1,1,5,1,34,0,17,8944,5559,E0A4,4659,9161,5531,4929,,,,,,,E240
note,qh54nwx,1,1,5,1,35,0,17.5,9414,5379,E0A4,4659,9631,5351,4749,,,,,,,E240
note,tf1nsqr,1,1,5,2,30,1,15,7114,7989,E0A3,6459,7331,7961,6729,,,,,,,
note,wa4bnz4,1,1,5,2,30,2,15,7114,7359,E0A3,6459,7331,7961,6729,,,,,,,
note,k17r2sbn,1,1,6,1,36,0,18,10081,5919,E0A4,4659,10298,5891,5019,,,,,,,E240
note,m17jlnp0,1,1,6,1,37,0,18.5,10725,5739,E0A4,4659,10942,5711,5019,E262,10513,,,,,E240
note,o9btm6t,1,1,6,1,38,0,19,11195,5379,E0A4,4659,11412,5351,4749,,,,,,,E240
note,q2mj26n,1,1,6,1,39,0,19.5,11615,5919,E0A4,4659,11832,5891,5019,,,,,,,E240
note,s1tkjxkp,1,1,6,1,40,0,20,12036,5649,E0A4,4659,12253,5621,5019,,,,,,,E240
note,uh31vrx,1,1,6,1,41,0,20.5,12506,5469,E0A4,4659,12723,5441,4839,,,,,,,E240
note,x1azmn68,1,1,6,2,36,1,18,10081,7899,E0A3,6459,10298,7871,6639,,,,,,,
note,a1jj7l9j,1,1,6,2,36,2,18,10081,7269,E0A3,6459,10298,7871,6639,,,,,,,
tie-span,i4vs11m,1,1,-1,,-1,-1,,1207,7764,,,,,,,,,,1333,7764,
tie-span,l1e7ub62,1,1,-1,,-1,-1,,1207,7044,,,,,,,,,,1333,7044,
clef,vwjqezn,1,2,7,1,-1,-1,,117,9524,E050,8984,,,,,,,,,,
keysig,wkgdmfm,1,2,7,1,-1,-1,,798,8984,E262,8984,,,,,,,,,,
note,ojdvior,1,2,7,1,42,0,21,1387,10244,E0A4,8984,1604,10216,9344,,,,,,,E240
note,q9kef4i,1,2,7,1,43,0,21.5,1831,9974,E0A4,8984,2048,9946,9344,,,,,,,E240
note,s12rtncy,1,2,7,1,44,0,22,2327,9884,E0A4,8984,2544,9856,9254,,,,,,,E240
note,u11u8k3z,1,2,7,1,45,0,22.5,2771,10334,E0A4,8984,2988,10306,9344,,,,,,,E240
note,whrd5pz,1,2,7,1,46,0,23,3451,10064,E0A4,8984,3668,10036,9344,E262,3239,,,,,E240
note,ywmfg7o,1,2,7,1,47,0,23.5,3947,9884,E0A4,8984,4164,9856,9254,,,,,,,E240
clef,z1bt01i5,1,2,7,2,-1,-1,,117,10964,E062,10784,,,,,,,,,,
keysig,a2yz0a4,1,2,7,2,-1,-1,,798,10964,E262,10784,,,,,,,,,,
note,b1kz42q6,1,2,7,2,42,1,21,1387,12224,E0A3,10784,1604,12196,10964,,,,,,,
note,efdh2og,1,2,7,2,42,2,21,1387,11594,E0A3,10784,1604,12196,10964,,,,,,,
note,s13mhw1v,1,2,8,1,48,0,24,4650,10424,E0A4,8984,4867,10396,9344,,,,,,,E240
note,u1huv7ug,1,2,8,1,49,0,24.5,5094,10244,E0A4,8984,5311,10216,9344,,,,,,,E240
note,w1lra14t,1,2,8,1,50,0,25,5538,9974,E0A4,8984,5755,9946,9344,,,,,,,E240
note,y115m6re,1,2,8,1,51,0,25.5,5982,10244,E0A4,8984,6199,10216,9344,,,,,,,E240
note,a1b3yb8,1,2,8,1,52,0,26,6426,9974,E0A4,8984,6643,9946,9344,,,,,,,E240
note,codpwfc,1,2,8,1,53,0,26.5,6922,9794,E0A4,8984,7139,9766,9164,,,,,,,E240
note,f72br06,1,2,8,2,48,1,24,4650,11954,E0A3,10784,4867,11926,10694,,,,,,,
note,jrbgpnr,1,2,8,2,48,2,24,4650,11594,E0A3,10784,4867,11926,10694,,,,,,,
note,mdco0s4,1,2,8,2,48,3,24,4650,11324,E0A3,10784,4867,11926,10694,,,,,,,
tie,i12soi0,1,2,8,,-1,-1,,4921,12066,,,,,,,,,,7580,12066,
tie,l1gqfmuu,1,2,8,,-1,-1,,5056,11639,,,,,,,,,,7580,11639,
tie,obyx441,1,2,8,,-1,-1,,4921,11122,,,,,,,,,,7580,11122,
note,bfnxpbz,1,2,9,1,54,0,27,7625,10244,E0A4,8984,7842,10216,9344,,,,,,,E240
note,d1h9nhab,1,2,9,1,55,0,27.5,8069,9974,E0A4,8984,8286,9946,9344,,,,,,,E240
note,f1eiswrh,1,2,9,1,56,0,28,8565,9794,E0A4,8984,8782,9766,9164,,,,,,,E240
note,h1s3hncn,1,2,9,1,57,0,28.5,9009,10244,E0A4,8984,9226,10216,9344,,,,,,,E240
note,j1956xao,1,2,9,1,58,0,29,9453,9974,E0A4,8984,9670,9946,9344,,,,,,,E240
note,ld6qbcb,1,2,9,1,59,0,29.5,9949,9794,E0A4,8984,10166,9766,9164,,,,,,,E240
note,oj1wbz8,1,2,9,2,54,1,27,7625,11954,E0A3,10784,7842,11926,10694,,,,,,,
note,r7dpojb,1,2,9,2,54,2,27,7625,11594,E0A3,10784,7842,11926,10694,,,,,,,
note,t1y61bsk,1,2,9,2,54,3,27,7625,11324,E0A3,10784,7842,11926,10694,,,,,,,
