kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,s1xlfqfz,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,t6kun85,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,u1u247rc,1,0,0,1,-1,-1,,790,720,E083,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1440,E0A4,540,1573,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2081,1440,E0A4,540,2298,1412,810,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2807,1350,E0A4,540,3024,1322,720,,,,,,,
clef,v1pta81v,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,w14wcff,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,xwryvjb,1,0,0,2,-1,-1,,790,2520,E083,2340,,,,,,,,,,
note,pk6xyvl,1,0,0,2,0,1,0,1356,2790,E0A3,2340,1573,2762,2160,,,1672,2790,,,
note,d1eyoooy,1,0,1,1,3,0,3,3735,1530,E0A4,540,3952,1502,900,,,4051,1530,,,
note,f12ecyql,1,0,1,1,4,0,4.5,4659,1440,E0A4,540,4876,1412,810,,,,,,,E240
note,hzub3xf,1,0,1,1,5,0,5,5181,1350,E0A4,540,5398,1322,720,,,,,,,
note,k1dict13,1,0,1,2,3,1,3,3735,3060,E0A3,2340,3952,3032,2430,,,4051,2970,,,
note,y23h8om,1,0,2,1,6,0,6,6110,1260,E0A4,540,6327,1232,630,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,7,6835,1260,E0A4,540,7052,1232,630,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,8,7561,1170,E0A4,540,7778,1142,540,,,,,,,
note,fwigvp2,1,0,2,2,6,1,6,6110,2790,E0A3,2340,6327,2762,2160,,,6426,2790,,,
note,t1ajik95,1,0,3,1,9,0,9,8489,1260,E0A4,540,8706,1232,630,,,8805,1170,,,
note,vyt4ad,1,0,3,1,10,0,10.5,9413,1350,E0A4,540,9630,1322,720,,,,,,,E240
note,xm40ctx,1,0,3,1,11,0,11,9886,1440,E0A4,540,10103,1412,810,,,,,,,
note,a1tqy1kq,1,0,3,2,9,1,9,8489,2790,E0A3,2340,8706,2762,2160,,,8805,2790,,,
note,o1awc8ol,1,0,4,1,12,0,12,10814,1350,E0A4,540,11031,1322,720,,,,,,,
note,qg6e4o,1,0,4,1,13,0,13,11539,1440,E0A4,540,11756,1412,810,,,,,,,
note,s1xjwapg,1,0,4,1,14,0,14,12265,1530,E0A4,540,12482,1502,900,,,,,,,
note,v1n4j8tk,1,0,4,2,12,1,12,10814,3060,E0A3,2340,11031,3032,2430,,,11130,2970,,,
clef,w21zslt,1,1,5,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,x126zpe5,1,1,5,1,-1,-1,,,,,4500,,,,,,,,,,
note,j1vmyhcz,1,1,5,1,15,0,15,887,5400,E0A3,4500,1104,5372,4770,,,1203,5310,,,
clef,y15pqjqi,1,1,5,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,z1li2kgm,1,1,5,2,-1,-1,,,,,6300,,,,,,,,,,
note,mixe56f,1,1,5,2,15,1,15,887,6750,E0A3,6300,1104,6722,6120,,,1203,6750,,,
note,anr4k48,1,1,6,1,16,0,18,2368,5040,E0A4,4500,2585,5012,4410,,,,,,,
note,csdt8x1,1,1,6,1,17,0,19,3031,5040,E0A4,4500,3248,5012,4410,,,,,,,
note,ea7j3uy,1,1,6,1,18,0,20,3695,5040,E0A4,4500,3912,5012,4410,,,,,,,
note,h3i55up,1,1,6,2,16,1,18,2368,6750,E0A3,6300,2585,6722,6120,,,2684,6750,,,
