kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,c1k0c89y,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,d3f2pq8,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,e1ay72b4,1,0,0,1,-1,-1,,727,720,E083,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1293,1440,E0A4,540,1510,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2023,1440,E0A4,540,2240,1412,810,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2752,1350,E0A4,540,2969,1322,720,,,,,,,
note,n16gprxv,1,0,1,1,3,0,3,3684,1530,E0A4,540,3901,1502,900,,,4000,1530,,,
note,pk6xyvl,1,0,1,1,4,0,4.5,4615,1440,E0A4,540,4832,1412,810,,,,,,,E240
note,rgx8bjh,1,0,1,1,5,0,5,5138,1350,E0A4,540,5355,1322,720,,,,,,,
note,ewtw03u,1,0,2,1,6,0,6,6070,1260,E0A4,540,6287,1232,630,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,7,6800,1260,E0A4,540,7017,1232,630,,,,,,,
note,izv1mc9,1,0,2,1,8,0,8,7529,1170,E0A4,540,7746,1142,540,,,,,,,
note,v1bpmbr1,1,0,3,1,9,0,9,8461,1260,E0A4,540,8678,1232,630,,,8777,1170,,,
note,x1oxd4nf,1,0,3,1,10,0,10.5,9392,1350,E0A4,540,9609,1322,720,,,,,,,E240
note,z16wv72r,1,0,3,1,11,0,11,9867,1440,E0A4,540,10084,1412,810,,,,,,,
note,m1c77hfv,1,0,4,1,12,0,12,10800,1350,E0A4,540,11017,1322,720,,,,,,,
note,o1hn97h8,1,0,4,1,13,0,13,11530,1440,E0A4,540,11747,1412,810,,,,,,,
note,q14fmeoc,1,0,4,1,14,0,14,12259,1530,E0A4,540,12476,1502,900,,,,,,,
clef,f1o6uyeq,1,1,5,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,gjn0imz,1,1,5,1,-1,-1,,,,,2700,,,,,,,,,,
note,d16zdwlv,1,1,5,1,15,0,15,825,3600,E0A3,2700,1042,3572,2970,,,1141,3510,,,
note,qg6e4o,1,1,6,1,16,0,18,2313,3240,E0A4,2700,2530,3212,2610,,,,,,,
note,s1xjwapg,1,1,6,1,17,0,19,2980,3240,E0A4,2700,3197,3212,2610,,,,,,,
note,ulubfbi,1,1,6,1,18,0,20,3646,3240,E0A4,2700,3863,3212,2610,,,,,,,
note,h1hwlyfa,1,1,7,1,19,0,21,4506,3240,E0A4,2700,4723,3212,2610,,,4822,3150,,,
note,j1vmyhcz,1,1,7,1,20,0,22.5,5356,3330,E0A4,2700,5573,3302,2700,,,,,,,E240
note,l1lqnom3,1,1,7,1,21,0,23,5792,3420,E0A4,2700,6009,3392,2790,,,,,,,
note,y17jmr1w,1,1,8,1,22,0,24,6651,3330,E0A4,2700,6868,3302,2700,,,,,,,
note,anr4k48,1,1,8,1,23,0,25,7318,3330,E0A4,2700,7535,3302,2700,,,,,,,
note,csdt8x1,1,1,8,1,24,0,26,7984,3330,E0A4,2700,8201,3302,2700,,,,,,,
note,p1pgsif9,1,1,9,1,25,0,27,8844,3330,E0A4,2700,9061,3302,2700,,,9160,3330,,,
note,r1jp5f3v,1,1,9,1,26,0,28.5,9694,3420,E0A4,2700,9911,3392,2790,,,,,,,E240
note,t14q1aig,1,1,9,1,27,0,29,10130,3510,E0A4,2700,10347,3482,2880,,,,,,,
note,g1gv1amb,1,1,10,1,28,0,30,10989,3420,E0A4,2700,11206,3392,2790,,,,,,,
note,i1yz9fdu,1,1,10,1,29,0,31,11656,3330,E0A4,2700,11873,3302,2700,,,,,,,
note,k16e8mly,1,1,10,1,30,0,32,12322,3510,E0A4,2700,12539,3482,2880,,,,,,,
clef,hyszi01,1,2,11,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,i1xgdnjb,1,2,11,1,-1,-1,,,,,4860,,,,,,,,,,
note,xl2xv5c,1,2,11,1,31,0,33,825,5760,E0A3,4860,1042,5732,5130,,,1141,5670,,,
