kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,ukrjkzt,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,v15m9jwz,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,w1c7hp90,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1260,E0A4,540,1573,1232,630,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2069,1260,E0A4,540,2286,1232,630,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2783,1170,E0A4,540,3000,1142,540,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3497,1080,E0A4,540,3714,1052,450,,,,,,,
clef,xhjg4ue,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,ymwxauz,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,zz5k4uc,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A3,2340,1573,2762,2160,,,,,,,
note,t3elz0m,1,0,0,2,2,1,2,2783,2430,E0A3,2340,2792,2455,3060,,,,,,,
note,hzub3xf,1,0,1,1,4,0,4,4413,1080,E0A4,540,4630,1052,450,,,,,,,
note,j14qhuvu,1,0,1,1,5,0,5,5126,1170,E0A4,540,5343,1142,540,,,,,,,
note,lcz237t,1,0,1,1,6,0,6,5840,1260,E0A4,540,6057,1232,630,,,,,,,
note,ndvl5ld,1,0,1,1,7,0,7,6554,1350,E0A4,540,6771,1322,720,,,,,,,
note,qjepdrb,1,0,1,2,4,1,4,4413,3060,E0A3,2340,4630,3032,2430,,,,,,,
note,sqqgytg,1,0,1,2,6,1,6,5840,2700,E0A3,2340,5849,2725,3300,,,,,,,
note,g1ho95rp,1,0,2,1,8,0,8,7470,1440,E0A4,540,7687,1412,810,,,,,,,
note,i4s4uc4,1,0,2,1,9,0,9,8183,1440,E0A4,540,8400,1412,810,,,,,,,
