kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,q1ju9jvm,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,r1bih0d0,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,se2fak2,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1260,E0A4,540,1573,1232,630,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2069,1260,E0A4,540,2286,1232,630,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2783,1170,E0A4,540,3000,1142,540,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3497,1080,E0A4,540,3714,1052,450,,,,,,,
clef,tj3t51w,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,ux3eln2,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,v1li7t6w,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4413,1080,E0A4,540,4630,1052,450,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5126,1170,E0A4,540,5343,1142,540,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,5840,1260,E0A4,540,6057,1232,630,,,,,,,
note,lcz237t,1,0,1,1,7,0,7,6554,1350,E0A4,540,6771,1322,720,,,,,,,
note,o1nwbnw5,1,0,1,2,4,1,4,4413,3060,E0A2,2340,,,,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,8,7470,1440,E0A4,540,7687,1412,810,,,,,,,
note,e11rutd2,1,0,2,1,9,0,9,8183,1440,E0A4,540,8400,1412,810,,,,,,,
note,g1ho95rp,1,0,2,1,10,0,10,8897,1350,E0A4,540,9114,1322,720,,,,,,,
note,i4s4uc4,1,0,2,1,11,0,11,9611,1260,E0A4,540,9828,1232,630,,,,,,,
note,l1wb3e2s,1,0,2,2,8,1,8,7470,2790,E0A2,2340,,,,,,,,,,
note,z4bj489,1,0,3,1,12,0,12,10527,1260,E0A4,540,10744,1232,630,,,10843,1170,,,
note,bb8g0u0,1,0,3,1,13,0,13.5,11437,1350,E0A4,540,11654,1322,720,,,,,,,E240
note,d16zdwlv,1,0,3,1,14,0,14,11902,1350,E0A3,540,12119,1322,720,,,,,,,
note,goma0gm,1,0,3,2,12,1,12,10527,3060,E0A2,2340,,,,,,,,,,
clef,u1q0jfge,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,v1f3qkbi,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,ulubfbi,1,1,4,1,15,0,16,905,5220,E0A4,4500,1122,5192,4590,,,,,,,
note,w1qijfro,1,1,4,1,16,0,17,1647,5220,E0A4,4500,1864,5192,4590,,,,,,,
note,y1ccvmbx,1,1,4,1,17,0,18,2388,5130,E0A4,4500,2605,5102,4500,,,,,,,
note,au36i87,1,1,4,1,18,0,19,3129,5040,E0A4,4500,3346,5012,4410,,,,,,,
clef,w15eld9x,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,xndm2i,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,dxlbg6w,1,1,4,2,15,1,16,905,6750,E0A2,6300,,,,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,20,4080,5040,E0A4,4500,4297,5012,4410,,,,,,,
note,t12l1c7g,1,1,5,1,20,0,21,4822,5130,E0A4,4500,5039,5102,4500,,,,,,,
note,v1gxitk,1,1,5,1,21,0,22,5563,5220,E0A4,4500,5780,5192,4590,,,,,,,
note,xz5i2aa,1,1,5,1,22,0,23,6304,5310,E0A4,4500,6521,5282,4680,,,,,,,
note,anr4k48,1,1,5,2,19,1,20,4080,7020,E0A2,6300,,,,,,,,,,
note,owlajgs,1,1,6,1,23,0,24,7255,5400,E0A4,4500,7472,5372,4770,,,,,,,
note,q1m10xie,1,1,6,1,24,0,25,7997,5400,E0A4,4500,8214,5372,4770,,,,,,,
note,s82tfll,1,1,6,1,25,0,26,8738,5310,E0A4,4500,8955,5282,4680,,,,,,,
note,u1w3vevx,1,1,6,1,26,0,27,9479,5220,E0A4,4500,9696,5192,4590,,,,,,,
note,x1053kmm,1,1,6,2,23,1,24,7255,6750,E0A2,6300,,,,,,,,,,
note,l1b9tw60,1,1,7,1,27,0,28,10430,5310,E0A4,4500,10647,5282,4680,,,10746,5310,,,
note,n1rpc8a2,1,1,7,1,28,0,29.5,11376,5400,E0A4,4500,11593,5372,4770,,,,,,,E240
note,p13e44d5,1,1,7,1,29,0,30,11859,5400,E0A3,4500,12076,5372,4770,,,,,,,
note,sbicarv,1,1,7,2,27,1,28,10430,7020,E0A3,6300,10647,6992,6390,,,,,,,
note,u1ilo7gs,1,1,7,2,29,1,30,11859,6750,E0A3,6300,12076,6722,6120,,,,,,,
