kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,h17q0103,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,i10wuc0a,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,j5nk4wk,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1293,1260,E0A4,540,1510,1232,630,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2011,1260,E0A4,540,2228,1232,630,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2728,1170,E0A4,540,2945,1142,540,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3446,1080,E0A4,540,3663,1052,450,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4367,1080,E0A4,540,4584,1052,450,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5085,1170,E0A4,540,5302,1142,540,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,5802,1260,E0A4,540,6019,1232,630,,,,,,,
note,v6sh6uc,1,0,1,1,7,0,7,6520,1350,E0A4,540,6737,1322,720,,,,,,,
note,izv1mc9,1,0,2,1,8,0,8,7441,1440,E0A4,540,7658,1412,810,,,,,,,
note,k1dict13,1,0,2,1,9,0,9,8159,1440,E0A4,540,8376,1412,810,,,,,,,
note,mwxt00x,1,0,2,1,10,0,10,8876,1350,E0A4,540,9093,1322,720,,,,,,,
note,o1nwbnw5,1,0,2,1,11,0,11,9594,1260,E0A4,540,9811,1232,630,,,,,,,
note,b13viyd2,1,0,3,1,12,0,12,10515,1260,E0A4,540,10732,1232,630,,,10831,1170,,,
note,d1sqgsul,1,0,3,1,13,0,13.5,11430,1350,E0A4,540,11647,1322,720,,,,,,,E240
note,fwigvp2,1,0,3,1,14,0,14,11898,1350,E0A3,540,12115,1322,720,,,,,,,
clef,k4s0x5i,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,l11f7eqh,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,16,842,3420,E0A4,2700,1059,3392,2790,,,,,,,
note,u6oscn4,1,1,4,1,16,0,17,1588,3420,E0A4,2700,1805,3392,2790,,,,,,,
note,w19obtds,1,1,4,1,17,0,18,2333,3330,E0A4,2700,2550,3302,2700,,,,,,,
note,yvzjjlx,1,1,4,1,18,0,19,3079,3240,E0A4,2700,3296,3212,2610,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,20,4034,3240,E0A4,2700,4251,3212,2610,,,,,,,
note,nt9ronl,1,1,5,1,20,0,21,4780,3330,E0A4,2700,4997,3302,2700,,,,,,,
note,p1ufntge,1,1,5,1,21,0,22,5525,3420,E0A4,2700,5742,3392,2790,,,,,,,
note,rxq6cll,1,1,5,1,22,0,23,6271,3510,E0A4,2700,6488,3482,2880,,,,,,,
note,efwg9mm,1,1,6,1,23,0,24,7226,3600,E0A4,2700,7443,3572,2970,,,,,,,
note,g1wpyvd,1,1,6,1,24,0,25,7972,3600,E0A4,2700,8189,3572,2970,,,,,,,
note,ipk7z6m,1,1,6,1,25,0,26,8717,3510,E0A4,2700,8934,3482,2880,,,,,,,
note,kc0c02x,1,1,6,1,26,0,27,9463,3420,E0A4,2700,9680,3392,2790,,,,,,,
note,xz5i2aa,1,1,7,1,27,0,28,10418,3510,E0A4,2700,10635,3482,2880,,,10734,3510,,,
note,z11huxwv,1,1,7,1,28,0,29.5,11369,3600,E0A4,2700,11586,3572,2970,,,,,,,E240
note,b1m8zn17,1,1,7,1,29,0,30,11854,3600,E0A3,2700,12071,3572,2970,,,,,,,
