kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,p8jmme9,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,q10j4qlv,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,r1dad66p,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1357,1440,E0A4,540,1574,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2119,1440,E0A4,540,2336,1412,810,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2880,1440,E0A4,540,3097,1412,810,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3642,1710,E0A4,540,3859,1682,900,,,,,,,
clef,sxj2c36,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,t15utuwc,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,uwj9bhi,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1357,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4608,1620,E0A4,540,4825,1592,900,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5370,1620,E0A4,540,5587,1592,900,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,6131,1710,E0A3,540,6348,1682,900,,,,,,,
note,mwxt00x,1,0,1,2,4,1,4,4608,3150,E0A2,2340,,,,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,8,7496,1260,E0A4,540,7713,1232,630,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,9,8258,1260,E0A4,540,8475,1232,630,,,,,,,
note,e11rutd2,1,0,2,1,9,0,10,9019,1350,E0A4,540,9236,1322,720,,,,,,,
note,g1ho95rp,1,0,2,1,10,0,11,9781,1350,E0A4,540,9998,1322,720,,,,,,,
note,jo3qcsy,1,0,2,2,7,1,8,7496,3060,E0A2,2340,,,,,,,,,,
note,xm40ctx,1,0,3,1,11,0,12,10747,1440,E0A3,540,10964,1412,810,,,11063,1350,,,
note,z4bj489,1,0,3,1,12,0,15,12227,1710,E0A4,540,12444,1682,900,,,,,,,
note,cfjak8c,1,0,3,2,11,1,12,10747,2790,E0A2,2340,,,,,,,,,,
clef,t14zqza,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,u21jq6n,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,qg6e4o,1,1,4,1,13,0,16,905,5400,E0A4,4500,1122,5372,4770,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,17,1691,5400,E0A4,4500,1908,5372,4770,,,,,,,
note,ulubfbi,1,1,4,1,15,0,18,2477,5400,E0A4,4500,2694,5372,4770,,,,,,,
note,w1qijfro,1,1,4,1,16,0,19,3264,5670,E0A4,4500,3481,5642,4860,,,,,,,
clef,v110as4w,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,w1scataq,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,z1onwf8y,1,1,4,2,13,1,16,905,6750,E0A2,6300,,,,,,,,,,
note,n1t7t9o8,1,1,5,1,17,0,20,4260,5580,E0A4,4500,4477,5552,4860,,,,,,,
note,p1vt5nji,1,1,5,1,18,0,21,5046,5580,E0A4,4500,5263,5552,4860,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,22,5832,5670,E0A3,4500,6049,5642,4860,,,,,,,
note,u19knp2v,1,1,5,2,17,1,20,4260,7110,E0A2,6300,,,,,,,,,,
note,i12zs17z,1,1,6,1,20,0,24,7240,5220,E0A4,4500,7457,5192,4590,,,,,,,
note,kjeoxmv,1,1,6,1,21,0,25,8026,5220,E0A4,4500,8243,5192,4590,,,,,,,
note,m1sctd0l,1,1,6,1,22,0,26,8812,5310,E0A4,4500,9029,5282,4680,,,,,,,
note,owlajgs,1,1,6,1,23,0,27,9599,5310,E0A4,4500,9816,5282,4680,,,,,,,
note,r1jp5f3v,1,1,6,2,20,1,24,7240,7020,E0A2,6300,,,,,,,,,,
note,frvbxh6,1,1,7,1,24,0,28,10595,5400,E0A2,4500,,,,,,,,,,
note,i1yz9fdu,1,1,7,2,24,1,28,10595,7020,E0A3,6300,10812,6992,6390,,,,,,,
note,k16e8mly,1,1,7,2,25,0,30,11792,6750,E0A3,6300,12009,6722,6120,,,,,,,
