kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,f1yurfzr,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,g1518mtl,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,ho63lcw,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1294,1440,E0A4,540,1511,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2060,1440,E0A4,540,2277,1412,810,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2826,1440,E0A4,540,3043,1412,810,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3592,1710,E0A4,540,3809,1682,900,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4563,1620,E0A4,540,4780,1592,900,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5329,1620,E0A4,540,5546,1592,900,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,6095,1710,E0A3,540,6312,1682,900,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,8,7466,1260,E0A4,540,7683,1232,630,,,,,,,
note,izv1mc9,1,0,2,1,8,0,9,8232,1260,E0A4,540,8449,1232,630,,,,,,,
note,k1dict13,1,0,2,1,9,0,10,8998,1350,E0A4,540,9215,1322,720,,,,,,,
note,mwxt00x,1,0,2,1,10,0,11,9764,1350,E0A4,540,9981,1322,720,,,,,,,
note,z16wv72r,1,0,3,1,11,0,12,10735,1440,E0A3,540,10952,1412,810,,,11051,1350,,,
note,b13viyd2,1,0,3,1,12,0,15,12224,1710,E0A4,540,12441,1682,900,,,,,,,
clef,i10wuc0a,1,1,4,1,-1,-1,,90,3245,E050,2705,,,,,,,,,,
keysig,j5nk4wk,1,1,4,1,-1,-1,,,,,2705,,,,,,,,,,
note,o1hn97h8,1,1,4,1,13,0,16,852,3605,E0A4,2705,1069,3577,2975,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,17,1682,3605,E0A4,2705,1899,3577,2975,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,18,2512,3605,E0A4,2705,2729,3577,2975,,,,,,,
note,u6oscn4,1,1,4,1,16,0,19,3342,3875,E0A4,2705,3559,3847,3065,,,,,,,
note,h1a2rmes,1,1,5,1,17,0,20,4392,3785,E0A4,2705,4609,3757,3065,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,21,5222,3785,E0A4,2705,5439,3757,3065,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,22,6052,3875,E0A3,2705,6269,3847,3065,,,,,,,
note,y1ccvmbx,1,1,6,1,20,0,24,7536,3425,E0A4,2705,7753,3397,2795,,,,,,,
note,au36i87,1,1,6,1,21,0,25,8366,3425,E0A4,2705,8583,3397,2795,,,,,,,
note,cg7y08o,1,1,6,1,22,0,26,9196,3515,E0A4,2705,9413,3487,2885,,,,,,,
note,efwg9mm,1,1,6,1,23,0,27,10026,3515,E0A4,2705,10243,3487,2885,,,,,,,
note,r3ruo0a,1,1,7,1,24,0,28,11076,3605,E0A2,2705,,,,,,,,,,
