kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,j1kbhz7v,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,k1fxpqtc,1,0,0,1,-1,-1,,798,900,E260,540,,,,,,,,,,
metersig,n7qw42k,1,0,0,1,-1,-1,,1286,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1863,900,E0A4,540,1872,928,1500,,,,,,,
note,k1d0qcvg,1,0,0,1,2,0,1,3228,720,E0A4,540,3237,748,1350,,,,,,,E241
note,m5odh2d,1,0,0,1,3,0,1.5,3910,810,E0A4,540,3919,838,1440,,,,,,,E241
note,o1w2vfrn,1,0,0,1,4,0,2,4592,810,E0A4,540,4601,838,1440,,,4908,810,,,
note,qhghzyb,1,0,0,1,7,0,3.5,6639,720,E0A4,540,6648,748,1350,,,,,,,E241
clef,o1s5zogi,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,p7wok4o,1,0,0,2,-1,-1,,798,2880,E260,2340,,,,,,,,,,
metersig,s1qecqge,1,0,0,2,-1,-1,,1286,2520,E084,2340,,,,,,,,,,
note,t3elz0m,1,0,0,2,0,1,0,1863,2520,E0A4,2340,1872,2548,3150,,,,,,,E241
note,v6sh6uc,1,0,0,2,1,0,0.5,2545,3150,E0A4,2340,2762,3122,2520,,,,,,,E240
note,xfggj11,1,0,0,2,2,1,1,3228,2880,E0A4,2340,3445,2852,2250,,,,,,,E240
note,zfx25hn,1,0,0,2,3,1,1.5,3910,2880,E0A4,2340,4127,2852,2250,,,,,,,E240
note,b37hn12,1,0,0,2,4,1,2,4592,2250,E0A4,2340,4601,2278,2880,,,,,,,E241
note,d1eyoooy,1,0,0,2,5,0,2.5,5275,2250,E0A4,2340,5284,2278,2880,,,,,,,E241
note,f12ecyql,1,0,0,2,6,0,3,5957,2250,E0A4,2340,5966,2278,2880,,,,,,,E241
note,hzub3xf,1,0,0,2,7,1,3.5,6639,2250,E0A4,2340,6648,2278,2880,,,,,,,E241
note,v1bpmbr1,1,0,1,1,8,0,4,7529,630,E0A4,540,7538,658,1260,,,,,,,
note,x1oxd4nf,1,0,1,1,10,0,5,8894,450,E0A4,540,8903,478,1080,,,,,,,E241
note,z16wv72r,1,0,1,1,11,0,5.5,9576,540,E0A4,540,9585,568,1170,,,,,,,E241
note,b13viyd2,1,0,1,1,12,0,6,10258,720,E0A4,540,10267,748,1350,,,,,,,
note,d1sqgsul,1,0,1,1,14,0,7,11623,810,E0A4,540,11632,838,1440,,,,,,,E241
note,fwigvp2,1,0,1,1,15,0,7.5,12305,900,E0A4,540,12314,928,1500,,,,,,,E241
note,i4s4uc4,1,0,1,2,8,1,4,7529,2250,E0A4,2340,7538,2278,2880,,,,,,,E241
note,kgtp1zt,1,0,1,2,9,0,4.5,8211,2250,E0A4,2340,8220,2278,2880,,,,,,,E241
note,m1c77hfv,1,0,1,2,10,1,5,8894,2340,E0A4,2340,8903,2368,2970,,,,,,,E241
note,o1hn97h8,1,0,1,2,11,1,5.5,9576,2340,E0A4,2340,9585,2368,2970,,,,,,,E241
note,q14fmeoc,1,0,1,2,12,1,6,10258,2340,E0A4,2340,10267,2368,2970,,,,,,,E241
note,s1f31sgl,1,0,1,2,13,0,6.5,10941,2340,E0A4,2340,10950,2368,2970,,,,,,,E241
note,u6oscn4,1,0,1,2,14,1,7,11623,2250,E0A4,2340,11632,2278,2880,,,,,,,E241
note,w19obtds,1,0,1,2,15,1,7.5,12305,2250,E0A4,2340,12314,2278,2880,,,,,,,E241
clef,ht3umb0,1,1,2,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,ipgko19,1,1,2,1,-1,-1,,798,4860,E260,4500,,,,,,,,,,
note,k19a056m,1,1,2,1,16,0,8,1386,4680,E0A4,4500,1395,4708,5310,,,,,,,E241
note,mlwp7zq,1,1,2,1,17,0,8.5,1846,4860,E0A4,4500,1855,4888,5460,,,,,,,E241
note,o1awc8ol,1,1,2,1,18,0,9,2306,4950,E0A4,4500,2523,4922,4320,,,,,,,E240
note,qg6e4o,1,1,2,1,19,0,9.5,2766,5040,E0A4,4500,2983,5012,4410,,,,,,,E240
note,s1xjwapg,1,1,2,1,20,0,10,3248,4770,E0A4,4500,3257,4798,5400,,,3564,4770,,,
note,ulubfbi,1,1,2,1,23,0,11.5,4629,4680,E0A4,4500,4638,4708,5310,,,,,,,E241
clef,l11d5ytf,1,1,2,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,m1kfkkl4,1,1,2,2,-1,-1,,798,6840,E260,6300,,,,,,,,,,
note,xpk0tft,1,1,2,2,16,1,8,1386,6210,E0A4,6300,1395,6238,6840,,,,,,,E241
note,z1onwf8y,1,1,2,2,17,1,8.5,1846,6210,E0A4,6300,1855,6238,6840,,,,,,,E241
note,b1bp6nfw,1,1,2,2,18,1,9,2306,6840,E0A4,6300,2523,6812,6210,,,,,,,E240
note,dxlbg6w,1,1,2,2,19,1,9.5,2766,6840,E0A4,6300,2983,6812,6210,,,,,,,E240
note,f1pu9rwv,1,1,2,2,20,1,10,3248,6840,E0A4,6300,3465,6812,6210,,,,,,,E240
note,h1hwlyfa,1,1,2,2,21,0,10.5,3708,6840,E0A4,6300,3925,6812,6210,,,,,,,E240
note,j1vmyhcz,1,1,2,2,22,0,11,4168,6840,E0A4,6300,4385,6812,6210,,,,,,,E240
note,l1lqnom3,1,1,2,2,23,1,11.5,4629,6840,E0A4,6300,4846,6812,6210,,,,,,,E240
note,z11huxwv,1,1,3,1,24,0,12,5314,4950,E0A4,4500,5531,4922,4320,,,,,,,
note,b1m8zn17,1,1,3,1,26,0,13,6278,5040,E0A4,4500,6495,5012,4410,,,,,,,E240
note,d10jcx5a,1,1,3,1,27,0,13.5,6739,5130,E0A4,4500,6956,5102,4500,,,,,,,E240
note,fuiaea7,1,1,3,1,28,0,14,7199,5130,E0A3,4500,7416,5102,4500,,,,,,,
note,i12zs17z,1,1,3,2,24,1,12,5314,6930,E0A4,6300,5531,6902,6300,,,,,,,E240
note,kjeoxmv,1,1,3,2,25,0,12.5,5796,6840,E0A4,6300,6013,6812,6210,,,,,,,E240
note,m1sctd0l,1,1,3,2,26,1,13,6278,6750,E0A4,6300,6495,6722,6120,,,,,,,E240
note,owlajgs,1,1,3,2,27,1,13.5,6739,6750,E0A4,6300,6956,6722,6120,,,,,,,E240
note,q1m10xie,1,1,3,2,28,1,14,7199,6750,E0A4,6300,7416,6722,6120,,,,,,,E240
note,s82tfll,1,1,3,2,29,0,14.5,7659,6750,E0A4,6300,7876,6722,6120,,,,,,,E240
note,u1w3vevx,1,1,3,2,30,0,15,8141,6480,E0A4,6300,8150,6508,7110,,,,,,,E241
note,w164cdfr,1,1,3,2,31,0,15.5,8601,6480,E0A4,6300,8610,6508,7110,,,,,,,E241
note,k16e8mly,1,1,4,1,32,0,16,9250,5130,E0A4,4500,9467,5102,4500,,,,,,,
note,m13k1pa7,1,1,4,1,34,0,17,10170,4950,E0A4,4500,10387,4922,4320,E260,9983,,,,,E240
note,ota496l,1,1,4,1,35,0,17.5,10630,5040,E0A4,4500,10847,5012,4410,,,,,,,E240
note,qh54nwx,1,1,4,1,36,0,18,11090,5040,E0A4,4500,11307,5012,4410,,,11406,4950,,,
note,sbicarv,1,1,4,1,39,0,19.5,12493,4950,E0A4,4500,12710,4922,4320,,,,,,,E240
note,v7t36q5,1,1,4,2,32,1,16,9250,6570,E0A4,6300,9259,6598,7200,,,,,,,E241
note,xl2xv5c,1,1,4,2,33,0,16.5,9710,6570,E0A4,6300,9719,6598,7200,,,,,,,E241
note,z1f9wq1,1,1,4,2,34,1,17,10170,6660,E0A4,6300,10179,6688,7260,,,,,,,E241
note,b18kllgp,1,1,4,2,35,1,17.5,10630,6660,E0A4,6300,10639,6688,7260,,,,,,,E241
note,d442sxk,1,1,4,2,36,1,18,11090,6840,E0A4,6300,11307,6812,6210,,,,,,,E240
note,f9n3x7f,1,1,4,2,37,0,18.5,11550,6840,E0A4,6300,11767,6812,6210,,,,,,,E240
note,h14onpgt,1,1,4,2,38,0,19,12032,6570,E0A4,6300,12041,6598,7200,,,,,,,E241
note,j1y2tg4n,1,1,4,2,39,1,19.5,12493,6570,E0A4,6300,12502,6598,7200,,,,,,,E241
clef,d1yuw0tr,1,2,5,1,-1,-1,,117,9000,E050,8460,,,,,,,,,,
keysig,et7c2ko,1,2,5,1,-1,-1,,798,8820,E260,8460,,,,,,,,,,
note,x1azmn68,1,2,5,1,40,0,20,1385,8820,E0A4,8460,1394,8848,9420,,,,,,,
note,zymttu,1,2,5,1,42,0,21,2310,8640,E0A4,8460,2319,8668,9270,,,,,,,E241
note,bcl6eok,1,2,5,1,43,0,21.5,2772,8730,E0A4,8460,2781,8758,9360,,,,,,,E241
note,d1mc3yi9,1,2,5,1,44,0,22,3234,8910,E0A4,8460,3451,8882,8280,,,,,,,
note,f4ez1j9,1,2,5,1,46,0,23,4177,9000,E0A4,8460,4394,8972,8370,,,,,,,E240
note,h18et2sh,1,2,5,1,47,0,23.5,4639,9090,E0A4,8460,4856,9062,8460,,,,,,,E240
clef,h7wgyh0,1,2,5,2,-1,-1,,117,10440,E062,10260,,,,,,,,,,
keysig,i1zvu16,1,2,5,2,-1,-1,,798,10800,E260,10260,,,,,,,,,,
note,k1u86xew,1,2,5,2,40,1,20,1385,10620,E0A4,10260,1394,10648,11220,,,,,,,E241
note,m56ze40,1,2,5,2,41,0,20.5,1847,10620,E0A4,10260,1856,10648,11220,,,,,,,E241
note,ojdvior,1,2,5,2,42,1,21,2310,10710,E0A4,10260,2527,10682,10080,,,,,,,E240
note,q9kef4i,1,2,5,2,43,1,21.5,2772,10710,E0A4,10260,2989,10682,10080,,,,,,,E240
note,s12rtncy,1,2,5,2,44,1,22,3234,10710,E0A4,10260,3451,10682,10080,,,,,,,E240
note,u11u8k3z,1,2,5,2,45,0,22.5,3696,10710,E0A4,10260,3913,10682,10080,,,,,,,E240
note,whrd5pz,1,2,5,2,46,1,23,4177,10440,E0A4,10260,4186,10468,11070,,,,,,,E241
note,ywmfg7o,1,2,5,2,47,1,23.5,4639,10440,E0A4,10260,4648,10468,11070,,,,,,,E241
note,mb06m4d,1,2,6,1,48,0,24,5322,8460,E0A4,8460,5331,8488,9090,,,,,,,
note,o16z2swc,1,2,6,1,50,0,25,6247,8370,E0A4,8460,6256,8398,9000,,,,,,,E241
note,qop993u,1,2,6,1,51,0,25.5,6709,8460,E0A4,8460,6718,8488,9090,,,,,,,E241
note,s13mhw1v,1,2,6,1,52,0,26,7171,8460,E0A4,8460,7180,8488,9090,,,,,,,E241
note,u1huv7ug,1,2,6,1,53,0,26.5,7633,8640,E0A4,8460,7642,8668,9270,,,,,,,E241
note,w1lra14t,1,2,6,1,54,0,27,8096,8730,E0A4,8460,8105,8758,9360,,,,,,,E241
note,y115m6re,1,2,6,1,55,0,27.5,8558,8820,E0A4,8460,8567,8848,9420,,,,,,,E241
note,b179xb8m,1,2,6,2,48,1,24,5322,10530,E0A4,10260,5331,10558,11160,,,,,,,E241
note,dvn23fz,1,2,6,2,49,0,24.5,5784,10530,E0A4,10260,5793,10558,11160,,,,,,,E241
note,f72br06,1,2,6,2,50,1,25,6247,10620,E0A4,10260,6256,10648,11220,,,,,,,E241
note,h2lpm6k,1,2,6,2,51,1,25.5,6709,10620,E0A4,10260,6718,10648,11220,,,,,,,E241
note,jrbgpnr,1,2,6,2,52,1,26,7171,10530,E0A4,10260,7180,10558,11160,,,,,,,E241
note,l1gqfmuu,1,2,6,2,53,1,26.5,7633,10530,E0A4,10260,7642,10558,11160,,,,,,,E241
note,nctrcmg,1,2,6,2,54,1,27,8096,10800,E0A4,10260,8313,10772,10170,,,,,,,E240
note,p1byct7,1,2,6,2,55,1,27.5,8558,10800,E0A4,10260,8775,10772,10170,,,,,,,E240
note,d1h9nhab,1,2,7,1,56,0,28,9240,8460,E0A4,8460,9249,8488,9090,,,,,,,
note,f1eiswrh,1,2,7,1,58,0,29,10183,8370,E0A4,8460,10192,8398,9000,,,,,,,E241
note,h1s3hncn,1,2,7,1,59,0,29.5,10645,8460,E0A4,8460,10654,8488,9090,,,,,,,E241
note,j1956xao,1,2,7,1,60,0,30,11108,8460,E0A4,8460,11117,8488,9090,,,,,,,E241
note,ld6qbcb,1,2,7,1,61,0,30.5,11570,8640,E0A4,8460,11579,8668,9270,,,,,,,E241
note,nfbwy6p,1,2,7,1,62,0,31,12032,8730,E0A4,8460,12041,8758,9360,,,,,,,E241
note,p1gsuziy,1,2,7,1,63,0,31.5,12494,8820,E0A4,8460,12503,8848,9420,,,,,,,E241
note,s1yv9rff,1,2,7,2,56,1,28,9240,10710,E0A4,10260,9457,10682,10080,,,,,,,E240
note,uk92rdx,1,2,7,2,57,0,28.5,9702,10710,E0A4,10260,9919,10682,10080,,,,,,,E240
note,wr53rn5,1,2,7,2,58,1,29,10183,10620,E0A4,10260,10192,10648,11220,,,,,,,E241
