kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,pa8cv8r,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,qmfwgcu,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,r1q2fxof,1,0,0,1,-1,-1,,790,720,E083,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1357,1080,E0A4,540,1574,1052,450,,,1673,990,,,
note,k1d0qcvg,1,0,0,1,1,0,1.5,2310,990,E0A4,540,2527,962,360,,,,,,,E240
note,m5odh2d,1,0,0,1,2,0,2,2797,1080,E0A4,540,3014,1052,450,,,,,,,
clef,s1cmwzao,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,tavunf5,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,u7t3hzs,1,0,0,2,-1,-1,,790,2520,E083,2340,,,,,,,,,,
note,pk6xyvl,1,0,0,2,0,1,0,1357,2790,E0A3,2340,1574,2762,2160,,,1673,2790,,,
note,d1eyoooy,1,0,1,1,3,0,3,3748,1260,E0A3,540,3965,1232,630,,,4064,1170,,,
note,gjwwkjn,1,0,1,2,3,1,3,3748,2790,E0A3,2340,3965,2762,2160,,,4064,2790,,,
note,u4oqxce,1,0,2,1,4,0,6,5403,1080,E0A4,540,5620,1052,450,,,5719,990,,,
note,w1m11mph,1,0,2,1,5,0,7.5,6356,990,E0A4,540,6573,962,360,,,,,,,E240
note,y23h8om,1,0,2,1,6,0,8,6843,1080,E0A4,540,7060,1052,450,,,,,,,
note,b13viyd2,1,0,2,2,4,1,6,5403,2790,E0A3,2340,5620,2762,2160,,,5719,2790,,,
note,pmwmthe,1,0,3,1,7,0,9,7794,1260,E0A3,540,8011,1232,630,,,8110,1170,,,
note,s1f31sgl,1,0,3,2,7,1,9,7794,2790,E0A3,2340,8011,2762,2160,,,8110,2790,,,
note,goma0gm,1,0,4,1,8,0,12,9449,720,E0A3,540,9458,745,1350,,,,,,,
note,i4vs11m,1,0,4,1,9,0,14,10586,720,E0A4,540,10595,748,1350,,,,,,,
note,l1e7ub62,1,0,4,2,8,1,12,9449,3060,E0A3,2340,9666,3032,2430,,,9765,2970,,,
note,z1onwf8y,1,0,5,1,10,0,15,11537,900,E0A3,540,11546,925,1500,,,11853,810,,,
note,cg7y08o,1,0,5,2,10,1,15,11537,3060,E0A3,2340,11754,3032,2430,,,11853,2970,,,
clef,tavutdk,1,1,6,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,ufw0u2s,1,1,6,1,-1,-1,,,,,4500,,,,,,,,,,
note,qqy4i76,1,1,6,1,11,0,18,889,4770,E0A3,4500,898,4795,5400,,,,,,,
note,s2cpl9z,1,1,6,1,12,0,20,2035,4770,E0A4,4500,2044,4798,5400,,,,,,,
clef,vaky6cb,1,1,6,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
