kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,s4ljpxf,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,t7fvb19,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,u1p8bk0d,1,0,0,1,-1,-1,,727,720,E083,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1294,1080,E0A4,540,1511,1052,450,,,1610,990,,,
note,yv3lqdm,1,0,0,1,1,0,1.5,2253,990,E0A4,540,2470,962,360,,,,,,,E240
note,a1pfogn4,1,0,0,1,2,0,2,2743,1080,E0A4,540,2960,1052,450,,,,,,,
note,n16gprxv,1,0,1,1,3,0,3,3699,1260,E0A3,540,3916,1232,630,,,4015,1170,,,
note,a3ie8ud,1,0,2,1,4,0,6,5362,1080,E0A4,540,5579,1052,450,,,5678,990,,,
note,c1kyp1ws,1,0,2,1,5,0,7.5,6321,990,E0A4,540,6538,962,360,,,,,,,E240
note,ewtw03u,1,0,2,1,6,0,8,6811,1080,E0A4,540,7028,1052,450,,,,,,,
note,r1y47wy7,1,0,3,1,7,0,9,7767,1260,E0A3,540,7984,1232,630,,,8083,1170,,,
note,e11rutd2,1,0,4,1,8,0,12,9430,720,E0A3,540,9439,745,1350,,,,,,,
note,g1ho95rp,1,0,4,1,9,0,14,10574,720,E0A4,540,10583,748,1350,,,,,,,
note,t1ajik95,1,0,5,1,10,0,15,11530,900,E0A3,540,11539,925,1500,,,11846,810,,,
clef,v5hyoqx,1,1,6,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,w107enjf,1,1,6,1,-1,-1,,,,,2700,,,,,,,,,,
note,goma0gm,1,1,6,1,11,0,18,827,2970,E0A3,2700,836,2995,3600,,,,,,,
note,i4vs11m,1,1,6,1,12,0,20,1979,2970,E0A4,2700,1988,2998,3600,,,,,,,
note,v1n4j8tk,1,1,7,1,13,0,21,2930,3240,E0A3,2700,3147,3212,2610,,,3246,3150,,,
note,ipk7z6m,1,1,8,1,14,0,24,4596,3150,E0A3,2700,4813,3122,2520,,,,,,,
note,kc0c02x,1,1,8,1,15,0,26,5748,3150,E0A4,2700,5965,3122,2520,,,,,,,
note,xz5i2aa,1,1,9,1,16,0,27,6699,2970,E0A4,2700,6708,2998,3600,,,7015,2970,,,
note,z11huxwv,1,1,9,1,17,0,28.5,7664,3060,E0A4,2700,7673,3088,3660,,,,,,,E241
note,b1m8zn17,1,1,9,1,18,0,29,8158,3150,E0A4,2700,8375,3122,2520,,,,,,,
note,owlajgs,1,1,10,1,19,0,30,9109,3240,E0A4,2700,9326,3212,2610,,,9425,3150,,,
note,q1m10xie,1,1,10,1,20,0,31.5,10074,3150,E0A4,2700,10291,3122,2520,,,,,,,E240
note,s82tfll,1,1,10,1,21,0,32,10568,3240,E0A4,2700,10785,3212,2610,,,,,,,
note,frvbxh6,1,1,11,1,22,0,33,11519,3420,E0A3,2700,11736,3392,2790,,,11835,3330,,,
clef,xwryvjb,1,2,12,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,yqr3j93,1,2,12,1,-1,-1,,,,,4860,,,,,,,,,,
note,sbicarv,1,2,12,1,23,0,36,826,5310,E0A3,4860,1043,5282,4680,,,,,,,
note,u1ilo7gs,1,2,12,1,24,0,38,1906,5310,E0A4,4860,2123,5282,4680,,,,,,,
note,h14onpgt,1,2,13,1,25,0,39,2810,5130,E0A4,4860,2819,5158,5760,,,3126,5130,,,
note,j1y2tg4n,1,2,13,1,26,0,40.5,3716,5220,E0A4,4860,3725,5248,5820,,,,,,,E241
note,lklwdg,1,2,13,1,27,0,41,4178,5310,E0A4,4860,4395,5282,4680,,,,,,,
note,yj3q1z9,1,2,14,1,28,0,42,5082,5400,E0A4,4860,5299,5372,4770,,,5398,5310,,,
note,a1jj7l9j,1,2,14,1,29,0,43.5,5988,5310,E0A4,4860,6205,5282,4680,,,,,,,E240
note,c194ijhb,1,2,14,1,30,0,44,6450,5400,E0A4,4860,6667,5372,4770,,,,,,,
note,p1lbogsu,1,2,15,1,31,0,45,7354,5580,E0A3,4860,7571,5552,4950,,,7670,5490,,,
note,ccy59xo,1,2,16,1,32,0,48,8927,5040,E0A3,4860,8936,5065,5670,,,,,,,
note,efdh2og,1,2,16,1,33,0,50,10007,5040,E0A4,4860,10016,5068,5670,,,,,,,
note,rzqft21,1,2,17,1,34,0,51,10911,4860,E0A4,4860,10920,4888,5490,,,11227,4770,,,
note,t195nmvf,1,2,17,1,35,0,52.5,11817,5040,E0A4,4860,11826,5068,5670,,,,,,,E241
note,v2tl8w5,1,2,17,1,36,0,53,12279,5220,E0A4,4860,12288,5248,5820,,,,,,,
clef,z1xnru6g,1,3,18,1,-1,-1,,90,7560,E050,7020,,,,,,,,,,
keysig,a397pa4,1,3,18,1,-1,-1,,,,,7020,,,,,,,,,,
note,i12soi0,1,3,18,1,37,0,54,851,7290,E0A3,7020,860,7315,7920,,,1167,7290,,,
tie,kc2e38p,1,3,18,,-1,-1,,1122,7178,,,,,,,,,,2591,7178,
note,w1pkmxhl,1,3,19,1,38,0,57,2636,7290,E0A3,7020,2645,7315,7920,,,2952,7290,,,
note,j1956xao,1,3,20,1,39,0,60,4421,7290,E0A4,7020,4430,7318,7920,,,,,,,
note,ld6qbcb,1,3,20,1,40,0,61,5227,7560,E0A4,7020,5444,7532,6930,,,,,,,
note,nfbwy6p,1,3,20,1,41,0,62,6034,7740,E0A4,7020,6251,7712,7110,,,,,,,
note,a1xd8ah,1,3,21,1,42,0,63,7059,7560,E0A4,7020,7276,7532,6930,,,7375,7470,,,
note,cgk04xh,1,3,21,1,43,0,64.5,8087,7650,E0A4,7020,8304,7622,7020,,,,,,,E240
note,ete8iez,1,3,21,1,44,0,65,8613,7830,E0A4,7020,8830,7802,7200,,,,,,,
note,r1o3ghkp,1,3,22,1,45,0,66,9638,7920,E0A3,7020,9855,7892,7290,,,9954,7830,,,
tie,tn60b9w,1,3,22,,-1,-1,,9909,7965,,,,,,,,,,11378,7965,
note,fi81gdq,1,3,23,1,46,0,69,11423,7920,E0A3,7020,11640,7892,7290,,,11739,7830,,,
