kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,e12837w2,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,fwjno80,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,g1yh1mtq,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1294,900,E0A4,540,1303,928,1500,,,,,,,E241
note,yv3lqdm,1,0,0,1,1,0,0.5,1824,990,E0A4,540,2041,962,360,E262,1638,,,,,E240
note,a1pfogn4,1,0,0,1,2,0,1,2303,990,E0A4,540,2520,962,360,,,,,,,E240
note,c1ahluu1,1,0,0,1,3,0,1.5,2782,1080,E0A4,540,2999,1052,450,,,,,,,
note,erbcoh7,1,0,0,1,4,0,2.5,3517,1080,E0A4,540,3734,1052,450,E262,3331,,,,,E240
note,g14xmp24,1,0,0,1,5,0,3,4041,990,E0A4,540,4258,962,360,,,,,,,E240
note,izodm98,1,0,0,1,6,0,3.5,4732,990,E0A4,540,4949,962,360,E262,4546,,,,,E240
note,v6sh6uc,1,0,1,1,7,0,4,5474,900,E0A4,540,5483,928,1500,,,,,,,E241
note,xfggj11,1,0,1,1,8,0,4.5,5953,540,E0A4,540,5962,568,1170,,,,,,,E241
note,zfx25hn,1,0,1,1,9,0,5,6432,450,E0A4,540,6441,478,1080,,,,,,,E241
note,b37hn12,1,0,1,1,10,0,5.5,6912,540,E0A4,540,6921,568,1170,,,,,,,
note,d1eyoooy,1,0,1,1,11,0,6.5,7647,450,E0A4,540,7656,478,1080,,,,,,,E241
note,f12ecyql,1,0,1,1,12,0,7,8126,540,E0A4,540,8135,568,1170,,,,,,,E241
note,hzub3xf,1,0,1,1,13,0,7.5,8605,900,E0A4,540,8614,928,1500,,,,,,,E241
note,u4oqxce,1,0,2,1,14,0,8,9289,810,E0A4,540,9298,838,1440,,,,,,,E241
note,w1m11mph,1,0,2,1,15,0,8.5,9768,900,E0A4,540,9777,928,1500,,,,,,,E241
note,y23h8om,1,0,2,1,16,0,9,10247,990,E0A4,540,10464,962,360,,,,,,,E240
note,a1n0fw13,1,0,2,1,17,0,9.5,10727,1080,E0A4,540,10944,1052,450,,,,,,,
note,c1yevvwh,1,0,2,1,18,0,10.5,11462,1080,E0A4,540,11679,1052,450,E262,11276,,,,,E240
note,e11rutd2,1,0,2,1,19,0,11,11985,990,E0A4,540,12202,962,360,,,,,,,E240
note,g1ho95rp,1,0,2,1,20,0,11.5,12509,900,E0A4,540,12518,928,1500,,,,,,,E241
clef,h1teon1f,1,1,3,1,-1,-1,,90,3246,E050,2706,,,,,,,,,,
keysig,i1jbervj,1,1,3,1,-1,-1,,,,,2706,,,,,,,,,,
note,t1ajik95,1,1,3,1,21,0,12,828,2976,E0A4,2706,837,3004,3606,,,,,,,E241
note,vyt4ad,1,1,3,1,22,0,12.5,1386,2616,E0A4,2706,1395,2644,3246,,,,,,,E241
note,xm40ctx,1,1,3,1,23,0,13,1944,2526,E0A4,2706,1953,2554,3156,,,,,,,E241
note,z4bj489,1,1,3,1,24,0,13.5,2501,2616,E0A4,2706,2510,2644,3246,,,,,,,
note,bb8g0u0,1,1,3,1,25,0,14.5,3358,2526,E0A4,2706,3367,2554,3156,,,,,,,E241
note,d16zdwlv,1,1,3,1,26,0,15,3915,2616,E0A4,2706,3924,2644,3246,,,,,,,E241
note,fqn9gl2,1,1,3,1,27,0,15.5,4473,2976,E0A4,2706,4482,3004,3606,E262,4287,,,,,E241
note,s1xjwapg,1,1,4,1,28,0,16,5227,2886,E0A4,2706,5236,2914,3516,,,,,,,E241
note,ulubfbi,1,1,4,1,29,0,16.5,5785,2706,E0A4,2706,5794,2734,3336,,,,,,,E241
note,w1qijfro,1,1,4,1,30,0,17,6343,2526,E0A4,2706,6352,2554,3156,,,,,,,E241
note,y1ccvmbx,1,1,4,1,31,0,17.5,6900,2256,E0A4,2706,6909,2284,3066,,,,,,,
note,au36i87,1,1,4,1,32,0,18.5,7757,2706,E0A4,2706,7766,2734,3336,,,,,,,E241
note,cg7y08o,1,1,4,1,33,0,19,8314,2796,E0A4,2706,8323,2824,3426,,,,,,,E241
note,efwg9mm,1,1,4,1,34,0,19.5,8872,2886,E0A4,2706,8881,2914,3516,,,,,,,E241
tie,g1wpyvd,1,1,4,,-1,-1,,9143,2841,,,,,,,,,,9581,2841,
note,s2cpl9z,1,1,5,1,35,0,20,9626,2886,E0A4,2706,9635,2914,3516,,,,,,,E241
note,u19knp2v,1,1,5,1,36,0,20.5,10184,3246,E0A4,2706,10401,3218,2616,E262,9998,,,,,
note,w1905d68,1,1,5,1,37,0,21.5,11040,3246,E0A4,2706,11257,3218,2616,,,11356,3156,,,
note,y17jmr1w,1,1,5,1,38,0,23,12132,2886,E0A4,2706,12141,2914,3516,,,,,,,
clef,j1m8eoa8,1,2,6,1,-1,-1,,90,5406,E050,4866,,,,,,,,,,
keysig,kzb8cza,1,2,6,1,-1,-1,,,,,4866,,,,,,,,,,
note,lke0vy6,1,2,6,1,39,0,24,832,5136,E0A4,4866,841,5164,5766,,,,,,,E241
note,n41nhpl,1,2,6,1,40,0,24.5,1383,4956,E0A4,4866,1392,4984,5586,,,,,,,E241
note,p1pgsif9,1,2,6,1,41,0,25,1935,4776,E0A4,4866,1944,4804,5406,,,,,,,E241
note,r1jp5f3v,1,2,6,1,42,0,25.5,2486,4506,E0A4,4866,2495,4534,5226,,,,,,,
note,t14q1aig,1,2,6,1,43,0,26.5,3332,4956,E0A4,4866,3341,4984,5586,,,,,,,E241
note,v12wj9cg,1,2,6,1,44,0,27,3883,5046,E0A4,4866,3892,5074,5676,,,,,,,E241
note,x1053kmm,1,2,6,1,45,0,27.5,4434,5136,E0A4,4866,4443,5164,5766,,,,,,,E241
tie,z18z7271,1,2,6,,-1,-1,,4705,5091,,,,,,,,,,5140,5091,
note,l1b9tw60,1,2,7,1,46,0,28,5185,5136,E0A4,4866,5194,5164,5766,,,,,,,E241
note,n1rpc8a2,1,2,7,1,47,0,28.5,5736,5496,E0A4,4866,5953,5468,4866,E262,5550,,,,,
note,p13e44d5,1,2,7,1,48,0,29.5,6582,5406,E0A4,4866,6799,5378,4776,,,6898,5316,,,
note,r1ymreae,1,2,7,1,49,0,31,7662,5136,E0A4,4866,7671,5164,5766,,,,,,,
note,edjxg5p,1,2,8,1,50,0,32,8708,5226,E0A4,4866,8717,5254,5826,,,,,,,E241
note,g1a9x3r7,1,2,8,1,51,0,32.5,9259,5316,E0A4,4866,9476,5288,4686,E262,9073,,,,,E240
note,ilwctc6,1,2,8,1,52,0,33,9811,5316,E0A4,4866,10028,5288,4686,,,,,,,E240
note,k17r2sbn,1,2,8,1,53,0,33.5,10362,5406,E0A4,4866,10579,5378,4776,,,,,,,
note,m17jlnp0,1,2,8,1,54,0,34.5,11208,5406,E0A4,4866,11425,5378,4776,E262,11022,,,,,E240
note,o9btm6t,1,2,8,1,55,0,35,11759,5316,E0A4,4866,11976,5288,4686,,,,,,,E240
note,q2mj26n,1,2,8,1,56,0,35.5,12438,5316,E0A4,4866,12655,5288,4686,E262,12252,,,,,E240
clef,l14c4s35,1,3,9,1,-1,-1,,90,7566,E050,7026,,,,,,,,,,
keysig,m1iqili0,1,3,9,1,-1,-1,,,,,7026,,,,,,,,,,
note,d1mc3yi9,1,3,9,1,57,0,36,830,7386,E0A4,7026,839,7414,7986,,,,,,,E241
note,f4ez1j9,1,3,9,1,58,0,36.5,1350,7026,E0A4,7026,1359,7054,7656,,,,,,,E241
note,h18et2sh,1,3,9,1,59,0,37,1870,6936,E0A4,7026,1879,6964,7566,,,,,,,E241
note,j1wjncss,1,3,9,1,60,0,37.5,2391,7026,E0A4,7026,2400,7054,7656,,,,,,,
