kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,c1jofubk,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,d19bisny,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,e1wynd91,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1440,E0A4,540,1573,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2089,1440,E0A4,540,2306,1412,810,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2822,1260,E0A4,540,3039,1232,630,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3554,1260,E0A4,540,3771,1232,630,,,,,,,
clef,f1xo19nt,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,g1p91opc,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,hl4i7p,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4490,1080,E0A4,540,4707,1052,450,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5223,1080,E0A4,540,5440,1052,450,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,5956,1260,E0A3,540,6173,1232,630,,,,,,,
note,mwxt00x,1,0,1,2,4,1,4,4490,2790,E0A2,2340,,,,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,8,7274,1170,E0A4,540,7491,1142,540,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,9,8007,1170,E0A4,540,8224,1142,540,,,,,,,
note,e11rutd2,1,0,2,1,9,0,10,8740,1350,E0A4,540,8957,1322,720,,,,,,,
note,g1ho95rp,1,0,2,1,10,0,11,9472,1350,E0A4,540,9689,1322,720,,,,,,,
note,jo3qcsy,1,0,2,2,7,1,8,7274,3060,E0A2,2340,,,,,,,,,,
note,xm40ctx,1,0,3,1,11,0,12,10408,1530,E0A4,540,10625,1502,900,,,,,,,
note,z4bj489,1,0,3,1,12,0,13,11141,1530,E0A4,540,11358,1502,900,,,,,,,
note,bb8g0u0,1,0,3,1,13,0,14,11874,1710,E0A3,540,12091,1682,900,,,,,,,
note,e11izfdo,1,0,3,2,11,1,12,10408,3060,E0A2,2340,,,,,,,,,,
clef,g1dgssja,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,h1avu1va,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,16,906,5400,E0A4,4500,1123,5372,4770,,,,,,,
note,ulubfbi,1,1,4,1,15,0,17,1667,5400,E0A4,4500,1884,5372,4770,,,,,,,
note,w1qijfro,1,1,4,1,16,0,18,2428,5220,E0A4,4500,2645,5192,4590,,,,,,,
note,y1ccvmbx,1,1,4,1,17,0,19,3189,5220,E0A4,4500,3406,5192,4590,,,,,,,
clef,i1n7rzzc,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,j1ncmfqm,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,b1bp6nfw,1,1,4,2,14,1,16,906,6750,E0A2,6300,,,,,,,,,,
note,p1vt5nji,1,1,5,1,18,0,20,4161,5040,E0A4,4500,4378,5012,4410,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,21,4922,5040,E0A4,4500,5139,5012,4410,,,,,,,
note,t12l1c7g,1,1,5,1,20,0,22,5683,5220,E0A3,4500,5900,5192,4590,,,,,,,
note,w1905d68,1,1,5,2,18,1,20,4161,6750,E0A2,6300,,,,,,,,,,
note,kjeoxmv,1,1,6,1,21,0,24,7053,5130,E0A4,4500,7270,5102,4500,,,,,,,
note,m1sctd0l,1,1,6,1,22,0,25,7814,5130,E0A4,4500,8031,5102,4500,,,,,,,
note,owlajgs,1,1,6,1,23,0,26,8575,5310,E0A4,4500,8792,5282,4680,,,,,,,
note,q1m10xie,1,1,6,1,24,0,27,9336,5310,E0A4,4500,9553,5282,4680,,,,,,,
note,t14q1aig,1,1,6,2,21,1,24,7053,7020,E0A2,6300,,,,,,,,,,
note,hpvbxwl,1,1,7,1,25,0,28,10308,5490,E0A4,4500,10525,5462,4860,,,,,,,
note,j16qode7,1,1,7,1,26,0,29,11069,5310,E0A4,4500,11286,5282,4680,,,,,,,
note,l1b9tw60,1,1,7,1,27,0,30,11830,5400,E0A3,4500,12047,5372,4770,,,,,,,
note,ota496l,1,1,7,2,25,1,28,10308,7020,E0A3,6300,10525,6992,6390,,,,,,,
note,qh54nwx,1,1,7,2,27,1,30,11830,6750,E0A3,6300,12047,6722,6120,,,,,,,
