kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,t1myktyj,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,ujdocxf,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,v1tjr2wh,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1293,1440,E0A4,540,1510,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2030,1440,E0A4,540,2247,1412,810,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2767,1260,E0A4,540,2984,1232,630,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3504,1260,E0A4,540,3721,1232,630,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4444,1080,E0A4,540,4661,1052,450,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5181,1080,E0A4,540,5398,1052,450,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,5918,1260,E0A3,540,6135,1232,630,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,8,7243,1170,E0A4,540,7460,1142,540,,,,,,,
note,izv1mc9,1,0,2,1,8,0,9,7980,1170,E0A4,540,8197,1142,540,,,,,,,
note,k1dict13,1,0,2,1,9,0,10,8717,1350,E0A4,540,8934,1322,720,,,,,,,
note,mwxt00x,1,0,2,1,10,0,11,9454,1350,E0A4,540,9671,1322,720,,,,,,,
note,z16wv72r,1,0,3,1,11,0,12,10394,1530,E0A4,540,10611,1502,900,,,,,,,
note,b13viyd2,1,0,3,1,12,0,13,11131,1530,E0A4,540,11348,1502,900,,,,,,,
note,d1sqgsul,1,0,3,1,13,0,14,11868,1710,E0A3,540,12085,1682,900,,,,,,,
clef,wfdbjo2,1,1,4,1,-1,-1,,90,3245,E050,2705,,,,,,,,,,
keysig,xi95yd4,1,1,4,1,-1,-1,,,,,2705,,,,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,16,843,3605,E0A4,2705,1060,3577,2975,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,17,1608,3605,E0A4,2705,1825,3577,2975,,,,,,,
note,u6oscn4,1,1,4,1,16,0,18,2373,3425,E0A4,2705,2590,3397,2795,,,,,,,
note,w19obtds,1,1,4,1,17,0,19,3139,3425,E0A4,2705,3356,3397,2795,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,20,4115,3245,E0A4,2705,4332,3217,2615,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,21,4880,3245,E0A4,2705,5097,3217,2615,,,,,,,
note,nt9ronl,1,1,5,1,20,0,22,5645,3425,E0A3,2705,5862,3397,2795,,,,,,,
note,au36i87,1,1,6,1,21,0,24,7021,3335,E0A4,2705,7238,3307,2705,,,,,,,
note,cg7y08o,1,1,6,1,22,0,25,7786,3335,E0A4,2705,8003,3307,2705,,,,,,,
note,efwg9mm,1,1,6,1,23,0,26,8551,3515,E0A4,2705,8768,3487,2885,,,,,,,
note,g1wpyvd,1,1,6,1,24,0,27,9317,3515,E0A4,2705,9534,3487,2885,,,,,,,
note,t12l1c7g,1,1,7,1,25,0,28,10293,3695,E0A4,2705,10510,3667,3065,,,,,,,
note,v1gxitk,1,1,7,1,26,0,29,11058,3515,E0A4,2705,11275,3487,2885,,,,,,,
note,xz5i2aa,1,1,7,1,27,0,30,11823,3605,E0A3,2705,12040,3577,2975,,,,,,,
