kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,tcj66lx,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,upkqkho,1,0,0,1,-1,-1,,735,540,E262,540,,,,,,,,,,
metersig,w11viou1,1,0,0,1,-1,-1,,1042,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1614,1080,E0A4,540,1831,1052,450,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2330,1080,E0A4,540,2547,1052,450,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,3045,720,E0A4,540,3054,748,1350,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3761,720,E0A4,540,3770,748,1350,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4680,630,E0A4,540,4689,658,1260,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5396,630,E0A4,540,5405,658,1260,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,6111,720,E0A3,540,6120,745,1350,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,8,7403,810,E0A4,540,7412,838,1440,,,,,,,
note,izv1mc9,1,0,2,1,8,0,9,8119,810,E0A4,540,8128,838,1440,,,,,,,
note,k1dict13,1,0,2,1,9,0,10,8834,900,E0A4,540,8843,928,1500,,,,,,,
note,mwxt00x,1,0,2,1,10,0,11,9550,900,E0A4,540,9559,928,1500,,,,,,,
note,z16wv72r,1,0,3,1,11,0,12,10469,990,E0A4,540,10686,962,360,,,,,,,
note,b13viyd2,1,0,3,1,12,0,13,11185,990,E0A4,540,11402,962,360,,,,,,,
note,d1sqgsul,1,0,3,1,13,0,14,11900,1080,E0A3,540,12117,1052,450,,,,,,,
clef,bsc3s1f,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,cz07zri,1,1,4,1,-1,-1,,735,2700,E262,2700,,,,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,16,1143,2880,E0A4,2700,1152,2908,3510,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,17,1893,2880,E0A4,2700,1902,2908,3510,,,,,,,
note,u6oscn4,1,1,4,1,16,0,18,2642,2970,E0A4,2700,2651,2998,3600,,,,,,,
note,w19obtds,1,1,4,1,17,0,19,3392,2970,E0A4,2700,3401,2998,3600,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,20,4331,3060,E0A4,2700,4340,3088,3660,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,21,5081,3060,E0A4,2700,5090,3088,3660,,,,,,,
note,nt9ronl,1,1,5,1,20,0,22,5830,3150,E0A3,2700,6047,3122,2520,,,,,,,
note,au36i87,1,1,6,1,21,0,24,7161,2880,E0A4,2700,7170,2908,3510,,,,,,,
note,cg7y08o,1,1,6,1,22,0,25,7911,2880,E0A4,2700,7920,2908,3510,,,,,,,
note,efwg9mm,1,1,6,1,23,0,26,8660,2970,E0A4,2700,8669,2998,3600,,,,,,,
note,g1wpyvd,1,1,6,1,24,0,27,9410,2970,E0A4,2700,9419,2998,3600,,,,,,,
note,t12l1c7g,1,1,7,1,25,0,28,10349,3060,E0A4,2700,10358,3088,3660,,,,,,,
note,v1gxitk,1,1,7,1,26,0,29,11099,3060,E0A4,2700,11108,3088,3660,,,,,,,
note,xz5i2aa,1,1,7,1,27,0,30,11848,3150,E0A3,2700,12065,3122,2520,,,,,,,
clef,i12lx4ae,1,2,8,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,j1v2edvb,1,2,8,1,-1,-1,,735,4860,E262,4860,,,,,,,,,,
note,kjeoxmv,1,2,8,1,28,0,32,1143,5400,E0A4,4860,1360,5372,4770,,,,,,,
note,m1sctd0l,1,2,8,1,29,0,33,1893,5400,E0A4,4860,2110,5372,4770,,,,,,,
note,owlajgs,1,2,8,1,30,0,34,2642,5040,E0A4,4860,2651,5068,5670,,,,,,,
note,q1m10xie,1,2,8,1,31,0,35,3392,5040,E0A4,4860,3401,5068,5670,,,,,,,
note,dxvimeh,1,2,9,1,32,0,36,4331,4950,E0A4,4860,4340,4978,5580,,,,,,,
note,frvbxh6,1,2,9,1,33,0,37,5081,4950,E0A4,4860,5090,4978,5580,,,,,,,
note,hpvbxwl,1,2,9,1,34,0,38,5830,5040,E0A3,4860,5839,5065,5670,,,,,,,
note,u1ilo7gs,1,2,10,1,35,0,40,7161,5130,E0A4,4860,7170,5158,5760,,,,,,,
note,wa4bnz4,1,2,10,1,36,0,41,7911,5130,E0A4,4860,7920,5158,5760,,,,,,,
note,y1h79vgj,1,2,10,1,37,0,42,8660,5220,E0A4,4860,8669,5248,5820,,,,,,,
note,a1cyeyp3,1,2,10,1,38,0,43,9410,5220,E0A4,4860,9419,5248,5820,,,,,,,
note,n1tqn102,1,2,11,1,39,0,44,10349,5310,E0A4,4860,10566,5282,4680,,,,,,,
note,p13wmgga,1,2,11,1,40,0,45,11099,5310,E0A4,4860,11316,5282,4680,,,,,,,
note,r1mn9a82,1,2,11,1,41,0,46,11848,5400,E0A3,4860,12065,5372,4770,,,,,,,
