kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,y1uxmz7w,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,z1xnru6g,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,a397pa4,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1440,E0A4,540,1573,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2089,1440,E0A4,540,2306,1412,810,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2822,1080,E0A4,540,3039,1052,450,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3554,1080,E0A4,540,3771,1052,450,,,,,,,
clef,b11f58t1,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,c8p7s9g,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,d1nvh33s,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4490,990,E0A4,540,4707,962,360,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5223,990,E0A4,540,5440,962,360,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,5956,1080,E0A3,540,6173,1052,450,,,,,,,
note,mwxt00x,1,0,1,2,4,1,4,4490,3150,E0A2,2340,,,,,,,,,,
note,a1n0fw13,1,0,2,1,7,0,8,7274,1170,E0A4,540,7491,1142,540,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,9,8007,1170,E0A4,540,8224,1142,540,,,,,,,
note,e11rutd2,1,0,2,1,9,0,10,8740,1260,E0A4,540,8957,1232,630,,,,,,,
note,g1ho95rp,1,0,2,1,10,0,11,9472,1260,E0A4,540,9689,1232,630,,,,,,,
note,jo3qcsy,1,0,2,2,7,1,8,7274,3150,E0A2,2340,,,,,,,,,,
note,xm40ctx,1,0,3,1,11,0,12,10408,1350,E0A4,540,10625,1322,720,,,,,,,
note,z4bj489,1,0,3,1,12,0,13,11141,1350,E0A4,540,11358,1322,720,,,,,,,
note,bb8g0u0,1,0,3,1,13,0,14,11874,1440,E0A3,540,12091,1412,810,,,,,,,
note,e11izfdo,1,0,3,2,11,1,12,10408,3060,E0A2,2340,,,,,,,,,,
clef,c13dg66y,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,d1uq3vcl,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,16,889,5040,E0A4,4500,1106,5012,4410,,,,,,,
note,ulubfbi,1,1,4,1,15,0,17,1655,5040,E0A4,4500,1872,5012,4410,,,,,,,
note,w1qijfro,1,1,4,1,16,0,18,2420,5130,E0A4,4500,2637,5102,4500,,,,,,,
note,y1ccvmbx,1,1,4,1,17,0,19,3186,5130,E0A4,4500,3403,5102,4500,,,,,,,
clef,e3xejvt,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,f1pq9lyt,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,b1bp6nfw,1,1,4,2,14,1,16,889,6750,E0A2,6300,,,,,,,,,,
note,p1vt5nji,1,1,5,1,18,0,20,4145,5220,E0A4,4500,4362,5192,4590,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,21,4911,5220,E0A4,4500,5128,5192,4590,,,,,,,
note,t12l1c7g,1,1,5,1,20,0,22,5676,5310,E0A3,4500,5893,5282,4680,,,,,,,
note,w1905d68,1,1,5,2,18,1,20,4145,7020,E0A2,6300,,,,,,,,,,
note,kjeoxmv,1,1,6,1,21,0,24,7036,5040,E0A4,4500,7253,5012,4410,,,,,,,
note,m1sctd0l,1,1,6,1,22,0,25,7802,5040,E0A4,4500,8019,5012,4410,,,,,,,
note,owlajgs,1,1,6,1,23,0,26,8567,5130,E0A4,4500,8784,5102,4500,,,,,,,
note,q1m10xie,1,1,6,1,24,0,27,9333,5130,E0A4,4500,9550,5102,4500,,,,,,,
note,t14q1aig,1,1,6,2,21,1,24,7036,6750,E0A2,6300,,,,,,,,,,
note,hpvbxwl,1,1,7,1,25,0,28,10292,5220,E0A4,4500,10509,5192,4590,,,,,,,
note,j16qode7,1,1,7,1,26,0,29,11058,5220,E0A4,4500,11275,5192,4590,,,,,,,
note,l1b9tw60,1,1,7,1,27,0,30,11823,5310,E0A3,4500,12040,5282,4680,,,,,,,
note,ota496l,1,1,7,2,25,1,28,10292,7020,E0A2,6300,,,,,,,,,,
clef,el2xqay,1,2,8,1,-1,-1,,117,9000,E050,8460,,,,,,,,,,
keysig,fif2dhl,1,2,8,1,-1,-1,,,,,8460,,,,,,,,,,
note,c1vlx8nz,1,2,8,1,28,0,32,889,9360,E0A4,8460,1106,9332,8730,,,,,,,
note,edjxg5p,1,2,8,1,29,0,33,1655,9360,E0A4,8460,1872,9332,8730,,,,,,,
note,g1a9x3r7,1,2,8,1,30,0,34,2420,9000,E0A4,8460,2637,8972,8370,,,,,,,
note,ilwctc6,1,2,8,1,31,0,35,3186,9000,E0A4,8460,3403,8972,8370,,,,,,,
clef,g1gbot0a,1,2,8,2,-1,-1,,117,10440,E062,10260,,,,,,,,,,
keysig,h1teon1f,1,2,8,2,-1,-1,,,,,10260,,,,,,,,,,
note,lklwdg,1,2,8,2,28,1,32,889,10710,E0A2,10260,,,,,,,,,,
note,zymttu,1,2,9,1,32,0,36,4145,8910,E0A4,8460,4362,8882,8280,,,,,,,
note,bcl6eok,1,2,9,1,33,0,37,4911,8910,E0A4,8460,5128,8882,8280,,,,,,,
note,d1mc3yi9,1,2,9,1,34,0,38,5676,9000,E0A3,8460,5893,8972,8370,,,,,,,
note,gfmd4j,1,2,9,2,32,1,36,4145,11070,E0A2,10260,,,,,,,,,,
note,u11u8k3z,1,2,10,1,35,0,40,7036,9090,E0A4,8460,7253,9062,8460,,,,,,,
note,whrd5pz,1,2,10,1,36,0,41,7802,9090,E0A4,8460,8019,9062,8460,,,,,,,
note,ywmfg7o,1,2,10,1,37,0,42,8567,9180,E0A4,8460,8784,9152,8550,,,,,,,
note,a1vn47bf,1,2,10,1,38,0,43,9333,9180,E0A4,8460,9550,9152,8550,,,,,,,
note,d32l04c,1,2,10,2,35,1,40,7036,11070,E0A2,10260,,,,,,,,,,
note,rzqft21,1,2,11,1,39,0,44,10292,9270,E0A4,8460,10509,9242,8640,,,,,,,
note,t195nmvf,1,2,11,1,40,0,45,11058,9270,E0A4,8460,11275,9242,8640,,,,,,,
note,v2tl8w5,1,2,11,1,41,0,46,11823,9360,E0A3,8460,12040,9332,8730,,,,,,,
note,y115m6re,1,2,11,2,39,1,44,10292,10980,E0A3,10260,10509,10952,10350,,,,,,,
note,a1b3yb8,1,2,11,2,41,1,46,11823,10710,E0A3,10260,12040,10682,10080,,,,,,,
