kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,q1ff9ms0,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,r147jwzc,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,s1txovwn,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1293,1440,E0A4,540,1510,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2030,1440,E0A4,540,2247,1412,810,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2767,1080,E0A4,540,2984,1052,450,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3504,1080,E0A4,540,3721,1052,450,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4444,990,E0A4,540,4661,962,360,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5181,990,E0A4,540,5398,962,360,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,5918,1080,E0A3,540,6135,1052,450,,,,,,,
note,gjwwkjn,1,0,2,1,7,0,8,7243,1170,E0A4,540,7460,1142,540,,,,,,,
note,izv1mc9,1,0,2,1,8,0,9,7980,1170,E0A4,540,8197,1142,540,,,,,,,
note,k1dict13,1,0,2,1,9,0,10,8717,1260,E0A4,540,8934,1232,630,,,,,,,
note,mwxt00x,1,0,2,1,10,0,11,9454,1260,E0A4,540,9671,1232,630,,,,,,,
note,z16wv72r,1,0,3,1,11,0,12,10394,1350,E0A4,540,10611,1322,720,,,,,,,
note,b13viyd2,1,0,3,1,12,0,13,11131,1350,E0A4,540,11348,1322,720,,,,,,,
note,d1sqgsul,1,0,3,1,13,0,14,11868,1440,E0A3,540,12085,1412,810,,,,,,,
clef,to3bsc6,1,1,4,1,-1,-1,,90,3240,E050,2700,,,,,,,,,,
keysig,u7gnvgh,1,1,4,1,-1,-1,,,,,2700,,,,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,16,827,3240,E0A4,2700,1044,3212,2610,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,17,1596,3240,E0A4,2700,1813,3212,2610,,,,,,,
note,u6oscn4,1,1,4,1,16,0,18,2366,3330,E0A4,2700,2583,3302,2700,,,,,,,
note,w19obtds,1,1,4,1,17,0,19,3136,3330,E0A4,2700,3353,3302,2700,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,20,4100,3420,E0A4,2700,4317,3392,2790,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,21,4869,3420,E0A4,2700,5086,3392,2790,,,,,,,
note,nt9ronl,1,1,5,1,20,0,22,5639,3510,E0A3,2700,5856,3482,2880,,,,,,,
note,au36i87,1,1,6,1,21,0,24,7005,3240,E0A4,2700,7222,3212,2610,,,,,,,
note,cg7y08o,1,1,6,1,22,0,25,7774,3240,E0A4,2700,7991,3212,2610,,,,,,,
note,efwg9mm,1,1,6,1,23,0,26,8544,3330,E0A4,2700,8761,3302,2700,,,,,,,
note,g1wpyvd,1,1,6,1,24,0,27,9314,3330,E0A4,2700,9531,3302,2700,,,,,,,
note,t12l1c7g,1,1,7,1,25,0,28,10278,3420,E0A4,2700,10495,3392,2790,,,,,,,
note,v1gxitk,1,1,7,1,26,0,29,11047,3420,E0A4,2700,11264,3392,2790,,,,,,,
note,xz5i2aa,1,1,7,1,27,0,30,11817,3510,E0A3,2700,12034,3482,2880,,,,,,,
clef,v1q30fjz,1,2,8,1,-1,-1,,90,5400,E050,4860,,,,,,,,,,
keysig,w11viou1,1,2,8,1,-1,-1,,,,,4860,,,,,,,,,,
note,kjeoxmv,1,2,8,1,28,0,32,827,5760,E0A4,4860,1044,5732,5130,,,,,,,
note,m1sctd0l,1,2,8,1,29,0,33,1596,5760,E0A4,4860,1813,5732,5130,,,,,,,
note,owlajgs,1,2,8,1,30,0,34,2366,5400,E0A4,4860,2583,5372,4770,,,,,,,
note,q1m10xie,1,2,8,1,31,0,35,3136,5400,E0A4,4860,3353,5372,4770,,,,,,,
note,dxvimeh,1,2,9,1,32,0,36,4100,5310,E0A4,4860,4317,5282,4680,,,,,,,
note,frvbxh6,1,2,9,1,33,0,37,4869,5310,E0A4,4860,5086,5282,4680,,,,,,,
note,hpvbxwl,1,2,9,1,34,0,38,5639,5400,E0A3,4860,5856,5372,4770,,,,,,,
note,u1ilo7gs,1,2,10,1,35,0,40,7005,5490,E0A4,4860,7222,5462,4860,,,,,,,
note,wa4bnz4,1,2,10,1,36,0,41,7774,5490,E0A4,4860,7991,5462,4860,,,,,,,
note,y1h79vgj,1,2,10,1,37,0,42,8544,5580,E0A4,4860,8761,5552,4950,,,,,,,
note,a1cyeyp3,1,2,10,1,38,0,43,9314,5580,E0A4,4860,9531,5552,4950,,,,,,,
note,n1tqn102,1,2,11,1,39,0,44,10278,5670,E0A4,4860,10495,5642,5040,,,,,,,
note,p13wmgga,1,2,11,1,40,0,45,11047,5670,E0A4,4860,11264,5642,5040,,,,,,,
note,r1mn9a82,1,2,11,1,41,0,46,11817,5760,E0A3,4860,12034,5732,5130,,,,,,,
