kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,hl4i7p,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,i1wi6yr6,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,j1a29q7v,1,0,0,1,-1,-1,,784,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1356,1440,E0A4,540,1573,1412,810,,,,,,,
note,k1d0qcvg,1,0,0,1,1,0,1,2089,1440,E0A4,540,2306,1412,810,,,,,,,
note,m5odh2d,1,0,0,1,2,0,2,2822,1350,E0A4,540,3039,1322,720,,,,,,,
note,o1w2vfrn,1,0,0,1,3,0,3,3554,1260,E0A4,540,3771,1232,630,,,,,,,
clef,k119sr3q,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,l853oj6,1,0,0,2,-1,-1,,,,,2340,,,,,,,,,,
metersig,m1fa21b,1,0,0,2,-1,-1,,784,2520,E084,2340,,,,,,,,,,
note,rgx8bjh,1,0,0,2,0,1,0,1356,2790,E0A2,2340,,,,,,,,,,
note,f12ecyql,1,0,1,1,4,0,4,4490,1440,E0A4,540,4707,1412,810,,,,,,,
note,hzub3xf,1,0,1,1,5,0,5,5223,1260,E0A4,540,5440,1232,630,,,,,,,
note,j14qhuvu,1,0,1,1,6,0,6,5956,1350,E0A4,540,6173,1322,720,,,,,,,
note,lcz237t,1,0,1,1,7,0,7,6688,1710,E0A4,540,6905,1682,900,,,,,,,
note,o1nwbnw5,1,0,1,2,4,1,4,4490,3060,E0A2,2340,,,,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,8,7624,1440,E0A4,540,7841,1412,810,,,,,,,
note,e11rutd2,1,0,2,1,9,0,9,8357,1440,E0A4,540,8574,1412,810,,,,,,,
note,g1ho95rp,1,0,2,1,10,0,10,9090,1350,E0A4,540,9307,1322,720,,,,,,,
note,i4s4uc4,1,0,2,1,11,0,11,9822,1260,E0A4,540,10039,1232,630,,,,,,,
note,l1wb3e2s,1,0,2,2,8,1,8,7624,2790,E0A2,2340,,,,,,,,,,
note,z4bj489,1,0,3,1,12,0,12,10758,1440,E0A3,540,10975,1412,810,,,,,,,
note,bb8g0u0,1,0,3,1,13,0,14,11874,1530,E0A3,540,12091,1502,900,,,,,,,
note,e11izfdo,1,0,3,2,12,1,12,10758,3060,E0A2,2340,,,,,,,,,,
clef,l1fp3w91,1,1,4,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,m1pnd6l3,1,1,4,1,-1,-1,,,,,4500,,,,,,,,,,
note,s1xjwapg,1,1,4,1,14,0,16,900,5400,E0A4,4500,1117,5372,4770,,,,,,,
note,ulubfbi,1,1,4,1,15,0,17,1639,5400,E0A4,4500,1856,5372,4770,,,,,,,
note,w1qijfro,1,1,4,1,16,0,18,2378,5310,E0A4,4500,2595,5282,4680,,,,,,,
note,y1ccvmbx,1,1,4,1,17,0,19,3118,5220,E0A4,4500,3335,5192,4590,,,,,,,
clef,nf5zogm,1,1,4,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,o1e5andf,1,1,4,2,-1,-1,,,,,6300,,,,,,,,,,
note,b1bp6nfw,1,1,4,2,14,1,16,900,6750,E0A2,6300,,,,,,,,,,
note,p1vt5nji,1,1,5,1,18,0,20,4062,5130,E0A4,4500,4279,5102,4500,,,,,,,
note,r3ruo0a,1,1,5,1,19,0,21,4801,5220,E0A4,4500,5018,5192,4590,,,,,,,
note,t12l1c7g,1,1,5,1,20,0,22,5540,5310,E0A4,4500,5757,5282,4680,,,,,,,
note,v1gxitk,1,1,5,1,21,0,23,6280,5400,E0A4,4500,6497,5372,4770,,,,,,,
note,y17jmr1w,1,1,5,2,18,1,20,4062,6750,E0A2,6300,,,,,,,,,,
note,m1sctd0l,1,1,6,1,22,0,24,7224,5490,E0A4,4500,7441,5462,4860,,,,,,,
note,owlajgs,1,1,6,1,23,0,25,7963,5670,E0A4,4500,8180,5642,4860,,,,,,,
note,q1m10xie,1,1,6,1,24,0,26,8702,5580,E0A4,4500,8919,5552,4860,,,,,,,
note,s82tfll,1,1,6,1,25,0,27,9442,5490,E0A4,4500,9659,5462,4860,,,,,,,
note,v12wj9cg,1,1,6,2,22,1,24,7224,7020,E0A2,6300,,,,,,,,,,
note,j16qode7,1,1,7,1,26,0,28,10386,5400,E0A4,4500,10603,5372,4770,,,,,,,
note,l1b9tw60,1,1,7,1,27,0,29,11125,5400,E0A4,4500,11342,5372,4770,,,,,,,
note,n1rpc8a2,1,1,7,1,28,0,30,11864,5400,E0A3,4500,12081,5372,4770,,,,,,,
note,qh54nwx,1,1,7,2,26,1,28,10386,7020,E0A3,6300,10603,6992,6390,,,,,,,
note,sbicarv,1,1,7,2,28,1,30,11864,6750,E0A3,6300,12081,6722,6120,,,,,,,
